generations , best_fitness , time_elapsed
1 , 0.0,0.056
2 , 3.684410309477745E-24,0.058
3 , 8.950767584526834E-9,0.058
4 , 8.800417942623704E-9,0.058
5 , 3.52624547716493E-5,0.059
6 , 1.1826491131482608E-4,0.059
7 , 1.1026856798791357E-4,0.059
8 , 1.0992958723296582E-4,0.059
9 , 1.1826491131482608E-4,0.059
10 , 4.146389754245604E-4,0.06
11 , 2.0666483105596188E-4,0.06
12 , 2.363106243127651E-4,0.06
13 , 3.2939123382730117E-4,0.06
14 , 4.3062095030236414E-4,0.06
15 , 4.3410382794161774E-4,0.061
16 , 5.832332750105645E-4,0.061
17 , 5.263783891349893E-4,0.061
18 , 5.873078985315791E-4,0.061
19 , 5.849835853719488E-4,0.061
20 , 5.932561318474212E-4,0.061
21 , 6.062375454158899E-4,0.061
22 , 5.968728831691816E-4,0.062
23 , 6.309708821226244E-4,0.062
24 , 6.178091174904134E-4,0.062
25 , 6.367248305796132E-4,0.062
26 , 8.51857084038502E-4,0.062
27 , 7.496410565004829E-4,0.062
28 , 8.013675203400799E-4,0.062
29 , 7.440935451904189E-4,0.063
30 , 8.693759418114174E-4,0.063
31 , 8.714050709355168E-4,0.063
32 , 9.38227337882041E-4,0.063
33 , 9.126344463458412E-4,0.063
34 , 9.096615773351048E-4,0.063
35 , 9.556945377003766E-4,0.063
36 , 0.0010073560639050055,0.063
37 , 9.476747101605353E-4,0.064
38 , 9.92276500036557E-4,0.064
39 , 0.001031507109028028,0.064
40 , 0.0010789363068302968,0.064
41 , 0.001092372740892327,0.064
42 , 0.0011507004483834197,0.064
43 , 0.0011686849380848883,0.064
44 , 0.0012711733432267292,0.065
45 , 0.0012233498473520118,0.065
46 , 0.0013785667017477054,0.065
47 , 0.0012962015564790743,0.065
48 , 0.001327142715035945,0.065
49 , 0.0013219232488175092,0.065
50 , 0.0014697158687848196,0.065
51 , 0.001986375523503087,0.065
52 , 0.0015533327318166955,0.065
53 , 0.0018687503721556186,0.066
54 , 0.0018533979802639112,0.066
55 , 0.001982834968642211,0.067
56 , 0.00195627539025246,0.067
57 , 0.0022497433744848097,0.067
58 , 0.0022036308861143705,0.067
59 , 0.0023813860415497832,0.067
60 , 0.0025302033440542963,0.067
61 , 0.002699621635153715,0.068
62 , 0.0027768267966226676,0.068
63 , 0.002784973923416357,0.068
64 , 0.0028840210480559894,0.068
65 , 0.0030874287873674773,0.068
66 , 0.003155043944884784,0.068
