generations , best_fitness , time_elapsed
1 , 0.0,0.083
2 , 7.255050923847936E-17,0.085
3 , 4.178938302639673E-8,0.086
4 , 1.9089930534272638E-7,0.086
5 , 2.7691260790137164E-7,0.086
6 , 2.508035769815567E-7,0.087
7 , 2.862943004435741E-7,0.087
8 , 5.462658262329262E-7,0.087
9 , 2.888251570182126E-7,0.087
10 , 3.9758419857743583E-7,0.088
11 , 7.647131402265615E-7,0.088
12 , 5.69838017712248E-7,0.088
13 , 5.507458481517336E-7,0.088
14 , 6.626406100663127E-7,0.088
15 , 8.188727661022088E-7,0.088
16 , 7.647131402265615E-7,0.089
17 , 8.129318179667458E-7,0.089
18 , 8.920373509001835E-7,0.089
19 , 9.637626909577782E-7,0.089
20 , 9.393448270026634E-7,0.089
21 , 9.169636704432799E-7,0.089
22 , 1.3640683368893597E-6,0.09
23 , 1.176568577626915E-6,0.09
24 , 1.622443672061821E-6,0.09
25 , 1.4055862874853535E-6,0.09
26 , 1.5981168640230717E-6,0.09
27 , 1.5186341176740317E-6,0.09
28 , 1.735147398797113E-6,0.09
29 , 1.6145519192743747E-6,0.091
30 , 1.6198289787921664E-6,0.091
31 , 1.6916919309481877E-6,0.091
32 , 1.6518488860410092E-6,0.091
33 , 1.7193344012485273E-6,0.091
34 , 1.7376852695217491E-6,0.091
35 , 1.753030581848536E-6,0.091
36 , 1.7567328250797693E-6,0.092
37 , 1.792280451778976E-6,0.092
38 , 2.6034157407110764E-6,0.092
39 , 3.7322487641237446E-6,0.092
40 , 2.6204358282270915E-6,0.092
41 , 3.135631893313457E-6,0.092
42 , 3.135202575368357E-6,0.092
43 , 3.9088359254857695E-6,0.092
44 , 3.5372686632878166E-6,0.093
45 , 8.340905810149447E-6,0.093
46 , 5.816345437607167E-6,0.093
47 , 6.996657196281147E-6,0.093
48 , 9.220056254354119E-6,0.093
49 , 7.667911577448772E-6,0.093
50 , 8.406471382024777E-6,0.093
51 , 9.436592344038998E-6,0.093
52 , 1.1167426467321006E-5,0.093
53 , 1.0788499332950507E-5,0.094
54 , 1.1108420791665277E-5,0.094
55 , 1.0976457942557343E-5,0.094
56 , 1.0882105086230782E-5,0.094
57 , 1.1183982265612392E-5,0.094
58 , 1.1081482461179366E-5,0.094
59 , 2.0774425293709414E-5,0.094
60 , 1.5415836225468523E-5,0.096
61 , 1.775642607469394E-5,0.096
62 , 1.7849189991817144E-5,0.096
63 , 2.0961298625278387E-5,0.096
64 , 2.102114128627466E-5,0.096
65 , 2.0867669372584113E-5,0.096
66 , 2.1150272948053542E-5,0.096
67 , 2.4817455077613406E-5,0.096
68 , 2.3398985019737026E-5,0.097
69 , 2.6659806466556682E-5,0.097
70 , 2.6659806466556682E-5,0.097
71 , 2.5961358398134542E-5,0.097
72 , 3.633819879045958E-5,0.097
73 , 3.1137627279582786E-5,0.097
74 , 3.634918962427556E-5,0.097
75 , 4.224747320297264E-5,0.097
76 , 4.459239682375427E-5,0.097
77 , 4.2484825024034884E-5,0.098
78 , 4.331710232662968E-5,0.098
79 , 4.433228094543893E-5,0.098
80 , 4.786008406964063E-5,0.098
81 , 7.626034270147584E-5,0.098
82 , 6.105319600270799E-5,0.098
83 , 8.296620810730116E-5,0.098
84 , 8.074352378608381E-5,0.098
85 , 8.160458075889573E-5,0.098
86 , 8.171353298123546E-5,0.099
87 , 9.213634728399831E-5,0.099
88 , 2.0443398275221577E-4,0.099
89 , 2.214688455127971E-4,0.099
90 , 2.125480530130577E-4,0.099
91 , 2.4163665771403944E-4,0.099
92 , 2.187225939676506E-4,0.099
93 , 2.320223363403706E-4,0.099
94 , 2.3330933029612523E-4,0.099
95 , 2.4069782612658012E-4,0.1
96 , 2.4209823166785157E-4,0.1
97 , 2.4084665449441737E-4,0.1
98 , 2.4144137082352256E-4,0.1
99 , 2.915504775386234E-4,0.1
100 , 2.659747328079404E-4,0.1
101 , 4.6870036491296487E-4,0.1
102 , 2.787540008038758E-4,0.1
103 , 2.850994931793846E-4,0.101
104 , 2.890053907247156E-4,0.101
105 , 3.7140714624670705E-4,0.101
106 , 3.7776812972998577E-4,0.101
107 , 4.694992920175559E-4,0.101
108 , 4.6879728937089825E-4,0.101
109 , 4.8556986825375474E-4,0.101
110 , 5.544910909906318E-4,0.101
111 , 5.01244465633545E-4,0.102
