generations , best_fitness , time_elapsed
1 , 0.0,0.045
2 , 1.6210847741848386E-9,0.056
3 , 2.040659863365614E-13,0.056
4 , 4.0946437828348815E-8,0.057
5 , 8.777700960322509E-8,0.057
6 , 1.265427480193599E-7,0.058
7 , 1.8952955534694134E-7,0.058
8 , 1.370028077171656E-7,0.058
9 , 2.0863541289372048E-7,0.058
10 , 1.9218880667131912E-7,0.059
11 , 2.3129695436549742E-7,0.059
12 , 2.1493665081924705E-7,0.059
13 , 2.160626594366363E-7,0.059
14 , 2.2933073708144256E-7,0.06
15 , 2.3303389853320022E-7,0.06
16 , 2.3031196034389415E-7,0.06
17 , 2.4040788255826106E-7,0.06
18 , 2.3726213176634996E-7,0.06
19 , 2.4544876589787307E-7,0.061
20 , 2.3471862333559634E-7,0.061
21 , 2.407788347701978E-7,0.061
22 , 2.6027284137000635E-7,0.061
23 , 2.5046635544486774E-7,0.061
24 , 2.809211030577243E-7,0.061
25 , 2.698737537165485E-7,0.062
26 , 2.895767135814455E-7,0.062
27 , 2.929773797758578E-7,0.062
28 , 3.2147733745757796E-7,0.062
29 , 3.1510252776548174E-7,0.062
30 , 3.3243251958726345E-7,0.063
31 , 3.981002740558153E-7,0.063
32 , 4.298963842216911E-7,0.063
33 , 4.423892521544008E-7,0.063
34 , 4.243681476376247E-7,0.063
35 , 4.4211848014589564E-7,0.063
36 , 5.019102793556368E-7,0.063
37 , 4.830817731082173E-7,0.064
38 , 5.564236617554439E-7,0.064
39 , 4.878543416270628E-7,0.064
40 , 5.18216949088611E-7,0.064
41 , 5.230970485629381E-7,0.064
42 , 6.350169009193744E-7,0.064
43 , 5.22454400146696E-7,0.065
44 , 6.597358192020623E-7,0.065
45 , 6.473607199400597E-7,0.065
46 , 6.333186537544447E-7,0.065
47 , 6.464716417933476E-7,0.065
48 , 7.590737214705972E-7,0.065
49 , 7.052774933821472E-7,0.065
50 , 6.791731246353775E-7,0.065
51 , 8.7459040978627E-7,0.066
52 , 1.0090572287212448E-6,0.066
53 , 8.928748405375787E-7,0.066
54 , 8.921457180189969E-7,0.066
55 , 9.075910161741668E-7,0.066
56 , 1.3335226541682822E-6,0.066
57 , 1.054209489130286E-6,0.066
58 , 1.2384249066781924E-6,0.066
59 , 1.3017811473511158E-6,0.067
60 , 1.2878257655700235E-6,0.067
61 , 1.4720091874950207E-6,0.068
62 , 1.5256173825637762E-6,0.068
63 , 1.955891929663549E-6,0.068
64 , 1.6665908406761994E-6,0.069
65 , 2.1491643042087015E-6,0.069
66 , 2.1597731573979886E-6,0.069
67 , 2.6721505129714194E-6,0.069
68 , 2.20369693622604E-6,0.069
69 , 2.8436899991106808E-6,0.069
70 , 2.7764932272332624E-6,0.069
71 , 2.815085486268548E-6,0.069
72 , 2.8803975266867465E-6,0.069
73 , 2.8469861660377747E-6,0.07
74 , 2.88903260176164E-6,0.07
75 , 2.988099840317522E-6,0.07
76 , 3.214396112657103E-6,0.07
77 , 5.840542203471773E-6,0.07
78 , 4.164666057954157E-6,0.07
79 , 4.599324639818346E-6,0.07
80 , 6.452370353119589E-6,0.07
81 , 7.3118217410613455E-6,0.071
82 , 6.95734518396596E-6,0.071
83 , 8.852167517234031E-6,0.071
84 , 9.2264913754254E-6,0.071
85 , 1.0299137899421766E-5,0.071
86 , 8.858229951224897E-6,0.071
87 , 9.041494294043381E-6,0.071
88 , 9.074823858792783E-6,0.071
89 , 1.1652737372050095E-5,0.071
90 , 1.031797753208514E-5,0.072
91 , 1.0011892544388615E-5,0.072
92 , 1.0367359794360393E-5,0.072
93 , 1.0367359794360393E-5,0.072
94 , 1.158872297202064E-5,0.072
95 , 1.1500043474032125E-5,0.072
96 , 1.1681367179036459E-5,0.072
97 , 1.282999426487602E-5,0.072
98 , 1.4022770817826967E-5,0.072
99 , 1.2477395385060437E-5,0.073
100 , 1.3521122037280534E-5,0.073
101 , 1.3862032340576154E-5,0.073
102 , 1.3900471607886302E-5,0.073
103 , 1.7250378833581037E-5,0.073
104 , 1.5542458202793048E-5,0.073
105 , 1.632031999081463E-5,0.073
106 , 1.8504240174385314E-5,0.073
