generations , best_fitness , time_elapsed
1 , 0.0,0.07
2 , 1.7192665379983843E-11,0.073
3 , 2.306919408304491E-22,0.073
4 , 6.226968436114993E-11,0.074
5 , 8.27810261909498E-9,0.074
6 , 1.4076525749750702E-9,0.074
7 , 4.671132875166798E-9,0.075
8 , 1.1323695145669353E-8,0.075
9 , 1.0062934337439842E-8,0.075
10 , 1.1908897534503953E-8,0.076
11 , 9.016488962359758E-8,0.076
12 , 1.3808706449917465E-8,0.076
13 , 4.039219704143364E-8,0.076
14 , 1.7918936322844015E-7,0.077
15 , 5.6747273959251256E-8,0.077
16 , 7.104683102826836E-8,0.077
17 , 1.921706931525686E-7,0.077
18 , 1.2055902200889643E-7,0.077
19 , 2.34674223182463E-7,0.078
20 , 2.34674223182463E-7,0.078
21 , 2.8089716863345415E-7,0.078
22 , 2.6263155095251007E-7,0.078
23 , 2.8908729912510714E-7,0.078
24 , 3.0325259398902616E-7,0.079
25 , 3.3736056556315804E-7,0.079
26 , 3.214419069022177E-7,0.079
27 , 4.0457474526933163E-7,0.079
28 , 3.691261716997492E-7,0.08
29 , 9.354725416086686E-7,0.08
30 , 4.6897321579587376E-7,0.08
31 , 7.475868824140887E-7,0.08
32 , 8.132285154920082E-7,0.08
33 , 8.776220010871641E-7,0.08
34 , 9.103087698481946E-7,0.081
35 , 9.612839377637083E-7,0.081
36 , 9.14733990563242E-7,0.081
37 , 9.540388742533512E-7,0.081
38 , 9.95800711214384E-7,0.081
39 , 1.0581289706003678E-6,0.082
40 , 1.0730791053275634E-6,0.082
41 , 1.5641329381127852E-6,0.082
42 , 1.0813604999916993E-6,0.082
43 , 1.357693796026965E-6,0.082
44 , 1.4428661169501153E-6,0.082
45 , 1.3364375187796845E-6,0.083
46 , 1.5380783941836616E-6,0.083
47 , 1.5075590879797284E-6,0.083
48 , 2.1521249904417674E-6,0.083
49 , 2.0093337042054257E-6,0.083
50 , 1.8552370775830523E-6,0.083
51 , 2.5780293650756754E-6,0.083
52 , 2.1312953467456762E-6,0.084
53 , 2.4792232466346858E-6,0.084
54 , 2.651242944192833E-6,0.084
55 , 2.5644257635599594E-6,0.084
56 , 2.59966698849898E-6,0.084
57 , 2.620172118983837E-6,0.084
58 , 2.76709118574991E-6,0.086
59 , 2.764193736536454E-6,0.086
60 , 3.0636989707311667E-6,0.086
61 , 2.734786152386598E-6,0.086
62 , 2.7771512419692894E-6,0.087
63 , 3.1648970946227E-6,0.087
64 , 5.1013016687576E-6,0.087
65 , 4.364228770335909E-6,0.087
66 , 4.720517742716789E-6,0.087
67 , 5.265038315035101E-6,0.087
68 , 5.094861954487649E-6,0.088
69 , 5.261077920345583E-6,0.088
70 , 6.579215234918834E-6,0.088
71 , 6.56231005327127E-6,0.088
72 , 6.605447312063318E-6,0.088
73 , 7.043696318224737E-6,0.088
74 , 6.565748582495501E-6,0.088
75 , 7.222852927458002E-6,0.088
76 , 7.323450632969226E-6,0.089
77 , 7.0653015074154294E-6,0.089
78 , 9.585527985698021E-6,0.089
79 , 8.390361502227032E-6,0.089
80 , 8.617352774987005E-6,0.089
81 , 9.277372703621416E-6,0.089
82 , 9.557417050755872E-6,0.089
83 , 9.308581115205384E-6,0.09
84 , 1.031120093562596E-5,0.09
85 , 1.027673275974233E-5,0.09
86 , 1.0423280438594318E-5,0.09
87 , 1.0370344146516507E-5,0.09
88 , 1.0549537129769221E-5,0.09
89 , 1.376715618194663E-5,0.091
90 , 1.0768920695544668E-5,0.091
91 , 1.3807807465242525E-5,0.091
92 , 2.1015168434486977E-5,0.091
93 , 1.3941087410212265E-5,0.091
94 , 1.567393812882677E-5,0.091
95 , 2.114907083809202E-5,0.091
96 , 2.4255406703784214E-5,0.092
97 , 3.406147340835353E-5,0.092
98 , 2.7013335100305798E-5,0.092
99 , 4.2762191965289125E-5,0.092
100 , 3.830727788119532E-5,0.092
101 , 3.875106207317475E-5,0.092
102 , 1.1809777760000636E-4,0.092
103 , 7.052728387123617E-5,0.092
104 , 6.959910141091121E-5,0.093
105 , 8.001559304049101E-5,0.093
106 , 7.377692797711463E-5,0.093
107 , 7.643444349426125E-5,0.093
108 , 1.2344684036024703E-4,0.093
109 , 1.218621336634282E-4,0.093
110 , 1.3037976739919746E-4,0.093
111 , 1.2600122090720894E-4,0.094
112 , 1.3037976739919746E-4,0.094
113 , 1.2755033187751815E-4,0.094
114 , 1.33349648966137E-4,0.094
115 , 1.4134777075512886E-4,0.094
116 , 1.4354245251192182E-4,0.094
117 , 1.4767951485306825E-4,0.094
118 , 1.4751474555120268E-4,0.094
119 , 1.4814561605091492E-4,0.095
120 , 1.8824264331645897E-4,0.095
121 , 2.2844826011825362E-4,0.095
122 , 2.1125855585491437E-4,0.095
123 , 2.1313415257990894E-4,0.095
124 , 2.2624383813038456E-4,0.095
125 , 2.210706694443427E-4,0.095
126 , 2.4837587436949E-4,0.096
127 , 2.510794029903424E-4,0.096
128 , 4.4290774360836486E-4,0.096
129 , 3.6549747100779933E-4,0.096
130 , 6.527157372366434E-4,0.096
