generations , best_fitness , time_elapsed
1 , 0.0,0.083
2 , 1.1685681373355786E-7,0.086
3 , 1.1293338837960848E-7,0.086
4 , 1.0644029213459954E-7,0.087
5 , 1.8109937044423216E-7,0.087
6 , 1.9890789029536655E-7,0.087
7 , 1.5491081145103957E-7,0.088
8 , 1.6989955323975188E-7,0.088
9 , 1.893816183320896E-7,0.089
10 , 2.9973361812137267E-7,0.089
11 , 2.704964453685997E-7,0.089
12 , 2.8822178050949256E-7,0.089
13 , 2.9973361812137267E-7,0.09
14 , 3.086079296625174E-7,0.09
15 , 3.2361183432012907E-7,0.09
16 , 3.080347095239253E-7,0.09
17 , 4.5765552678807263E-7,0.09
18 , 4.624508505077321E-7,0.091
19 , 6.284878305374022E-7,0.091
20 , 6.825374378548439E-7,0.091
21 , 5.98946010762588E-7,0.091
22 , 7.330140720944122E-7,0.092
23 , 6.752372301184339E-7,0.092
24 , 6.41597603502047E-7,0.092
25 , 7.785800431012596E-7,0.092
26 , 7.585756835329429E-7,0.092
27 , 7.598987690804766E-7,0.093
28 , 1.1425922379610448E-6,0.093
29 , 9.460616333669548E-7,0.093
30 , 1.0545557890307014E-6,0.093
31 , 1.847332014698637E-6,0.093
32 , 1.3944890601234547E-6,0.093
33 , 1.626205453727318E-6,0.094
34 , 1.7833446263599143E-6,0.094
35 , 1.847332014698637E-6,0.094
36 , 1.847332014698637E-6,0.094
37 , 2.063345597100941E-6,0.094
38 , 2.1719386271099283E-6,0.095
39 , 2.3660967561541348E-6,0.095
40 , 2.4044067124943886E-6,0.095
41 , 2.7410593498826267E-6,0.095
42 , 2.727455893068994E-6,0.095
43 , 2.7294838444572946E-6,0.096
44 , 3.3713279523815265E-6,0.096
45 , 3.5834319567218412E-6,0.096
46 , 3.1086274480838734E-6,0.096
47 , 3.4790876493861173E-6,0.096
48 , 3.5393902267102116E-6,0.096
49 , 3.869475417131034E-6,0.097
50 , 3.7331194395506622E-6,0.097
51 , 6.094086499920474E-6,0.097
52 , 4.735096977640383E-6,0.097
53 , 4.735096977640383E-6,0.097
54 , 4.744150527287148E-6,0.097
55 , 7.533286337978535E-6,0.098
56 , 5.384146724569721E-6,0.098
57 , 6.7799522637604065E-6,0.099
58 , 6.268219620040419E-6,0.099
59 , 7.941464448483776E-6,0.1
60 , 9.021765215599204E-6,0.1
61 , 7.924511609476274E-6,0.1
62 , 1.0051017684515662E-5,0.1
63 , 9.507126525212911E-6,0.1
64 , 1.5666765119195833E-5,0.1
65 , 1.7211056120812883E-5,0.101
66 , 1.6199966674683397E-5,0.101
67 , 1.8351239788683532E-5,0.101
68 , 1.7816305673012574E-5,0.101
69 , 1.841966501758083E-5,0.101
70 , 1.7957941741279446E-5,0.101
71 , 2.1328507594856727E-5,0.101
72 , 1.996238808935093E-5,0.102
73 , 1.9918956880087625E-5,0.102
74 , 1.976914550370772E-5,0.102
75 , 2.8185586273125044E-5,0.102
76 , 2.7349180817676206E-5,0.102
77 , 2.424388349181306E-5,0.102
78 , 2.7371133908269767E-5,0.102
79 , 3.2607814469121535E-5,0.103
80 , 5.4194075663954075E-5,0.103
81 , 4.100384386149773E-5,0.103
82 , 4.589133877174305E-5,0.103
83 , 4.789507706933732E-5,0.103
84 , 4.821673588845698E-5,0.103
85 , 5.472547681446639E-5,0.103
86 , 5.5317946987484075E-5,0.103
87 , 5.652635688302977E-5,0.103
88 , 1.2716330292135728E-4,0.104
89 , 1.1663370025636082E-4,0.104
90 , 1.3513213085506685E-4,0.104
91 , 1.2072350198448843E-4,0.104
92 , 1.4032248870832144E-4,0.104
93 , 1.608177181927552E-4,0.104
94 , 1.5028111912215568E-4,0.104
95 , 1.5910623004279618E-4,0.104
96 , 1.9257937600700853E-4,0.105
97 , 1.5918589716162765E-4,0.105
98 , 1.650990324162602E-4,0.105
99 , 1.872567033152086E-4,0.105
100 , 3.6327459975969044E-4,0.105
101 , 3.0088796765180944E-4,0.105
102 , 3.144449699605458E-4,0.105
103 , 3.2920802077601296E-4,0.105
104 , 3.5582983898203884E-4,0.106
105 , 3.481505088289175E-4,0.106
106 , 3.609129874886172E-4,0.106
107 , 3.598266598539212E-4,0.106
108 , 3.6636608040741344E-4,0.106
109 , 3.8614747502899985E-4,0.106
110 , 3.597846228906277E-4,0.106
111 , 0.0011783747193444744,0.107
112 , 6.911712981547923E-4,0.107
113 , 6.7239468931216E-4,0.107
114 , 0.0011687629532929201,0.107
115 , 0.001332443779806428,0.107
116 , 9.376624016222054E-4,0.107
117 , 0.0011935552778914492,0.107
118 , 0.0013364468458827653,0.107
119 , 0.001308593980036334,0.107
120 , 0.0013974317602652693,0.107
121 , 0.0013475566927919186,0.108
122 , 0.0013871937949347614,0.108
123 , 0.0014577111396421375,0.108
124 , 0.0014848653469282263,0.108
125 , 0.0014799256690411866,0.108
126 , 0.001488420635937962,0.108
127 , 0.001453481843345433,0.108
128 , 0.0014727767927041504,0.109
129 , 0.0015185890209252094,0.109
