generations , best_fitness , time_elapsed
1 , 0.0,0.06
2 , 2.291482343300948E-28,0.062
3 , 6.4180941921112795E-27,0.063
4 , 4.26787845406195E-26,0.063
5 , 5.8398323242502746E-27,0.063
6 , 1.6451428153788307E-24,0.063
7 , 7.038406076070744E-25,0.064
8 , 1.6167082355069825E-24,0.064
9 , 3.841496692635771E-23,0.064
10 , 9.364024809702703E-24,0.064
11 , 1.8651189185532877E-23,0.065
12 , 3.887810661350804E-23,0.065
13 , 1.9591442582001887E-23,0.065
14 , 3.911660318935925E-23,0.065
15 , 4.8059957688753594E-23,0.066
16 , 5.449041863419685E-23,0.066
17 , 4.4905463608982016E-23,0.066
18 , 4.829780632310662E-23,0.066
19 , 7.112177082885661E-23,0.066
20 , 6.241125616896893E-23,0.066
21 , 1.3738953016436347E-21,0.067
22 , 6.978331106492807E-23,0.067
23 , 3.493640628776897E-22,0.067
24 , 6.312732147352286E-22,0.067
25 , 5.611739537385741E-22,0.067
26 , 5.450573537965128E-22,0.067
27 , 1.4172333568652363E-21,0.068
28 , 1.501634687060406E-21,0.068
29 , 2.7936076331391633E-21,0.068
30 , 2.5446583144226046E-21,0.068
31 , 2.0077620299435796E-21,0.068
32 , 2.6810187792924974E-21,0.068
33 , 4.521022325807791E-21,0.068
34 , 3.2604033402093184E-21,0.069
35 , 5.5953142388750126E-21,0.069
36 , 6.452601434660844E-21,0.069
37 , 1.4635250406641374E-20,0.069
38 , 1.5553164027093025E-20,0.069
39 , 1.0075339433389713E-20,0.069
40 , 1.5553164027093025E-20,0.069
41 , 3.445143858327355E-20,0.069
42 , 6.647867075350918E-20,0.07
43 , 6.357571705380075E-20,0.07
44 , 6.615637867067025E-20,0.07
45 , 6.842425688001089E-20,0.07
46 , 1.8570983205127004E-19,0.07
47 , 1.1657798881841034E-19,0.07
48 , 1.2336843480424967E-19,0.07
49 , 1.4850971349002714E-19,0.07
50 , 2.4215884848377264E-19,0.071
51 , 2.1815555791767307E-19,0.071
52 , 1.777864350952936E-19,0.071
53 , 2.9640453908931966E-19,0.071
54 , 5.259859414325047E-19,0.071
55 , 5.363526914413447E-19,0.071
56 , 7.532722688231406E-19,0.071
57 , 9.488832509793293E-19,0.072
58 , 7.105123100637784E-19,0.073
59 , 8.222627246873222E-19,0.073
60 , 2.4968784268173806E-18,0.073
61 , 9.919471800559286E-19,0.073
62 , 2.4968784268173806E-18,0.073
63 , 2.605827413488421E-18,0.073
64 , 3.9497258041260185E-18,0.073
65 , 1.0808976979387655E-17,0.073
66 , 7.453504464729249E-18,0.074
67 , 1.4583775852907073E-17,0.074
68 , 1.934601420502301E-17,0.074
69 , 6.92322018602498E-17,0.074
70 , 4.886161174686313E-17,0.074
71 , 8.148493034600074E-17,0.074
72 , 7.275249061762826E-17,0.074
73 , 1.7075007957140677E-16,0.074
74 , 1.6791003784016411E-16,0.074
75 , 1.8006756668075797E-16,0.075
76 , 1.7994679351915374E-16,0.075
77 , 1.9479456422826065E-16,0.075
78 , 3.835243494341113E-16,0.075
79 , 1.0025803762371391E-15,0.075
80 , 8.465503438551552E-16,0.075
81 , 1.1951573543419912E-15,0.076
82 , 1.2773885294468788E-15,0.076
83 , 1.267161325268413E-15,0.076
84 , 1.4300999397377E-15,0.076
85 , 2.4660190262644265E-15,0.076
86 , 1.7413929246038226E-15,0.076
87 , 1.7867325853176606E-15,0.077
88 , 1.0826532750785574E-14,0.077
89 , 6.0724426207009834E-15,0.077
90 , 2.151965271362395E-14,0.077
91 , 1.0570869649987409E-14,0.077
92 , 1.5141213250429847E-14,0.077
93 , 1.9923990653612975E-14,0.077
94 , 1.7584523248860639E-13,0.077
