generations , best_fitness , time_elapsed
1 , 0.0,0.067
2 , 2.341984855390849E-14,0.069
3 , 2.3801618513724563E-12,0.069
4 , 5.0907211522626975E-9,0.07
5 , 4.722262019742661E-9,0.07
6 , 5.200939527751451E-9,0.07
7 , 6.062307019305539E-9,0.071
8 , 6.138949700520389E-9,0.071
9 , 6.693202235516997E-9,0.071
10 , 6.556375428145026E-9,0.072
11 , 6.52699016372324E-9,0.072
12 , 7.4023864893972715E-9,0.072
13 , 7.1448670108518935E-9,0.072
14 , 7.304072002941403E-9,0.072
15 , 8.604437290677808E-9,0.073
16 , 7.273622993930675E-9,0.073
17 , 9.612480254853302E-9,0.073
18 , 8.79788463200305E-9,0.073
19 , 9.200644782863076E-9,0.074
20 , 9.2503940017818E-9,0.074
21 , 9.387942372719596E-9,0.074
22 , 1.0407268033070917E-8,0.074
23 , 1.0559222400003514E-8,0.074
24 , 1.1914339767857769E-8,0.075
25 , 1.3025543554362075E-8,0.075
26 , 1.2737334457263238E-8,0.075
27 , 1.2872437462560687E-8,0.075
28 , 1.4101510937515024E-8,0.075
29 , 1.3308101695762089E-8,0.076
30 , 1.4104571680342983E-8,0.076
31 , 1.7203702679926874E-8,0.076
32 , 2.1348558789022764E-8,0.076
33 , 1.8192248394028393E-8,0.076
34 , 1.9459895013800228E-8,0.076
35 , 2.2698047378701397E-8,0.077
36 , 2.104146705128219E-8,0.077
37 , 2.2212414777160743E-8,0.077
38 , 2.378524127351358E-8,0.077
39 , 2.3701033574810877E-8,0.077
40 , 2.474300473896364E-8,0.077
41 , 3.505847797938713E-8,0.077
42 , 2.83002264638062E-8,0.078
43 , 3.155672966966699E-8,0.078
44 , 3.1934241874155624E-8,0.078
45 , 3.364397763320631E-8,0.078
46 , 3.365805022870278E-8,0.078
47 , 3.370291985512343E-8,0.078
48 , 3.355103606892751E-8,0.078
49 , 3.653897157912942E-8,0.079
50 , 3.7143997249336305E-8,0.079
51 , 3.896570807297005E-8,0.079
52 , 3.847223441079583E-8,0.079
53 , 4.107435076380357E-8,0.079
54 , 4.036646265784616E-8,0.079
55 , 3.9902092001753635E-8,0.079
56 , 4.32457693696514E-8,0.08
57 , 5.570121994806271E-8,0.081
58 , 5.256005779859947E-8,0.081
59 , 5.153718096882692E-8,0.081
60 , 5.4236780017298054E-8,0.081
61 , 6.021041666890345E-8,0.082
62 , 6.943583881219092E-8,0.082
63 , 6.840316850316433E-8,0.082
64 , 6.938543232726992E-8,0.082
65 , 6.824436928881375E-8,0.082
66 , 6.748818544968583E-8,0.082
67 , 7.415006231389498E-8,0.082
68 , 9.87415003954936E-8,0.083
69 , 8.400410908250546E-8,0.083
70 , 8.784336257560944E-8,0.083
71 , 1.1522808456875632E-7,0.083
72 , 1.7343540237190757E-7,0.083
73 , 1.2482417632492127E-7,0.083
74 , 1.6736389311280832E-7,0.083
75 , 1.6443686671125404E-7,0.083
76 , 1.6468014441064203E-7,0.083
77 , 1.7710934167034857E-7,0.084
