generations , best_fitness , time_elapsed
1 , 0.0,0.048
2 , 1.6115762792180173E-8,0.05
3 , 8.546755425517837E-5,0.05
4 , 1.1253689532896346E-4,0.05
5 , 1.7463241003338697E-4,0.051
6 , 1.550812280804074E-4,0.051
7 , 1.5867240844626908E-4,0.051
8 , 2.047207613838203E-4,0.051
9 , 1.8233718454595195E-4,0.052
10 , 1.9047285706593663E-4,0.052
11 , 2.26390245177976E-4,0.052
12 , 1.99924442489287E-4,0.052
13 , 2.9019552853265664E-4,0.052
14 , 2.873065475246397E-4,0.053
15 , 2.5953620388274954E-4,0.053
16 , 2.873065475246397E-4,0.053
17 , 3.2805061513030686E-4,0.053
18 , 4.659301527630637E-4,0.053
19 , 5.367219213566342E-4,0.053
20 , 5.400222087611693E-4,0.053
21 , 6.508450204359502E-4,0.054
22 , 6.511388810778973E-4,0.054
23 , 8.830394272997105E-4,0.054
24 , 9.128072212917954E-4,0.054
25 , 8.44417635394194E-4,0.054
26 , 9.24586560633969E-4,0.054
27 , 0.0010949319185035178,0.055
28 , 0.0011665297514262215,0.055
29 , 0.0012420851687621939,0.055
30 , 0.0015322941975069485,0.055
31 , 0.0012515013311075076,0.055
32 , 0.0016934858364628486,0.055
33 , 0.001728243954100813,0.055
34 , 0.0015185979570885282,0.056
35 , 0.00173621369076528,0.056
36 , 0.0017279162938122707,0.056
37 , 0.0017321261743740274,0.056
38 , 0.0017667166498847378,0.056
39 , 0.0018058086812547808,0.056
40 , 0.0018058086812547808,0.056
41 , 0.001853172610753877,0.056
42 , 0.0021037802723087094,0.057
43 , 0.0022111473868612085,0.057
44 , 0.0022162774804008996,0.057
45 , 0.0021818229026888468,0.057
46 , 0.0021991724898834395,0.057
47 , 0.00342731387214082,0.057
48 , 0.0031244413813774725,0.057
49 , 0.0031884141095330125,0.058
50 , 0.0033959099339586126,0.058
51 , 0.003921048501010483,0.058
52 , 0.0038392342670879494,0.058
53 , 0.0037765494061156022,0.058
54 , 0.00444518087112519,0.058
55 , 0.0041900441315044275,0.058
56 , 0.004556005998306879,0.059
57 , 0.004312656065980248,0.06
58 , 0.004574491390032918,0.06
59 , 0.004979845092749244,0.06
60 , 0.004539089536012194,0.06
61 , 0.005173603442050289,0.06
62 , 0.00533904807702258,0.06
63 , 0.00627745108190995,0.06
