generations , best_fitness , time_elapsed
1 , 0.0,0.072
2 , 1.021007503946973E-7,0.075
3 , 1.7157013829820673E-7,0.075
4 , 1.8026312696283737E-7,0.076
5 , 2.065561710799412E-7,0.076
6 , 2.5209888543199667E-7,0.076
7 , 2.527996802987521E-7,0.077
8 , 2.3519655195011233E-7,0.077
9 , 3.2733989474854547E-7,0.077
10 , 3.551894809388818E-7,0.078
11 , 3.256717682757647E-7,0.078
12 , 3.423445213635419E-7,0.078
13 , 4.995273032386315E-7,0.078
14 , 4.995273032386315E-7,0.079
15 , 5.105310026381665E-7,0.079
16 , 4.995273032386315E-7,0.079
17 , 4.903210613100123E-7,0.079
18 , 5.194813876499214E-7,0.08
19 , 5.595153926675616E-7,0.08
20 , 5.623571384703049E-7,0.08
21 , 6.208039072344762E-7,0.08
22 , 6.641182245435976E-7,0.08
23 , 6.425161469243374E-7,0.081
24 , 6.841301798217924E-7,0.081
25 , 7.526429986974852E-7,0.081
26 , 6.910780081010468E-7,0.081
27 , 8.628828165370131E-7,0.082
28 , 7.731683760036247E-7,0.082
29 , 1.1371428765136192E-6,0.082
30 , 1.1026005720760832E-6,0.082
31 , 1.047052707858318E-6,0.082
32 , 1.6396568057692699E-6,0.082
33 , 1.6388784230894334E-6,0.083
34 , 1.6138612037305906E-6,0.083
35 , 1.6396568057692699E-6,0.083
36 , 1.8414589970258882E-6,0.083
37 , 1.7648728708349253E-6,0.083
38 , 1.9624470623274637E-6,0.084
39 , 1.8817204597412507E-6,0.084
40 , 2.3494561447707918E-6,0.084
41 , 2.2514660491738073E-6,0.084
42 , 2.2435392872211363E-6,0.084
43 , 2.408699649348079E-6,0.084
44 , 2.24023647185192E-6,0.084
45 , 2.3878672838105687E-6,0.085
46 , 2.5755356195044546E-6,0.085
47 , 2.501487253577435E-6,0.085
48 , 2.649211084965963E-6,0.085
49 , 2.552865564887275E-6,0.086
50 , 2.5635885273342586E-6,0.086
51 , 2.646410065796785E-6,0.088
52 , 2.929891174940995E-6,0.088
53 , 4.3048206078072E-6,0.088
54 , 3.4317461393782166E-6,0.088
55 , 3.0478013664972295E-6,0.088
56 , 3.6248660265570915E-6,0.088
57 , 3.7623042538186544E-6,0.088
58 , 4.182730288227727E-6,0.089
59 , 4.149657834701464E-6,0.089
60 , 4.6558548137594125E-6,0.089
61 , 4.453507574258533E-6,0.089
62 , 4.488105230808057E-6,0.089
63 , 4.644751599201145E-6,0.089
64 , 4.632960889736193E-6,0.09
65 , 5.135414693051477E-6,0.09
66 , 6.923210500720564E-6,0.09
67 , 6.667898083363055E-6,0.09
68 , 7.342630061211934E-6,0.09
69 , 6.688654439032036E-6,0.09
70 , 6.6662249438872985E-6,0.09
71 , 7.791708495948042E-6,0.091
72 , 6.892087078832115E-6,0.091
73 , 7.424027892570382E-6,0.091
74 , 7.787104790220384E-6,0.091
75 , 7.768733570123256E-6,0.091
76 , 7.787104790220384E-6,0.091
77 , 7.952031749826783E-6,0.091
78 , 1.5810989939491443E-5,0.092
79 , 8.825026226482375E-6,0.092
80 , 1.0914431564059275E-5,0.092
81 , 1.3455879669913567E-5,0.092
82 , 1.3856693837078331E-5,0.092
83 , 1.5259366782534463E-5,0.092
84 , 1.4872765468796682E-5,0.092
85 , 1.5141538287877454E-5,0.092
86 , 1.6502271621707926E-5,0.093
87 , 1.814761617252565E-5,0.093
88 , 2.0132168186205044E-5,0.093
89 , 1.9007067432616738E-5,0.093
90 , 2.6974176006180824E-5,0.093
91 , 2.1406349946191658E-5,0.093
92 , 2.0796126065506357E-5,0.093
93 , 2.1515271786447748E-5,0.094
94 , 2.9096918912365874E-5,0.094
95 , 3.103480819105107E-5,0.094
96 , 3.212170118807135E-5,0.094
97 , 3.2321766020132353E-5,0.094
98 , 3.567723192275224E-5,0.094
99 , 3.45989602826387E-5,0.095
100 , 3.4193088982479414E-5,0.095
101 , 3.3604433708915026E-5,0.095
102 , 3.728127359243307E-5,0.095
103 , 3.947011853465353E-5,0.095
104 , 3.809692501528813E-5,0.095
105 , 3.6827888921922106E-5,0.095
106 , 3.8150464364802916E-5,0.095
107 , 3.828832066916919E-5,0.096
108 , 3.9711755060491304E-5,0.096
109 , 4.477493070558519E-5,0.096
110 , 4.7522956505810344E-5,0.096
111 , 4.623075090677436E-5,0.096
112 , 4.695665286159894E-5,0.096
113 , 4.5882555472866406E-5,0.096
114 , 4.890638633902473E-5,0.096
115 , 4.9164023132488186E-5,0.097
116 , 5.277363215626088E-5,0.097
117 , 5.099656705918304E-5,0.097
118 , 5.422307581721008E-5,0.097
119 , 5.2638390627460195E-5,0.097
120 , 5.2936377641561E-5,0.097
121 , 5.2890871596373726E-5,0.097
122 , 5.600613045994848E-5,0.097
123 , 5.925367451031345E-5,0.098
124 , 5.9045872015121496E-5,0.098
125 , 5.9670645251788445E-5,0.098
126 , 6.536251341551768E-5,0.098
127 , 6.455715909351427E-5,0.098
128 , 6.22043108301462E-5,0.098
129 , 6.538531074527146E-5,0.098
130 , 6.534477801104302E-5,0.099
131 , 6.994421841900026E-5,0.099
132 , 6.840718910857718E-5,0.099
133 , 7.10532637123595E-5,0.099
134 , 7.360380993501323E-5,0.099
135 , 6.956112987135275E-5,0.099
136 , 7.379193549291997E-5,0.099
137 , 8.409173514012215E-5,0.099
138 , 8.409173514012215E-5,0.099
139 , 8.425469063547686E-5,0.1
140 , 8.189380211284962E-5,0.1
141 , 8.36027197028657E-5,0.1
142 , 9.09237401014514E-5,0.1
143 , 7.965598638906862E-5,0.1
144 , 8.708137984531662E-5,0.1
145 , 9.271959858897754E-5,0.1
146 , 9.40871409093379E-5,0.1
147 , 9.359407259763188E-5,0.101
148 , 9.394729431939917E-5,0.101
149 , 9.891941239670273E-5,0.101
150 , 9.891941239670273E-5,0.101
151 , 9.986862915257504E-5,0.101
152 , 9.94067279590516E-5,0.101
153 , 1.3622714165916475E-4,0.101
154 , 1.1644615486416415E-4,0.101
155 , 1.3579346280269617E-4,0.101
156 , 1.2590786184919287E-4,0.102
157 , 1.3138986679589945E-4,0.102
158 , 1.3846802810029896E-4,0.102
159 , 1.4498077150581655E-4,0.102
160 , 1.4995776409870877E-4,0.102
161 , 1.6006978071984998E-4,0.102
162 , 1.4961524979393263E-4,0.102
163 , 1.5319467624506634E-4,0.102
164 , 1.5168332651384884E-4,0.103
165 , 1.5809396274619087E-4,0.103
166 , 1.5776530005205615E-4,0.103
167 , 1.5776530005205615E-4,0.103
168 , 1.5920910871874825E-4,0.103
169 , 1.5878700153118576E-4,0.103
170 , 1.7696286927255413E-4,0.103
171 , 1.5925524531130493E-4,0.103
172 , 2.266766584196797E-4,0.103
173 , 2.3293550943741812E-4,0.104
174 , 2.0920402628295563E-4,0.104
175 , 2.837526211984953E-4,0.104
176 , 2.3896748625534825E-4,0.104
177 , 2.5722615977979876E-4,0.104
178 , 2.7095825119568455E-4,0.104
179 , 2.7095825119568455E-4,0.104
180 , 2.9099977979046935E-4,0.104
181 , 7.307557849842036E-4,0.104
182 , 2.9527788781801657E-4,0.104
183 , 5.817054130612443E-4,0.105
184 , 8.229624411313091E-4,0.105
185 , 4.653302278232876E-4,0.105
186 , 6.320214696462212E-4,0.105
187 , 6.854030616150084E-4,0.105
188 , 8.229624411313091E-4,0.105
189 , 7.827104313070571E-4,0.105
190 , 0.001423705031738951,0.105
191 , 0.001115293107012048,0.105
192 , 0.0014166594785260576,0.106
193 , 0.0010806071768779996,0.106
194 , 0.0012361558961985516,0.106
195 , 0.0017219646260663549,0.106
196 , 0.002026985128969653,0.106
197 , 0.002026985128969653,0.106
198 , 0.0020233666390501517,0.106
199 , 0.002025176627516973,0.106
200 , 0.0027194908331966265,0.107
201 , 0.002516998451190215,0.107
202 , 0.0025016347956596757,0.107
203 , 0.002584052478445408,0.107
204 , 0.0026218352497986647,0.107
205 , 0.0029330756392539703,0.107
206 , 0.002806030179637315,0.107
207 , 0.0027408211681653567,0.107
208 , 0.005458602530588736,0.107
209 , 0.005245372120763055,0.107
210 , 0.005572213410939389,0.108
211 , 0.012991192075130427,0.108
212 , 0.005705445535586601,0.108
213 , 0.010990631224095269,0.108
214 , 0.012398703617342653,0.108
215 , 0.017700558888300206,0.108
216 , 0.01495804679895232,0.108
217 , 0.030157787710707522,0.108
218 , 0.02351886939260662,0.108
219 , 0.03707271928325811,0.108
220 , 0.037139361641880045,0.109
221 , 0.03872607077800587,0.109
