generations , best_fitness , time_elapsed
1 , 0.0,0.045
2 , 3.009222577357749E-44,0.047
3 , 4.337702558841026E-25,0.047
4 , 1.8440436724718002E-24,0.048
5 , 7.301704053586464E-25,0.048
6 , 5.979027324873194E-25,0.048
7 , 7.281956981175817E-25,0.048
8 , 1.1622956105382916E-24,0.049
9 , 1.8173287169321227E-24,0.049
10 , 1.8935974546018637E-24,0.049
11 , 7.921707435690546E-24,0.049
12 , 2.2631911012624902E-24,0.05
13 , 5.490163879284356E-24,0.05
14 , 7.921707435690546E-24,0.05
15 , 2.5603902774449426E-23,0.05
16 , 2.5603902774449426E-23,0.05
17 , 2.5603902774449426E-23,0.05
18 , 5.805411661772966E-23,0.051
19 , 4.0201619715459226E-23,0.051
20 , 4.8362732365722294E-23,0.051
21 , 5.600734113638432E-23,0.051
22 , 7.85678693610264E-23,0.051
23 , 9.000099642846364E-23,0.051
24 , 7.84838535228857E-23,0.052
25 , 7.825255181459979E-23,0.052
26 , 5.410023921784431E-22,0.052
27 , 3.5627996128196254E-22,0.052
28 , 4.475088436343651E-22,0.052
29 , 3.8542955147490836E-22,0.052
30 , 4.321024362391757E-22,0.053
31 , 5.072374353906854E-22,0.053
32 , 5.785717891194189E-22,0.053
33 , 2.837607120295214E-21,0.053
34 , 6.1331741427408475E-22,0.053
35 , 7.008390962496934E-22,0.053
36 , 4.439970734625944E-21,0.053
37 , 4.330459299362481E-21,0.054
38 , 2.4028555182545163E-21,0.054
39 , 2.6645384582847256E-21,0.054
40 , 1.961695644512336E-20,0.054
41 , 1.1291508762767528E-20,0.054
42 , 8.863590929020499E-21,0.054
43 , 7.790455009196387E-21,0.054
44 , 1.19693952001059E-20,0.054
45 , 1.3292573995461994E-20,0.055
46 , 1.4604075178029116E-20,0.055
47 , 1.673773158412576E-20,0.055
48 , 1.82594793618527E-20,0.055
49 , 2.0034922133587708E-20,0.055
50 , 3.3615306547906623E-20,0.055
51 , 1.9355723775960447E-19,0.055
52 , 1.9585392023712103E-19,0.055
53 , 1.947058269492106E-19,0.057
54 , 2.4900843775286527E-19,0.057
55 , 2.2224346104395353E-19,0.057
56 , 2.3443378550037274E-19,0.057
57 , 2.3870995097332074E-19,0.057
58 , 3.00793228678883E-19,0.057
59 , 2.5362271713630786E-19,0.057
60 , 3.7316714166986765E-19,0.058
61 , 7.185569744145494E-18,0.058
62 , 8.151346783370028E-18,0.058
63 , 9.352484011460932E-17,0.058
64 , 7.850096292961642E-18,0.058
65 , 9.676896824616964E-18,0.058
66 , 9.54838239653728E-18,0.058
67 , 3.0642378880697816E-17,0.059
68 , 1.0088075277820161E-16,0.059
69 , 5.704800613231521E-17,0.059
70 , 8.961116163720985E-17,0.059
71 , 1.0632020862528994E-16,0.059
72 , 1.0718648204395634E-16,0.059
73 , 1.338025411367586E-16,0.059
74 , 1.0856470918379653E-16,0.059
75 , 6.763845356605569E-16,0.06
76 , 3.915146192580252E-16,0.06
77 , 6.856870894407874E-16,0.06
78 , 6.838732225935337E-16,0.06
79 , 7.050770645006143E-16,0.06
80 , 6.983694784042747E-16,0.06
81 , 3.736686095269277E-15,0.06
82 , 1.6472817134053996E-15,0.06
83 , 1.180943860782901E-15,0.06
84 , 3.4858256458249833E-15,0.061
85 , 4.783849120952114E-15,0.061
86 , 3.4091215007430496E-15,0.061
87 , 3.6906643206249205E-15,0.061
88 , 4.236989392886302E-15,0.061
89 , 4.281701197655378E-15,0.061
90 , 5.716796995047282E-15,0.061
91 , 2.3584144339743936E-14,0.062
92 , 1.0481093057093606E-14,0.062
93 , 7.83452828520372E-15,0.062
94 , 1.589432101225836E-14,0.062
95 , 1.9074739182552892E-14,0.062
96 , 1.9502951755032096E-14,0.062
97 , 2.1208637341256306E-14,0.062
98 , 2.2319293361098354E-14,0.063
99 , 2.096979615047767E-14,0.063
100 , 2.4520186465743116E-14,0.063
101 , 2.9132756952386925E-14,0.063
102 , 2.922258347479102E-14,0.063
103 , 2.6712948503018327E-14,0.063
104 , 3.026552823876504E-14,0.063
105 , 2.9219463309734335E-14,0.063
106 , 1.0500960788497678E-13,0.063
107 , 2.9740825220583607E-14,0.063
108 , 5.744022124253474E-14,0.064
109 , 5.722799617911621E-14,0.064
110 , 8.311177206144503E-14,0.064
111 , 9.464064448718929E-14,0.064
112 , 9.423055843370726E-14,0.064
113 , 2.1082851536224356E-13,0.064
114 , 1.4260929714979144E-13,0.064
115 , 1.192896517373623E-13,0.064
116 , 1.235664453827201E-13,0.064
117 , 1.735509685368866E-13,0.065
118 , 2.1995527555827108E-13,0.065
119 , 1.9126909718965731E-13,0.065
120 , 2.4484918934944493E-13,0.065
121 , 2.304995828966611E-13,0.065
122 , 2.432842726593578E-13,0.065
123 , 2.348389287748595E-13,0.065
124 , 3.791114873232602E-13,0.065
125 , 3.1734196349509147E-13,0.066
126 , 3.1729180609663937E-13,0.066
127 , 4.492068925740516E-12,0.066
128 , 4.563485357949588E-12,0.066
129 , 9.157197993292158E-12,0.066
130 , 6.83608549614786E-12,0.066
131 , 7.49828890785341E-12,0.066
132 , 7.901360327967808E-12,0.066
133 , 1.1279021789995494E-11,0.066
134 , 1.3643720480340868E-11,0.067
135 , 1.6382172915896095E-11,0.067
136 , 2.2886102723096597E-10,0.067
137 , 2.2843969149520429E-10,0.067
138 , 1.167734416438509E-10,0.067
139 , 2.2990861775765911E-10,0.067
140 , 2.2216883719911198E-10,0.067
141 , 2.3185984206229814E-10,0.067
142 , 2.3096944549690222E-10,0.067
143 , 8.623734815267018E-10,0.068
144 , 1.2019663082425746E-9,0.068
145 , 2.437302465353783E-10,0.068
146 , 5.60284849412798E-10,0.068
147 , 2.2855375658611812E-9,0.068
148 , 1.1622908269080492E-9,0.068
149 , 1.664056713409773E-9,0.068
150 , 1.6940645450223474E-9,0.068
151 , 1.9178263556049587E-9,0.068
152 , 1.7938536177369566E-9,0.068
153 , 1.9178263556049587E-9,0.068
154 , 2.0864484229573042E-9,0.069
155 , 2.1860397792228786E-9,0.069
156 , 2.340643923530861E-9,0.069
157 , 6.065342799196605E-9,0.069
158 , 2.3112832298773238E-9,0.069
159 , 4.772896966407945E-9,0.069
160 , 6.789950923443159E-9,0.069
161 , 5.703405216801312E-9,0.069
162 , 9.069209215333052E-9,0.069
163 , 2.8003416658423343E-8,0.07
164 , 1.6130070155610327E-8,0.07
165 , 1.613080685501876E-8,0.07
166 , 2.137504554768584E-8,0.07
167 , 2.1911138806303528E-8,0.07
168 , 2.8003416658423343E-8,0.07
169 , 3.781819420689574E-8,0.07
170 , 3.363958587408613E-8,0.07
171 , 3.6927712415263923E-8,0.07
172 , 4.2881783000190894E-8,0.07
173 , 4.016516632249287E-8,0.07
174 , 4.2538792424474886E-8,0.07
175 , 6.06688641676521E-8,0.071
176 , 4.320199891166559E-8,0.071
177 , 4.2948809761698573E-7,0.071
178 , 1.4907239789443345E-7,0.071
179 , 6.289470550178302E-7,0.071
180 , 5.2115817623704E-7,0.071
181 , 5.212706606621899E-7,0.071
182 , 5.682214166470826E-7,0.071
183 , 5.799138120183211E-7,0.071
184 , 8.310822266101404E-7,0.071
185 , 7.027421023025961E-7,0.071
186 , 7.350781186190448E-7,0.072
187 , 7.004141800219881E-7,0.072
188 , 7.862347723610113E-7,0.072
189 , 9.097933325465342E-7,0.072
190 , 8.112301720333894E-7,0.072
191 , 1.0125145708449922E-6,0.072
192 , 8.970768188701001E-7,0.072
193 , 9.372158234770526E-7,0.072
194 , 1.1635471291309938E-6,0.072
195 , 2.362443352562475E-6,0.072
196 , 1.508664751893172E-6,0.072
197 , 1.5047401469920798E-6,0.073
198 , 2.143665537246523E-6,0.073
199 , 2.127058852809503E-6,0.073
200 , 2.8212655491087004E-6,0.073
201 , 2.8661696952469195E-6,0.073
202 , 2.8012373031167786E-6,0.073
