generations , best_fitness , time_elapsed
1 , 0.0,0.047
2 , 1.3269647412888235E-6,0.048
3 , 2.0547635547051566E-6,0.049
4 , 4.446911626999421E-6,0.049
5 , 3.3352148052718003E-6,0.049
6 , 4.4300911388153725E-6,0.05
7 , 3.922994685422017E-6,0.05
8 , 5.16421484645828E-6,0.05
9 , 4.826799059865972E-6,0.05
10 , 4.825951788443101E-6,0.051
11 , 5.694377725936521E-6,0.051
12 , 6.152477614968528E-6,0.051
13 , 5.725557205489473E-6,0.051
14 , 6.70366673814304E-6,0.051
15 , 6.281590983258137E-6,0.051
16 , 6.918771106754711E-6,0.052
17 , 1.651782265985472E-5,0.052
18 , 1.6018328034226113E-5,0.052
19 , 1.6489461903286565E-5,0.052
20 , 2.0571394300548324E-5,0.052
21 , 2.0599201676796747E-5,0.052
22 , 2.092416444917634E-5,0.053
23 , 3.982972194811268E-5,0.053
24 , 4.066593324441744E-5,0.053
25 , 3.7895071994481356E-5,0.053
26 , 4.0826720406481904E-5,0.053
27 , 4.993556534194447E-5,0.053
28 , 4.383314241420308E-5,0.054
29 , 5.009878855509291E-5,0.054
30 , 5.9207045753524807E-5,0.054
31 , 4.993556534194447E-5,0.054
32 , 5.318922348452673E-5,0.054
33 , 6.322483125022912E-5,0.054
34 , 6.476088825935077E-5,0.054
35 , 6.615566527633523E-5,0.054
36 , 6.58289986614666E-5,0.055
37 , 8.653320703420081E-5,0.055
38 , 6.682969523156452E-5,0.055
39 , 6.700140504537807E-5,0.055
40 , 8.77506623929402E-5,0.055
41 , 9.115264516348432E-5,0.055
42 , 9.809439830543777E-5,0.055
43 , 1.022791191421005E-4,0.056
44 , 1.0630222236054847E-4,0.056
45 , 1.1340596838801628E-4,0.056
46 , 1.0886656430826902E-4,0.056
47 , 3.617528750712651E-4,0.056
48 , 4.008990815836336E-4,0.056
49 , 3.626670662522903E-4,0.056
50 , 4.5781365804708113E-4,0.056
51 , 4.090994181862556E-4,0.056
52 , 4.4240515420094806E-4,0.057
53 , 4.524626679016307E-4,0.057
54 , 6.71267825299934E-4,0.057
55 , 5.782633079378238E-4,0.057
56 , 7.146705892068536E-4,0.057
57 , 6.590218938846723E-4,0.058
58 , 0.0010043015163515565,0.058
59 , 9.331884439962434E-4,0.058
60 , 7.110534133059931E-4,0.059
61 , 0.001130744788106635,0.059
62 , 0.0012134482476629427,0.059
63 , 0.0011717856858352747,0.059
64 , 0.0011700704266138112,0.059
65 , 0.0013126362366091453,0.059
66 , 0.001223225359016411,0.059
67 , 0.001223534006653948,0.059
68 , 0.0012247293505175689,0.06
69 , 0.0013658001451946357,0.06
70 , 0.0012408925434694074,0.06
71 , 0.0013994139977585999,0.06
72 , 0.003448151351873904,0.06
73 , 0.0032607002125113436,0.06
74 , 0.004524645326733566,0.06
75 , 0.004524864937689915,0.06
76 , 0.0038602550591568994,0.06
77 , 0.005589904530200816,0.06
78 , 0.004476031575159968,0.061
79 , 0.006156551193929821,0.061
80 , 0.005709402310989093,0.061
81 , 0.006750603519769743,0.061
82 , 0.0076068332342593995,0.061
83 , 0.007045155569063281,0.061
84 , 0.0070756027745515725,0.061
85 , 0.007635823795679753,0.061
86 , 0.007713857024587637,0.061
87 , 0.00783267327676003,0.062
88 , 0.00770443135251919,0.062
89 , 0.007825822261385116,0.062
90 , 0.007772039118659403,0.062
91 , 0.007982365497298166,0.062
92 , 0.007972839815611006,0.062
93 , 0.008115783882364284,0.062
94 , 0.008074785704514505,0.062
95 , 0.00872126136102679,0.062
96 , 0.009275621878864817,0.063
97 , 0.013400270140047339,0.063
98 , 0.009999667209664425,0.063
99 , 0.013400270140047339,0.063
100 , 0.01377173608608228,0.063
101 , 0.01456390888478703,0.063
102 , 0.014325572636184943,0.063
