generations , best_fitness , time_elapsed
1 , 0.0,1.015
2 , 0.0,1.018
3 , 1.0146765934438554E-41,1.02
4 , 1.1846704085152253E-26,1.021
5 , 9.972913374654165E-44,1.023
6 , 4.382676707353508E-43,1.024
7 , 0.0,1.025
8 , 0.0,1.027
9 , 0.0,1.028
10 , 9.300987486067559E-58,1.029
11 , 6.935667801165661E-70,1.031
12 , 5.089848569217208E-13,1.032
13 , 1.7370544694026328E-30,1.034
14 , 0.0,1.035
15 , 0.0,1.036
16 , 2.6140133686730123E-30,1.037
17 , 5.6538362996236785E-16,1.038
18 , 1.1153804904368226E-63,1.039
19 , 0.0,1.04
20 , 1.6195288088913085E-59,1.041
21 , 0.0,1.043
22 , 3.220717194403555E-48,1.044
23 , 0.0,1.045
24 , 0.0,1.046
25 , 0.0,1.049
26 , 1.4813439944291111E-52,1.05
27 , 0.0,1.051
28 , 2.0407981600512892E-25,1.052
29 , 1.6931785118934496E-37,1.054
30 , 0.0,1.055
31 , 0.0,1.056
32 , 9.230458491728025E-39,1.057
33 , 1.1536995675724068E-46,1.058
34 , 1.3354702251914738E-79,1.06
35 , 0.0,1.061
36 , 0.0,1.063
37 , 3.713100947659138E-63,1.064
38 , 0.0,1.065
39 , 0.0,1.066
40 , 0.0,1.067
41 , 2.0377147368584242E-38,1.068
42 , 9.136056080983745E-53,1.07
43 , 0.0,1.071
44 , 5.421519838466094E-51,1.072
45 , 1.5272150782595544E-19,1.073
46 , 0.0,1.074
47 , 0.0,1.075
48 , 0.0,1.076
49 , 0.0,1.077
50 , 0.0,1.078
51 , 3.6050338929660225E-37,1.08
52 , 1.295839923703634E-36,1.081
53 , 0.0,1.082
54 , 6.664987920793501E-33,1.084
55 , 0.0,1.085
56 , 0.0,1.086
57 , 2.733747410490836E-20,1.087
58 , 0.0,1.088
59 , 1.5605983688849556E-63,1.089
60 , 1.889980489048547E-41,1.09
61 , 2.6957047699379356E-70,1.091
62 , 5.5278896140378355E-28,1.092
63 , 0.0,1.093
64 , 0.0,1.094
65 , 0.0,1.095
66 , 0.0,1.096
67 , 2.8857855561222035E-19,1.097
68 , 2.3227564186518597E-47,1.098
69 , 0.0,1.099
70 , 0.0,1.101
71 , 0.0,1.102
72 , 2.7592346077238456E-59,1.103
73 , 0.0,1.104
74 , 0.0,1.105
75 , 0.0,1.106
76 , 0.0,1.106
77 , 0.0,1.107
78 , 0.0,1.108
79 , 0.0,1.109
80 , 0.0,1.11
81 , 7.172800573771886E-33,1.111
82 , 9.332907301265153E-54,1.112
83 , 0.0,1.113
84 , 0.0,1.114
85 , 0.0,1.115
86 , 0.0,1.115
87 , 0.0,1.116
88 , 0.0,1.117
89 , 0.0,1.118
90 , 1.195562826807421E-53,1.119
91 , 0.0,1.12
92 , 0.0,1.121
93 , 0.0,1.122
94 , 2.311943049055908E-26,1.123
95 , 9.964673209905393E-60,1.124
96 , 0.0,1.125
97 , 0.0,1.126
98 , 0.0,1.127
99 , 4.442441668310277E-43,1.128
100 , 0.0,1.129
101 , 1.3813652345421388E-35,1.129
102 , 0.0,1.131
103 , 4.880402691733051E-23,1.132
104 , 5.696615858562532E-35,1.133
105 , 2.7452439359236066E-39,1.134
106 , 0.0,1.135
107 , 0.0,1.135
108 , 0.0,1.136
109 , 0.0,1.137
110 , 0.0,1.138
111 , 0.0,1.139
112 , 0.0,1.14
113 , 2.4335885299499792E-37,1.141
114 , 5.579192468937674E-15,1.142
115 , 0.0,1.143
116 , 0.0,1.144
117 , 3.618352271713776E-20,1.145
118 , 0.0,1.146
119 , 3.7523184044171513E-44,1.147
120 , 4.358384756673934E-69,1.148
121 , 1.1517112718509158E-26,1.149
122 , 0.0,1.15
123 , 5.2959558709751746E-36,1.15
124 , 0.0,1.151
125 , 1.9976526107409405E-29,1.152
126 , 0.0,1.153
127 , 5.577609156413559E-49,1.154
128 , 0.0,1.155
129 , 4.1359614440307276E-27,1.156
130 , 1.456201110486627E-52,1.157
131 , 2.4096638062245926E-30,1.158
132 , 0.0,1.158
133 , 6.812060868612985E-59,1.159
134 , 1.3691388765843363E-70,1.16
135 , 0.0,1.161
136 , 1.7842923269682113E-59,1.162
137 , 1.809404601864582E-26,1.162
138 , 2.9594311192975136E-41,1.163
139 , 3.236382745331177E-67,1.164
140 , 6.511548224953339E-25,1.165
141 , 2.2230376516503003E-24,1.166
142 , 2.01819477567983E-36,1.167
143 , 0.0,1.167
144 , 3.091222916854835E-42,1.168
145 , 4.1118088301243554E-70,1.169
146 , 0.0,1.17
147 , 2.641281063794729E-49,1.171
148 , 3.210831393687378E-42,1.172
149 , 0.0,1.173
150 , 0.0,1.173
151 , 1.033935281021544E-64,1.174
152 , 0.0,1.175
153 , 5.691317876904491E-51,1.176
154 , 0.0,1.177
155 , 3.197948303206386E-45,1.178
156 , 1.116733877058951E-19,1.178
157 , 0.0,1.179
158 , 1.1678396641037316E-36,1.18
159 , 0.0,1.181
160 , 0.0,1.182
161 , 0.0,1.183
162 , 7.895146940609765E-53,1.184
163 , 0.0,1.185
164 , 0.0,1.185
165 , 0.0,1.186
166 , 0.0,1.187
167 , 3.1985936352035246E-17,1.188
168 , 0.0,1.189
169 , 0.0,1.19
170 , 0.0,1.191
171 , 0.0,1.192
172 , 3.458044766062095E-84,1.193
173 , 0.0,1.193
174 , 6.301890754449171E-50,1.194
175 , 6.65784080578807E-24,1.195
176 , 1.3879510981907659E-22,1.197
177 , 1.0418569153022593E-39,1.198
178 , 0.0,1.199
179 , 0.0,1.2
180 , 1.7603489248648136E-9,1.201
181 , 0.0,1.202
182 , 1.7663301476379814E-43,1.203
183 , 0.0,1.204
184 , 6.244517657151037E-45,1.205
185 , 8.005017921523344E-12,1.205
186 , 8.1410887960138635E-16,1.206
187 , 4.950262391727168E-53,1.207
188 , 4.836011488295131E-17,1.208
189 , 0.0,1.209
190 , 4.046326563126576E-45,1.21
191 , 0.0,1.211
192 , 1.0919036404199701E-49,1.212
193 , 4.0635133679145044E-38,1.213
194 , 0.0,1.214
195 , 1.1600397055997044E-34,1.214
196 , 0.0,1.215
197 , 0.0,1.216
198 , 2.967046605384627E-20,1.217
199 , 0.0,1.218
200 , 1.4712351362874883E-47,1.219
201 , 0.0,1.219
202 , 0.0,1.22
203 , 7.129132086360322E-63,1.221
204 , 0.0,1.222
205 , 5.020919338733387E-35,1.223
206 , 4.120533564263693E-37,1.223
207 , 0.0,1.224
208 , 0.0,1.225
209 , 4.5153776775477295E-45,1.226
210 , 7.196825724974777E-51,1.226
211 , 9.70359866116617E-20,1.227
212 , 0.0,1.228
213 , 2.1793108914747324E-46,1.229
214 , 0.0,1.229
215 , 0.0,1.23
216 , 0.0,1.231
217 , 0.0,1.232
218 , 0.0,1.232
219 , 0.0,1.233
220 , 0.0,1.234
221 , 0.0,1.235
222 , 0.0,1.236
223 , 1.027568757659029E-12,1.236
224 , 0.0,1.237
225 , 3.1417750373072365E-41,1.238
226 , 0.0,1.239
227 , 0.0,1.24
228 , 0.0,1.24
229 , 4.847867568779471E-29,1.241
230 , 0.0,1.242
231 , 9.909036458054474E-17,1.243
232 , 0.0,1.243
233 , 0.0,1.244
234 , 0.0,1.245
235 , 2.6949289405186094E-21,1.246
236 , 4.381539902528177E-71,1.247
237 , 3.881981431090162E-13,1.247
238 , 2.980316614179008E-40,1.248
239 , 0.0,1.249
240 , 0.0,1.25
241 , 4.219025578409044E-44,1.25
242 , 6.351971626774676E-62,1.251
243 , 6.468607305523725E-59,1.252
244 , 6.133764673453243E-78,1.253
245 , 1.0061733114474094E-76,1.253
246 , 0.0,1.254
247 , 0.0,1.255
248 , 1.9774730413178806E-50,1.256
249 , 3.7314751039332054E-24,1.256
250 , 0.0,1.257
251 , 4.809626496609496E-14,1.258
252 , 3.287076047612411E-23,1.259
253 , 0.0,1.259
254 , 4.9863009814100626E-40,1.26
255 , 1.6149527400972622E-32,1.261
256 , 0.0,1.262
257 , 3.88939208725801E-70,1.263
258 , 0.0,1.264
259 , 0.0,1.264
260 , 0.0,1.265
261 , 3.424760818634378E-31,1.266
262 , 0.0,1.267
263 , 0.0,1.268
264 , 1.8422762894108562E-52,1.268
265 , 0.0,1.269
266 , 2.7571401181598216E-65,1.27
267 , 6.975956998040169E-21,1.271
268 , 0.0,1.271
269 , 0.0,1.272
270 , 1.767617251989327E-28,1.273
271 , 4.1421922875018905E-29,1.274
272 , 4.14908181390188E-29,1.274
273 , 3.392423762212199E-67,1.275
274 , 0.0,1.276
275 , 0.0,1.277
276 , 0.0,1.277
277 , 1.1932084902054626E-26,1.278
278 , 2.092183178503827E-35,1.279
279 , 0.0,1.28
280 , 2.6141137603492595E-34,1.28
281 , 2.1052050973047686E-17,1.281
282 , 3.1595143377039465E-50,1.282
283 , 0.0,1.283
284 , 7.196621887683326E-68,1.283
285 , 1.42413276387143E-32,1.284
286 , 4.0931805926278975E-15,1.285
287 , 0.0,1.286
288 , 2.667915655649482E-45,1.286
289 , 1.3324874008840373E-23,1.287
290 , 8.396378708410289E-54,1.288
291 , 2.2360590097391967E-41,1.288
292 , 0.0,1.289
293 , 0.0,1.29
294 , 0.0,1.291
295 , 6.060576535508266E-27,1.291
296 , 0.0,1.292
297 , 0.0,1.293
298 , 0.0,1.293
299 , 0.0,1.294
300 , 0.0,1.295
301 , 8.730415569985747E-58,1.295
302 , 1.4487366370733816E-47,1.296
303 , 1.5028077368294594E-33,1.297
304 , 0.0,1.297
305 , 0.0,1.298
306 , 1.0693150093218016E-27,1.299
307 , 0.0,1.299
308 , 0.0,1.3
309 , 8.982239970962972E-23,1.3
310 , 9.117051308296978E-56,1.301
311 , 0.0,1.302
312 , 1.0114535652734926E-49,1.302
313 , 1.6836164203043253E-31,1.303
314 , 4.617824942572568E-41,1.304
315 , 0.0,1.305
316 , 0.0,1.305
317 , 9.436718710125872E-50,1.306
318 , 0.0,1.306
319 , 0.0,1.307
320 , 0.0,1.308
321 , 1.6289492555234395E-27,1.308
322 , 8.972468019236861E-26,1.309
323 , 0.0,1.31
324 , 5.1325399634659284E-76,1.311
325 , 9.694564151947372E-22,1.311
326 , 0.0,1.312
327 , 0.0,1.313
328 , 2.2590716027507364E-7,1.313
329 , 0.0,1.314
330 , 0.0,1.315
331 , 0.0,1.315
332 , 5.542651550419456E-28,1.316
333 , 1.2404215378847242E-39,1.317
334 , 0.0,1.317
335 , 2.9607238748043927E-67,1.318
336 , 0.0,1.319
337 , 1.870030790579727E-11,1.319
338 , 9.4466593720871E-62,1.32
339 , 0.0,1.321
340 , 3.330662484533305E-61,1.321
341 , 8.760242943985418E-38,1.322
342 , 2.4771207138830506E-32,1.323
343 , 0.0,1.323
344 , 3.999371074004838E-80,1.324
345 , 2.052609758692676E-25,1.325
346 , 0.0,1.325
347 , 0.0,1.326
348 , 1.5848003981486425E-26,1.327
349 , 5.129564426886837E-20,1.327
350 , 2.8814010871605654E-26,1.328
351 , 7.910473297203916E-35,1.329
352 , 0.0,1.329
353 , 1.34054359996379E-40,1.33
354 , 0.0,1.331
355 , 3.6317527005321476E-36,1.331
356 , 0.0,1.332
357 , 4.131256643866783E-43,1.333
358 , 1.8487511582724498E-29,1.333
359 , 0.0,1.334
360 , 9.547292387617719E-37,1.334
361 , 0.0,1.335
362 , 0.0,1.336
363 , 0.0,1.336
364 , 0.0,1.337
365 , 5.1045758648297795E-17,1.338
366 , 0.0,1.338
367 , 1.2347856608246392E-32,1.339
368 , 0.0,1.34
369 , 0.0,1.341
370 , 0.0,1.341
371 , 1.251715661081089E-34,1.342
372 , 3.8037514311620063E-26,1.343
373 , 9.20217572912248E-43,1.343
374 , 0.0,1.344
375 , 0.0,1.345
376 , 0.0,1.345
377 , 1.366037283278729E-41,1.346
378 , 0.0,1.347
379 , 0.0,1.347
380 , 9.116334753926036E-49,1.348
381 , 0.0,1.348
382 , 0.0,1.349
383 , 0.0,1.35
384 , 0.0,1.35
385 , 4.943754321822365E-45,1.351
386 , 2.4288742746517726E-31,1.352
387 , 0.0,1.353
388 , 2.7942926638166648E-40,1.353
389 , 7.541607632917696E-27,1.354
390 , 1.3527844713309605E-17,1.355
391 , 2.2355145437310163E-25,1.355
392 , 2.360751626979972E-42,1.356
393 , 1.0127381793138069E-41,1.357
394 , 0.0,1.357
395 , 0.0,1.358
396 , 6.261206756218265E-56,1.359
397 , 0.0,1.359
398 , 0.0,1.36
399 , 6.199174708470774E-70,1.361
400 , 0.0,1.361
401 , 0.0,1.362
402 , 2.636834462315845E-26,1.363
403 , 5.562713290526007E-36,1.363
404 , 0.0,1.364
405 , 3.1550734722301027E-77,1.364
406 , 2.5093771361499286E-25,1.365
407 , 1.367247408213307E-52,1.366
408 , 0.0,1.366
409 , 1.6415840612522424E-33,1.367
410 , 0.0,1.368
411 , 4.9848785690530065E-20,1.368
412 , 0.0,1.369
413 , 0.0,1.37
414 , 1.061378749013462E-49,1.37
415 , 2.1502850875789996E-21,1.371
416 , 0.0,1.372
417 , 0.0,1.372
418 , 6.037250819472809E-43,1.373
419 , 3.0205097227335846E-28,1.374
420 , 0.0,1.374
421 , 1.8593832900534994E-29,1.375
422 , 0.0,1.376
423 , 1.8828138441554013E-21,1.376
424 , 1.769588321505954E-32,1.377
425 , 0.0,1.378
426 , 0.0,1.379
