generations , best_fitness , time_elapsed
1 , 0.0,0.08
2 , 2.1636820423437335E-10,0.083
3 , 5.441336830703991E-17,0.084
4 , 5.184141496336571E-15,0.085
5 , 2.2045099963851437E-39,0.087
6 , 1.7655037107712637E-27,0.088
7 , 5.889990941946616E-25,0.089
8 , 3.45847829828446E-16,0.091
9 , 2.2134189674801789E-26,0.092
10 , 1.2670447015979782E-25,0.093
11 , 3.583973853679098E-20,0.094
12 , 6.371089037333897E-39,0.096
13 , 1.6228004383578625E-33,0.097
14 , 5.742950362286278E-12,0.098
15 , 1.9337878621338376E-11,0.099
16 , 5.563592069778013E-15,0.1
17 , 3.2604973688879014E-17,0.101
18 , 2.560306481419822E-29,0.102
19 , 1.2193499924890679E-23,0.103
20 , 1.744381050401136E-30,0.104
21 , 9.315632805222818E-38,0.105
22 , 1.4916671007432445E-19,0.106
23 , 1.5076216804571594E-15,0.107
24 , 2.209412313988462E-12,0.108
25 , 1.0047955624375468E-23,0.109
26 , 2.1945524749205014E-11,0.11
27 , 4.796311028048364E-21,0.111
28 , 4.932559093990569E-13,0.113
29 , 1.467807433877613E-35,0.113
30 , 2.7975590683777786E-29,0.114
31 , 3.495228837244889E-24,0.115
32 , 3.317213829964209E-26,0.116
33 , 2.6833382513043277E-12,0.117
34 , 6.489099394543434E-33,0.118
35 , 7.984398625972066E-16,0.119
36 , 1.2221058038117837E-35,0.12
37 , 1.8899277650996177E-28,0.121
38 , 2.5594974554223698E-28,0.122
39 , 1.6880832318187908E-25,0.123
40 , 3.317124193590218E-25,0.124
41 , 3.2413015377650006E-35,0.125
42 , 3.887018537339591E-22,0.126
43 , 7.194734574942585E-44,0.127
44 , 4.354196825316696E-12,0.128
45 , 6.907739385615617E-16,0.129
46 , 2.559360526233566E-26,0.13
47 , 4.835157013335711E-35,0.131
48 , 6.667421713059113E-25,0.132
49 , 3.558868718880403E-32,0.133
50 , 1.6475096309310871E-37,0.134
51 , 1.4303113082235082E-19,0.135
52 , 1.0871472699817964E-20,0.137
53 , 1.8256053188216736E-18,0.138
54 , 8.850427213854198E-10,0.139
55 , 7.666759490481056E-16,0.14
56 , 2.4428192490061514E-20,0.141
57 , 2.219441191075695E-27,0.141
58 , 4.843304931120159E-31,0.142
59 , 2.1298459235122225E-17,0.143
60 , 5.360799489276921E-31,0.144
61 , 1.6633880984946128E-30,0.145
62 , 1.0548800747819627E-18,0.146
63 , 1.39099169030638E-28,0.147
64 , 4.9112575542414186E-33,0.148
65 , 5.228649230041944E-55,0.149
66 , 9.894910164933137E-44,0.15
67 , 4.83260388674499E-19,0.151
68 , 0.0,0.151
69 , 8.681132113220306E-38,0.152
70 , 0.0,0.153
71 , 7.466732647983512E-18,0.154
72 , 5.386608122504916E-29,0.155
73 , 2.1977403814641964E-34,0.156
74 , 5.997811568145448E-31,0.157
75 , 6.535654783011318E-20,0.158
76 , 6.258331787128461E-73,0.159
77 , 4.045582969320839E-36,0.159
78 , 9.364098355897235E-26,0.16
79 , 2.5929450366163605E-14,0.161
80 , 1.3871893930314938E-29,0.162
81 , 2.802283782512922E-38,0.163
82 , 2.836065724227663E-25,0.164
83 , 6.99401455681242E-26,0.165
84 , 1.0049140748682292E-18,0.166
85 , 4.466511685050868E-31,0.166
86 , 6.89815088444865E-21,0.167
87 , 3.002665679988667E-5,0.168
88 , 2.6874286473490264E-15,0.169
89 , 1.579162706129381E-17,0.17
90 , 1.2816879203733839E-28,0.171
91 , 1.1723812959609994E-43,0.172
92 , 2.1052095115822597E-36,0.172
93 , 1.1890437449514092E-24,0.173
94 , 1.2447820902926828E-13,0.174
95 , 9.592407933407604E-11,0.175
96 , 3.4703973666816787E-31,0.176
97 , 0.0,0.177
98 , 1.397444919587326E-51,0.178
99 , 2.6389018904179644E-25,0.178
100 , 3.807186929528849E-24,0.179
101 , 1.2550103242417168E-33,0.18
102 , 3.6839155012932114E-37,0.181
103 , 1.5196033914982564E-25,0.182
104 , 5.587227624960845E-34,0.182
105 , 4.526701526888348E-22,0.183
106 , 4.812853670091638E-30,0.184
107 , 2.1092255012397225E-23,0.185
108 , 5.8130502969132046E-27,0.186
109 , 8.605962003970969E-28,0.186
110 , 1.1385659132046909E-29,0.187
111 , 1.3119672687033242E-33,0.188
112 , 7.026987367771699E-16,0.189
113 , 6.467408859052197E-22,0.19
114 , 1.6862912341944322E-49,0.191
115 , 1.064345602184158E-17,0.192
116 , 1.0281728244376898E-39,0.192
117 , 7.023556217839895E-35,0.193
118 , 2.2818226183529676E-26,0.194
119 , 8.584668827065094E-31,0.195
120 , 1.2600772900422195E-56,0.196
121 , 7.157180410053446E-23,0.196
122 , 2.477551514524951E-34,0.197
123 , 1.5326594780977877E-28,0.198
124 , 5.639549709638247E-33,0.199
125 , 1.9879132909626144E-19,0.2
126 , 1.1436704502885987E-35,0.201
127 , 9.495956522243448E-27,0.201
128 , 7.709937805538939E-38,0.202
129 , 4.017078758318535E-21,0.203
130 , 1.3477753063648148E-22,0.205
131 , 3.943137984224553E-16,0.206
132 , 1.513719861483897E-63,0.207
133 , 1.5291847831861746E-28,0.208
134 , 4.277412103299376E-18,0.209
135 , 6.964140328427746E-15,0.209
136 , 5.517817063186202E-25,0.21
137 , 6.577967895573855E-19,0.211
138 , 1.840891220903908E-8,0.212
139 , 3.4081034024518916E-14,0.213
140 , 6.015498803409822E-29,0.213
141 , 2.4950600572947522E-25,0.214
142 , 2.077691213320791E-34,0.215
143 , 5.661583880780825E-42,0.216
144 , 5.60103636213256E-17,0.216
145 , 6.55770350541438E-28,0.217
146 , 3.832704841097109E-36,0.218
147 , 1.1937582102436854E-36,0.219
148 , 2.5158509244577135E-19,0.22
149 , 0.0,0.221
150 , 1.5648424670928762E-42,0.221
151 , 2.8338894489301555E-36,0.222
152 , 2.9741799140114035E-16,0.223
153 , 8.182152569767932E-32,0.224
154 , 2.955762033857229E-14,0.224
155 , 2.24059376199767E-27,0.225
156 , 4.5368438463459344E-20,0.226
157 , 2.0510640068748246E-20,0.227
158 , 3.296484530755116E-17,0.228
159 , 1.8631446996763415E-27,0.228
160 , 7.494757857308566E-34,0.229
161 , 3.1501516347352906E-12,0.23
162 , 9.777454175113932E-36,0.231
163 , 9.950128003027653E-6,0.232
164 , 8.534058164927993E-18,0.232
165 , 1.5513355654201695E-36,0.233
166 , 9.469189701475903E-17,0.234
167 , 1.1366818109025321E-38,0.235
168 , 3.319507086267754E-21,0.235
169 , 4.0368154345727023E-32,0.236
