generations , best_fitness , time_elapsed
1 , 0.0,0.082
2 , 0.0,0.084
3 , 0.0,0.086
4 , 3.810083548349034E-32,0.087
5 , 5.5868042099126385E-40,0.088
6 , 1.231819274350221E-41,0.089
7 , 1.0058197560035631E-30,0.091
8 , 0.0,0.092
9 , 2.3796759882627983E-31,0.093
10 , 5.4476009677230435E-64,0.094
11 , 5.591847503730164E-78,0.095
12 , 3.122896101553675E-29,0.096
13 , 0.0,0.097
14 , 1.0512260717218582E-33,0.098
15 , 6.794368461907262E-51,0.099
16 , 2.3157089947448455E-42,0.1
17 , 1.4988194500845303E-20,0.101
18 , 0.0,0.102
19 , 6.727695209094275E-32,0.103
20 , 0.0,0.104
21 , 7.156043697590562E-16,0.105
22 , 9.490406684329666E-26,0.106
23 , 0.0,0.107
24 , 3.1289251716924905E-45,0.108
25 , 1.6415908775783123E-74,0.109
26 , 0.0,0.11
27 , 5.71692217331556E-23,0.111
28 , 1.4660083727617168E-35,0.112
29 , 2.3990804405041377E-57,0.113
30 , 1.870905355713168E-20,0.114
31 , 0.0,0.115
32 , 0.0,0.116
33 , 1.300463292636621E-60,0.117
34 , 1.2479196358821763E-32,0.118
35 , 0.0,0.119
36 , 2.9437687074125024E-31,0.12
37 , 4.6989487254566635E-24,0.121
38 , 1.0981924374277845E-9,0.123
39 , 1.4133673274416805E-13,0.124
40 , 8.114041117609396E-41,0.125
41 , 4.301351533362397E-21,0.126
42 , 0.0,0.127
43 , 0.0,0.128
44 , 0.0,0.129
45 , 1.8323005030518284E-41,0.13
46 , 0.0,0.131
47 , 2.5705279469759502E-20,0.132
48 , 5.627649979835129E-38,0.133
49 , 0.0,0.133
50 , 0.0,0.134
51 , 2.2622001278036736E-12,0.136
52 , 6.32072698347222E-81,0.137
53 , 6.842871062727839E-40,0.138
54 , 4.508284937179903E-15,0.139
55 , 1.7057583540010004E-33,0.14
56 , 8.735041623895928E-35,0.14
57 , 1.1491779334724263E-31,0.141
58 , 0.0,0.142
59 , 3.2694694976636943E-21,0.143
60 , 1.3521142860384397E-61,0.144
61 , 1.3323302741300809E-28,0.145
62 , 0.0,0.146
63 , 9.19185015865997E-50,0.147
64 , 0.0,0.148
65 , 0.0,0.148
66 , 8.485117363529098E-28,0.149
67 , 0.0,0.15
68 , 0.0,0.151
69 , 8.864621857636377E-53,0.152
70 , 6.328744918739203E-48,0.153
71 , 6.437867492005701E-9,0.154
72 , 0.0,0.154
73 , 0.0,0.155
74 , 5.420412052409415E-23,0.156
