generations , best_fitness , time_elapsed
1 , 0.0,0.073
2 , 1.6375766214050753E-16,0.076
3 , 1.1325410339630497E-12,0.077
4 , 1.2790744214101533E-6,0.078
5 , 2.5664946896258372E-17,0.08
6 , 1.857650294601963E-14,0.081
7 , 2.314403910296356E-19,0.082
8 , 6.694819303792679E-17,0.084
9 , 4.3446466329303725E-16,0.085
10 , 1.3817087136653584E-12,0.086
11 , 2.7743821441828774E-13,0.088
12 , 1.641284427664522E-14,0.089
13 , 2.413849043925399E-16,0.09
14 , 4.254072008118347E-20,0.091
15 , 9.006233499191553E-19,0.092
16 , 1.1032348451011118E-19,0.093
17 , 1.317677361517126E-16,0.094
18 , 1.511438859215086E-12,0.095
19 , 5.132673862222441E-16,0.096
20 , 5.468910175007047E-12,0.097
21 , 7.66189943380257E-17,0.098
22 , 7.58128914952897E-9,0.099
23 , 2.7018867751313224E-17,0.1
24 , 7.993780035588927E-18,0.101
25 , 4.610925417038991E-16,0.102
26 , 3.96178901337891E-9,0.103
27 , 3.430279318962821E-7,0.104
28 , 1.9426909616788662E-9,0.105
29 , 3.3052297476296484E-20,0.106
30 , 2.2550124473555686E-18,0.107
31 , 1.3055998703413034E-14,0.108
32 , 2.4641500069340934E-14,0.109
33 , 1.6420960236649664E-15,0.109
34 , 5.8773817103504435E-21,0.11
35 , 4.478100566406433E-16,0.111
36 , 1.2102450291676884E-13,0.112
37 , 3.434294852158262E-7,0.113
38 , 1.3102770179661537E-14,0.114
39 , 4.374302440219965E-16,0.115
40 , 6.52415570794181E-18,0.116
41 , 5.341816084424953E-9,0.117
42 , 4.250844243134387E-21,0.118
43 , 9.864398885771996E-10,0.119
44 , 8.543755648423164E-13,0.121
45 , 3.353202960771304E-13,0.122
46 , 6.767262364203603E-15,0.123
47 , 5.929373315085651E-17,0.124
48 , 9.848308768485455E-9,0.125
49 , 1.7424598904373813E-11,0.126
50 , 2.408423985845494E-19,0.127
51 , 4.0650409007654845E-10,0.129
52 , 4.2584392778882945E-9,0.13
53 , 6.362143721997777E-10,0.131
54 , 4.537608715423711E-12,0.132
55 , 1.1441489100153383E-14,0.133
56 , 2.0044322382292787E-13,0.133
57 , 1.0845778378145836E-21,0.134
58 , 9.831738995917738E-14,0.135
59 , 1.5432934414178468E-22,0.136
60 , 6.085756948130481E-7,0.137
61 , 1.923612358651177E-14,0.138
62 , 1.6668763392537157E-13,0.139
63 , 7.806611589542821E-10,0.14
64 , 6.486589416102019E-11,0.141
65 , 1.658129578203194E-15,0.142
66 , 9.293804740411284E-9,0.143
67 , 8.184323375206777E-22,0.143
68 , 8.19314045093737E-20,0.144
69 , 2.30760727276123E-18,0.145
70 , 3.803119898419355E-19,0.146
71 , 6.315862364768204E-11,0.147
72 , 1.1648642336164488E-20,0.148
73 , 1.8725157268241156E-9,0.149
74 , 4.021654214678414E-21,0.149
75 , 8.086056103268516E-7,0.15
76 , 1.6427532499931272E-19,0.151
77 , 5.244702218306132E-15,0.152
78 , 5.142781830654837E-11,0.153
79 , 8.359456234807778E-12,0.154
80 , 2.7582959907666148E-6,0.155
81 , 3.8478315920984266E-15,0.155
82 , 4.261715010020338E-14,0.156
83 , 7.29953360488028E-17,0.157
84 , 2.1771929785509154E-15,0.158
85 , 2.117040406485896E-12,0.159
86 , 9.404252975278926E-20,0.16
87 , 1.7567135175872454E-11,0.16
88 , 1.0885195263188594E-9,0.161
89 , 2.450095633457948E-16,0.162
90 , 6.4445576869646874E-24,0.163
91 , 3.182112613871692E-4,0.164
92 , 2.9973172040256036E-17,0.166
93 , 3.5349445565511036E-17,0.167
94 , 6.7253595334729965E-21,0.167
95 , 7.087163580995737E-22,0.168
96 , 2.0946413309162914E-13,0.169
97 , 7.008259532059509E-9,0.17
98 , 9.21039508464306E-22,0.171
99 , 2.6710798251510393E-18,0.172
100 , 3.1897505855716264E-26,0.172
101 , 3.9501225088676E-13,0.173
102 , 1.1478474383006392E-30,0.174
103 , 2.728623196876619E-23,0.175
104 , 4.055718494720422E-6,0.176
105 , 1.086152228845177E-28,0.176
106 , 1.9622525921289673E-8,0.177
107 , 4.689435511872849E-17,0.178
108 , 2.1733036723643965E-9,0.179
109 , 1.2927067484344823E-14,0.18
110 , 1.9386523212148128E-12,0.18
111 , 7.184129540316037E-16,0.181
112 , 1.7662079098930373E-19,0.182
113 , 8.923168825652462E-11,0.183
114 , 2.30753509987165E-12,0.184
115 , 4.6951040131359424E-18,0.185
116 , 4.554394653866097E-12,0.186
117 , 3.0610577035538177E-15,0.186
118 , 1.3044733150127074E-12,0.187
119 , 1.0882218963536318E-12,0.188
120 , 8.957307474403984E-12,0.189
121 , 7.567448986491825E-15,0.19
122 , 1.725890197093804E-19,0.19
123 , 6.691694329680534E-17,0.191
124 , 7.133770184030109E-9,0.192
125 , 3.629630005459249E-22,0.193
126 , 6.619917466165502E-11,0.194
127 , 5.585477516325548E-14,0.194
128 , 1.3874794200825171E-18,0.195
129 , 3.476514383715817E-14,0.198
130 , 3.787048549724308E-11,0.198
131 , 1.152010011055319E-13,0.199
132 , 1.269369187040074E-20,0.2
133 , 1.935097370157104E-21,0.201
134 , 2.2725251345453455E-16,0.201
135 , 5.948527736226331E-4,0.202
136 , 6.5872396473661E-17,0.203
137 , 7.176417141672028E-11,0.204
138 , 2.9677309634155514E-11,0.205
139 , 1.018995930118166E-9,0.205
140 , 7.6923354985564E-24,0.206
141 , 2.2366904837665713E-12,0.207
142 , 5.800973573112716E-7,0.208
143 , 7.740993982236316E-11,0.209
144 , 2.8817270239250317E-18,0.209
145 , 1.3228732308269901E-21,0.21
146 , 6.329197959503568E-16,0.211
147 , 7.206346722478044E-20,0.212
148 , 4.55676898722685E-20,0.212
149 , 5.992482872091635E-16,0.213
150 , 8.497075440688481E-17,0.214
151 , 1.7232481213115057E-13,0.215
152 , 1.0555942890830554E-23,0.216
153 , 9.439080085369547E-13,0.216
154 , 1.1970594300160866E-11,0.217
155 , 2.5994868093298623E-14,0.218
156 , 1.6195543684824268E-25,0.219
157 , 1.9388647241986446E-20,0.219
158 , 2.0749810888341194E-18,0.22
159 , 7.681623560115659E-20,0.221
160 , 1.3535123032586459E-24,0.222
161 , 5.781937681573292E-13,0.222
162 , 1.2422046390974348E-18,0.223
163 , 3.082761055072942E-10,0.224
164 , 1.7422762633124477E-15,0.225
165 , 3.2119715031045236E-14,0.226
166 , 4.5959812367282136E-15,0.226
167 , 2.187778223635257E-13,0.227
168 , 3.5244397468952536E-12,0.228
169 , 8.176265893024104E-13,0.229
170 , 2.5320131636980998E-9,0.23
171 , 1.3621506193704367E-15,0.23
172 , 1.3011392738971662E-19,0.231
173 , 4.643204476330778E-22,0.232
174 , 6.894588803656176E-10,0.233
175 , 7.135003981876258E-26,0.233
176 , 4.274078556788415E-16,0.234
177 , 5.757708978805468E-18,0.235
178 , 4.9612185627869964E-14,0.236
179 , 2.1936544133069708E-14,0.236
180 , 1.548606740694427E-17,0.237
181 , 1.3855953743225772E-18,0.238
182 , 6.4354164030627914E-18,0.239
183 , 4.2702943188108272E-19,0.239
184 , 1.6485974230228983E-24,0.24
185 , 3.57301320080885E-22,0.241
186 , 5.0267835515688054E-5,0.242
187 , 2.7375267587604113E-25,0.242
188 , 6.788360269543062E-10,0.243
189 , 3.938373469213862E-18,0.244
190 , 2.186807008007076E-26,0.245
191 , 2.7965826743273737E-22,0.245
192 , 1.2651676237540575E-7,0.246
193 , 1.1659272407263578E-14,0.247
194 , 5.538590592459303E-23,0.248
195 , 1.2600755746934046E-19,0.248
196 , 1.2481674138462761E-16,0.249
197 , 2.1174086140031523E-10,0.25
198 , 4.0370834986135135E-19,0.251
199 , 1.2949236652119766E-16,0.251
200 , 8.895333383238485E-14,0.252
201 , 3.926078710678106E-18,0.253
202 , 2.647829208608775E-16,0.254
203 , 3.166320716022407E-17,0.254
204 , 2.6194654451898706E-14,0.255
205 , 1.4505907334122098E-19,0.256
206 , 2.9230821794019364E-16,0.257
207 , 1.82794695082858E-19,0.257
208 , 2.843353276914926E-13,0.258
209 , 1.6842073366961703E-17,0.259
210 , 1.3676321255568843E-13,0.259
211 , 2.3902495242931607E-13,0.26
212 , 1.3127432375609973E-9,0.261
213 , 1.1054639502006593E-15,0.262
214 , 1.3693767915678256E-27,0.262
215 , 5.354935769099629E-15,0.263
216 , 4.7829879302683185E-24,0.264
217 , 4.2567195349440694E-13,0.265
218 , 1.2541233762026086E-16,0.265
219 , 2.066351051076272E-21,0.266
220 , 1.1649897553891386E-17,0.267
221 , 7.6083925947863E-13,0.268
222 , 5.200075252968098E-11,0.268
223 , 6.217406528133113E-13,0.269
224 , 5.297831915245087E-17,0.27
225 , 1.7863579326930266E-12,0.271
226 , 1.9828502941389483E-18,0.271
227 , 2.9389963923249834E-11,0.272
228 , 1.4354151165124579E-8,0.273
229 , 2.015460028871433E-12,0.274
230 , 3.8624328542415224E-28,0.274
231 , 1.3036225505381142E-14,0.275
232 , 9.89307422619284E-15,0.276
233 , 2.26825904611601E-15,0.277
234 , 1.5699850474476068E-13,0.277
235 , 6.822824113684251E-14,0.278
236 , 1.3442479484829764E-11,0.279
237 , 1.6905022607437977E-17,0.28
238 , 1.7087731566571347E-10,0.28
239 , 3.4775326056176888E-12,0.281
240 , 9.380198640968514E-14,0.282
241 , 7.660777308409092E-9,0.282
242 , 2.356644418866676E-21,0.283
243 , 3.020586885274499E-19,0.284
244 , 1.8559789565047505E-9,0.285
245 , 5.557549276644104E-11,0.285
246 , 1.3562540104222596E-19,0.286
247 , 6.195622165490121E-28,0.287
248 , 1.0852369310898241E-16,0.288
249 , 6.659641662617967E-23,0.288
250 , 9.871165584056195E-19,0.289
251 , 1.0335329354213066E-20,0.29
252 , 7.477180664390146E-16,0.291
253 , 7.980607792073708E-17,0.291
254 , 2.1548095078260532E-16,0.292
255 , 7.059960966338355E-16,0.293
256 , 1.0711784852089906E-18,0.294
257 , 3.1923743745004484E-21,0.294
258 , 2.448543167136775E-25,0.295
259 , 8.481423234066153E-13,0.296
260 , 2.8848351042948496E-14,0.296
261 , 5.297604080337682E-18,0.297
262 , 1.6340993546094468E-19,0.298
263 , 5.153850094945787E-9,0.299
264 , 4.98836776957603E-20,0.299
265 , 7.995604742564903E-24,0.3
266 , 3.266149438833814E-14,0.301
267 , 2.083517235169807E-15,0.302
268 , 3.606681330537257E-11,0.302
269 , 6.142554883883715E-23,0.303
270 , 7.770474043776194E-14,0.304
271 , 4.476976211468942E-15,0.304
272 , 2.2120609053588107E-16,0.305
273 , 2.3491352716777617E-6,0.306
274 , 4.882853866568846E-21,0.307
275 , 6.401035022173916E-24,0.307
276 , 9.178479333205336E-25,0.308
277 , 2.6205656104250927E-10,0.309
278 , 2.006512761829558E-13,0.31
279 , 2.460229018042928E-21,0.31
280 , 1.794709085461519E-17,0.311
281 , 4.57993637704875E-15,0.312
282 , 9.903043515223375E-20,0.312
283 , 3.354058995495273E-15,0.313
284 , 6.033917846100891E-34,0.314
285 , 1.1705842861760827E-18,0.315
286 , 7.704544198232049E-8,0.316
287 , 7.657836600739244E-14,0.316
288 , 1.6835000870487424E-27,0.317
289 , 4.830243078170698E-14,0.318
290 , 1.866992223503895E-17,0.318
291 , 2.0952277603409302E-10,0.319
292 , 6.07871976818601E-14,0.32
293 , 9.663936154034686E-23,0.321
294 , 4.4802959394388465E-10,0.321
295 , 4.918201900187362E-12,0.322
296 , 1.3975542315556657E-11,0.323
297 , 4.143567492587222E-30,0.324
298 , 1.068448378033462E-15,0.324
299 , 7.800006339333292E-14,0.325
300 , 1.3308386886125643E-16,0.326
301 , 7.956851959835041E-12,0.326
302 , 1.4778389068152654E-22,0.327
303 , 2.6080638013843745E-16,0.328
304 , 2.1684856947475436E-23,0.329
305 , 4.91776819204059E-16,0.329
306 , 2.1736473709628503E-12,0.33
307 , 7.832546840761922E-7,0.331
308 , 1.0603775683245033E-8,0.332
309 , 1.2740685662367497E-12,0.332
310 , 5.375117550147545E-10,0.333
311 , 1.3161351817342108E-12,0.334
312 , 1.4522026211325048E-15,0.334
313 , 1.9892494598569068E-23,0.335
314 , 8.980256777989334E-13,0.336
315 , 6.8264987999546344E-15,0.337
316 , 6.718576241732289E-22,0.337
317 , 2.6791454724680568E-17,0.338
318 , 3.3435381732571863E-23,0.339
319 , 2.3188480105202906E-15,0.339
320 , 7.727203135081233E-24,0.34
321 , 4.392692555479358E-7,0.341
322 , 1.321502142416626E-19,0.342
323 , 8.067648857668101E-13,0.342
324 , 6.851115606461181E-21,0.343
325 , 7.038855215790282E-22,0.344
326 , 1.2210613596052377E-21,0.345
327 , 2.9300177438232513E-17,0.345
328 , 2.766163093991365E-22,0.346
329 , 5.818223757497252E-22,0.347
330 , 9.794894996272887E-9,0.347
331 , 1.1382627634703457E-24,0.348
332 , 6.980653785139073E-18,0.349
333 , 2.360771596458411E-20,0.35
334 , 4.519891557891787E-19,0.35
335 , 1.2158239200029718E-14,0.351
336 , 1.1120757702448103E-7,0.352
337 , 1.344410804191581E-13,0.353
338 , 5.114247523853165E-20,0.353
339 , 8.373809800995992E-23,0.354
340 , 2.0013231819117588E-17,0.355
341 , 1.9114135031290695E-32,0.356
342 , 1.0849286731729815E-16,0.356
343 , 6.38343706894554E-14,0.357
344 , 3.57856993471568E-11,0.358
345 , 8.772265290173412E-16,0.359
346 , 3.0510309874836175E-10,0.359
347 , 1.9134279015234057E-11,0.36
348 , 2.352416999735678E-20,0.361
349 , 1.0389284423444243E-24,0.361
350 , 7.239786619971222E-14,0.362
351 , 1.4923135715839728E-23,0.363
352 , 4.841574117319847E-28,0.363
353 , 1.905622179684622E-24,0.364
354 , 1.7226969376284793E-12,0.365
355 , 3.470099685638619E-21,0.366
356 , 4.363626143152745E-13,0.366
357 , 8.644503641026401E-17,0.367
358 , 1.4163441477470747E-27,0.368
359 , 1.4602380751716427E-14,0.368
360 , 2.3022661002127506E-22,0.369
361 , 2.5313179862352197E-12,0.37
362 , 5.008262463480039E-26,0.371
363 , 2.0554926180233415E-9,0.371
364 , 5.477855152569223E-20,0.372
365 , 2.581618996348273E-12,0.373
366 , 6.545657674412738E-10,0.373
367 , 7.096878509059289E-13,0.374
368 , 2.3907034658465445E-17,0.375
369 , 9.633677426027399E-14,0.376
370 , 0.0037711105267889504,0.376
371 , 3.824934095906964E-11,0.377
372 , 1.6414773637736322E-20,0.378
373 , 3.656038543982348E-17,0.378
374 , 7.862936957667634E-31,0.379
375 , 3.325440747528891E-21,0.38
376 , 8.853668395357636E-18,0.381
377 , 1.65315758120155E-19,0.381
378 , 9.928862869827906E-16,0.382
379 , 7.103244080882202E-23,0.383
380 , 1.3335803547833324E-23,0.383
381 , 1.0790223692300286E-19,0.384
382 , 9.744148130861183E-28,0.385
383 , 6.820928003235778E-29,0.386
384 , 9.659367125220386E-18,0.386
385 , 3.322382573792547E-18,0.387
386 , 3.544251274070541E-17,0.388
387 , 3.2556151920666865E-15,0.388
388 , 2.8177059901519278E-24,0.389
389 , 1.5686383585693326E-17,0.39
390 , 1.574016179024841E-19,0.391
391 , 6.220958685854019E-8,0.391
392 , 4.095521600988946E-10,0.392
393 , 4.993000153467951E-17,0.393
394 , 2.107717807268923E-26,0.393
395 , 1.5210205097248084E-17,0.394
396 , 5.1120232969174596E-26,0.395
397 , 1.6697786735849214E-19,0.395
398 , 9.580081621232075E-23,0.396
399 , 2.1439284454950617E-12,0.397
400 , 2.720670418922599E-18,0.398
401 , 2.2978740114889274E-26,0.398
402 , 2.5756749706168053E-17,0.399
403 , 5.680420090971948E-28,0.4
404 , 1.173109410291996E-16,0.4
405 , 1.0204257168604295E-20,0.401
406 , 1.0024227239234765E-10,0.402
407 , 1.7200809482510277E-15,0.402
408 , 4.3228503952174284E-12,0.403
409 , 3.9328651714573984E-24,0.404
410 , 9.059401360684917E-18,0.405
411 , 7.0948177411131096E-15,0.405
412 , 8.470782886890466E-24,0.406
413 , 5.5204570997405006E-15,0.407
414 , 5.279700991396551E-16,0.407
415 , 2.454177593046014E-29,0.408
416 , 2.0149578324378443E-17,0.409
417 , 4.256617515020675E-21,0.41
418 , 4.165471531247432E-22,0.41
419 , 3.615303298056207E-25,0.411
420 , 1.3319207686943127E-19,0.412
421 , 7.939507348085986E-15,0.412
422 , 1.0409032187310385E-8,0.413
423 , 1.2907244777970683E-25,0.414
424 , 3.159590120115049E-21,0.415
425 , 1.664003310229952E-18,0.415
426 , 8.075903300485579E-10,0.416
427 , 1.7487887117105968E-16,0.417
428 , 3.8143138099570035E-15,0.417
429 , 3.226987043018232E-18,0.418
430 , 8.712445989661785E-13,0.419
431 , 2.1773008451247083E-17,0.42
432 , 1.285992601519786E-10,0.42
433 , 1.364261086496192E-20,0.421
434 , 1.1412633043561417E-13,0.422
435 , 7.48872923638378E-19,0.423
436 , 8.5212717057778E-16,0.424
437 , 7.514711719942471E-10,0.424
438 , 1.7136485429477582E-20,0.425
439 , 1.3683180328805057E-16,0.426
440 , 1.5072265745335748E-23,0.426
441 , 1.661617575146539E-24,0.427
442 , 1.3868075001368513E-21,0.428
443 , 6.828185869295436E-15,0.428
444 , 5.711863624578142E-26,0.429
445 , 1.2366713856264075E-17,0.43
446 , 1.5024198539503745E-9,0.431
447 , 7.285261386533312E-20,0.431
448 , 2.8948027392090634E-25,0.432
449 , 1.3846371474850605E-9,0.433
450 , 1.4456122449442996E-14,0.433
451 , 4.8378666306742516E-14,0.434
452 , 1.9147893325145074E-19,0.435
453 , 4.269725353728228E-19,0.436
454 , 1.912468298331972E-21,0.436
455 , 4.167485789755681E-21,0.437
456 , 2.505089217544879E-25,0.438
457 , 1.919097251240726E-13,0.438
458 , 7.26754542002639E-11,0.439
459 , 4.064761189810972E-18,0.44
460 , 3.086701661139953E-22,0.44
461 , 1.4680659599502412E-16,0.441
462 , 3.0941978516152515E-26,0.442
463 , 5.0268262390579E-19,0.443
464 , 4.0309609405206707E-19,0.443
465 , 2.3254853952706685E-20,0.444
466 , 4.003220486703481E-28,0.445
467 , 6.990468556822516E-21,0.445
468 , 7.933717053194172E-27,0.446
469 , 8.025277717985015E-24,0.447
470 , 1.3214689348387865E-21,0.448
471 , 2.7141202609138088E-17,0.448
472 , 1.0943891922890487E-28,0.449
473 , 4.7330206502230555E-17,0.45
474 , 9.579783271607542E-24,0.45
475 , 1.2065626507437131E-18,0.451
476 , 3.5875877860714667E-20,0.452
477 , 1.7171791679837214E-23,0.453
478 , 3.406791796524887E-15,0.453
479 , 1.3688651293627618E-12,0.454
480 , 4.490692052626876E-14,0.455
481 , 6.243842320800411E-20,0.455
482 , 5.250093908556365E-21,0.456
483 , 5.60138910259712E-15,0.457
484 , 3.645786219895728E-8,0.458
485 , 6.524775783794274E-18,0.458
486 , 7.358814190874918E-20,0.459
487 , 1.6196234292637312E-22,0.46
488 , 1.7499072863186964E-24,0.46
489 , 1.5819063720732402E-24,0.461
490 , 1.1715660476150517E-21,0.462
491 , 4.5164874103106934E-20,0.463
492 , 3.273774016224943E-23,0.463
493 , 3.608028081425548E-19,0.464
494 , 3.6463123698949596E-14,0.465
495 , 6.606587143321864E-19,0.465
496 , 1.058165206841959E-40,0.466
497 , 2.933987611218217E-19,0.467
498 , 1.868856379322471E-16,0.468
499 , 1.6834860257097884E-15,0.468
500 , 2.0021895300590327E-23,0.469
501 , 4.806843828630238E-14,0.47
502 , 3.7797964009971497E-16,0.47
503 , 7.408192638004334E-9,0.471
504 , 3.73034827975656E-4,0.472
505 , 3.4822816128899814E-17,0.472
506 , 4.587616514370747E-25,0.473
507 , 5.759377042017214E-20,0.474
508 , 1.2702865736915308E-13,0.475
509 , 1.9651918968582218E-16,0.475
510 , 2.5016708673736152E-8,0.476
511 , 4.634277073322068E-23,0.477
512 , 2.2773843245908573E-20,0.477
513 , 1.5521855695926345E-27,0.478
514 , 1.5917910855176107E-14,0.479
515 , 2.676338435236126E-23,0.48
516 , 2.0316089740845045E-22,0.48
517 , 4.938105477609553E-19,0.481
518 , 4.791902425541775E-28,0.482
519 , 4.4455437387863936E-23,0.482
520 , 1.7395081419132065E-13,0.483
521 , 4.242843767165094E-19,0.484
522 , 2.415596963166232E-16,0.484
523 , 2.3667906241100053E-21,0.485
524 , 6.670470936768944E-25,0.486
525 , 3.1228405553218525E-11,0.487
526 , 6.373489713084386E-18,0.487
527 , 3.620561965098494E-30,0.488
528 , 3.2018396216428937E-12,0.489
529 , 2.774677901019529E-17,0.489
530 , 1.1688450735754098E-18,0.49
531 , 2.0502421069941763E-19,0.491
532 , 2.3255044235268788E-18,0.492
533 , 1.27091302223137E-16,0.492
534 , 5.711712400924853E-22,0.493
535 , 5.305656433606701E-23,0.494
536 , 6.617273709706391E-14,0.494
537 , 3.311545550179724E-23,0.495
538 , 2.3787690437136442E-9,0.496
539 , 1.778118400946594E-30,0.496
540 , 4.720659603010201E-10,0.497
541 , 8.027919779905557E-19,0.498
542 , 4.1302053038011395E-18,0.499
543 , 2.8358815119559458E-24,0.499
544 , 3.2010806375603615E-21,0.5
545 , 4.051226349264753E-19,0.501
546 , 9.3795089275599E-22,0.501
547 , 3.612056293615892E-27,0.502
548 , 2.469087351677067E-13,0.503
549 , 1.0304288771746914E-14,0.504
550 , 9.671574629758224E-24,0.504
551 , 8.365111458310736E-21,0.505
552 , 6.538792689300268E-19,0.506
553 , 5.375399774380922E-18,0.506
554 , 1.4522158376636336E-27,0.507
555 , 1.185528905174107E-18,0.508
556 , 4.092562555670748E-14,0.508
557 , 6.281504571900357E-16,0.509
558 , 7.353989513576576E-25,0.51
559 , 1.4027218773242257E-23,0.511
560 , 4.099504791200084E-15,0.511
561 , 5.278798654246798E-14,0.512
562 , 1.2451811876296143E-11,0.513
