generations , best_fitness , time_elapsed
1 , 0.0,0.456
2 , 5.675812478737948E-23,0.459
3 , 1.805668148103624E-41,0.46
4 , 0.0,0.461
5 , 1.1258530310282948E-17,0.462
6 , 0.0,0.463
7 , 1.534428860093447E-48,0.464
8 , 0.0,0.465
9 , 0.0,0.466
10 , 3.1068598567379416E-21,0.467
11 , 0.0,0.468
12 , 1.032042490388838E-15,0.469
13 , 1.8290137472523846E-16,0.47
14 , 0.0,0.471
15 , 0.0,0.472
16 , 0.0,0.473
17 , 0.0,0.474
18 , 2.120131446716224E-14,0.475
19 , 1.3656504169349656E-71,0.476
20 , 4.803856790981642E-53,0.477
21 , 0.0,0.478
22 , 0.0,0.479
23 , 0.0,0.48
24 , 0.0,0.481
25 , 1.2042384318109883E-29,0.482
26 , 0.0,0.483
27 , 0.0,0.484
28 , 1.6833695873730808E-43,0.485
29 , 2.2894678266114496E-23,0.486
30 , 0.0,0.487
31 , 0.0,0.488
32 , 0.0,0.489
33 , 4.995429891189465E-15,0.49
34 , 2.630895971689137E-13,0.491
35 , 1.8789283763059895E-43,0.492
36 , 0.0,0.492
37 , 0.0,0.493
38 , 1.6687741271032722E-34,0.494
39 , 0.0,0.495
40 , 0.0,0.496
41 , 0.0,0.496
42 , 0.0,0.497
43 , 0.0,0.498
44 , 6.208949403966223E-41,0.499
45 , 0.0,0.501
46 , 7.265182481883013E-56,0.502
47 , 0.0,0.502
48 , 0.0,0.503
49 , 1.6313481146022742E-79,0.504
50 , 0.0,0.505
51 , 0.0,0.506
52 , 0.0,0.507
53 , 0.0,0.507
54 , 2.5353806363366184E-34,0.508
55 , 0.0,0.509
56 , 0.0,0.51
57 , 2.233452796217529E-52,0.511
58 , 0.0,0.511
59 , 0.0,0.512
60 , 0.0,0.513
61 , 0.0,0.514
62 , 0.0,0.515
63 , 4.3376809501888416E-42,0.516
64 , 0.0,0.516
65 , 0.0,0.517
66 , 8.186590212020882E-18,0.518
67 , 0.0,0.519
68 , 4.463251098553377E-26,0.52
69 , 9.85934854198951E-21,0.52
70 , 3.872312711483559E-24,0.521
71 , 0.0,0.522
72 , 0.0,0.523
73 , 0.0,0.524
74 , 0.0,0.525
75 , 0.0,0.525
76 , 1.6393413001684066E-79,0.526
77 , 0.0,0.527
78 , 8.735949835985023E-55,0.528
