generations , best_fitness , time_elapsed
1 , 0.0,0.074
2 , 7.243559581658011E-25,0.077
3 , 1.1831336408426514E-25,0.079
4 , 6.316263039742676E-17,0.081
5 , 1.5118172016101095E-20,0.082
6 , 3.2822504096046304E-21,0.083
7 , 4.4510941896273524E-13,0.085
8 , 2.7090291959504006E-19,0.086
9 , 1.1678975648015156E-15,0.088
10 , 2.871514296056477E-18,0.089
11 , 3.5298287441540508E-34,0.09
12 , 1.456186069048669E-23,0.091
13 , 1.628453897385322E-17,0.093
14 , 3.1018922391817744E-30,0.094
15 , 4.396025565628486E-37,0.095
16 , 1.0649537513594754E-24,0.097
17 , 7.398213540835501E-44,0.098
18 , 7.922544783289536E-13,0.099
19 , 5.35665914950674E-25,0.101
20 , 6.246466234783682E-30,0.102
21 , 8.004129284528984E-24,0.103
22 , 1.4062302490219163E-31,0.104
23 , 2.6899141414096694E-20,0.105
24 , 4.8110129666834606E-27,0.106
25 , 2.8722241932430194E-17,0.108
26 , 1.135500340336549E-22,0.109
27 , 1.7047116443798024E-13,0.11
28 , 1.153924016129727E-16,0.111
29 , 3.851242015524506E-12,0.113
30 , 1.8516585575022137E-30,0.114
31 , 7.144109528763757E-38,0.115
32 , 7.092115943381486E-25,0.116
33 , 3.860812547499729E-61,0.117
34 , 2.700531333424713E-12,0.119
35 , 2.2947439544624626E-33,0.12
36 , 1.3542552144297553E-28,0.121
37 , 1.1119282492566613E-44,0.123
38 , 1.4689409180081298E-20,0.124
39 , 5.17035170731966E-14,0.125
40 , 1.2954575784790729E-20,0.127
41 , 2.334648067753408E-24,0.128
42 , 4.1639959250777265E-24,0.13
43 , 1.1693902367115038E-31,0.131
44 , 2.7623210585321235E-10,0.132
45 , 5.2730451826323475E-14,0.133
46 , 1.7047429509821106E-42,0.134
47 , 5.487386591034704E-43,0.135
48 , 6.295809916419932E-29,0.136
49 , 1.0866048527137942E-27,0.137
50 , 2.3732424157736172E-36,0.138
51 , 2.0939277718356815E-20,0.139
52 , 1.0113597558222683E-10,0.14
53 , 4.3642249489508586E-32,0.142
54 , 2.8689177402372795E-37,0.143
55 , 1.5025064582652582E-17,0.144
56 , 6.571107912613152E-18,0.145
57 , 4.920019678084359E-41,0.146
58 , 5.275753445017368E-19,0.147
59 , 5.60020959975978E-26,0.148
60 , 1.8680317131090902E-7,0.149
61 , 1.3476742542460888E-25,0.15
62 , 2.819681851294064E-37,0.151
63 , 1.6473375399260736E-11,0.152
64 , 3.3842308306017876E-48,0.153
65 , 9.621821454923503E-39,0.154
66 , 1.0907451752733743E-67,0.155
67 , 3.3317868284112136E-26,0.155
68 , 4.268703569056964E-21,0.156
69 , 3.0273401236029555E-21,0.157
70 , 2.8875559927064217E-10,0.158
71 , 7.185529005326426E-37,0.159
72 , 9.837020083786268E-40,0.16
73 , 1.212008969350634E-15,0.161
74 , 8.388985024269302E-14,0.162
75 , 2.6244429140757846E-23,0.163
76 , 4.7613795680429005E-24,0.163
77 , 2.8277940359101445E-54,0.164
78 , 5.093966440934175E-25,0.165
79 , 8.464206089398578E-48,0.166
