generations , best_fitness , time_elapsed
1 , 0.0,0.068
2 , 0.0,0.072
3 , 0.0,0.085
4 , 0.0,0.087
5 , 8.711337692300322E-27,0.089
6 , 7.838218318706784E-32,0.09
7 , 4.35073163313587E-27,0.102
8 , 0.0,0.103
9 , 0.0,0.104
10 , 6.404601137706487E-39,0.105
11 , 0.0,0.113
12 , 3.8397729860289616E-35,0.114
13 , 0.0,0.115
14 , 0.0,0.116
15 , 4.304971918621687E-58,0.117
16 , 2.0165360178345764E-26,0.118
17 , 2.0676487930193223E-42,0.119
18 , 0.0,0.12
19 , 2.5548373521921216E-21,0.121
20 , 0.0,0.122
21 , 5.611744720816466E-46,0.123
22 , 0.0,0.124
23 , 3.27016512287457E-27,0.125
24 , 0.0,0.126
25 , 8.755307898886426E-45,0.127
26 , 0.0,0.128
27 , 0.0,0.13
28 , 5.130549665442346E-53,0.131
29 , 0.0,0.132
30 , 2.264184815813101E-27,0.133
31 , 0.0,0.134
32 , 0.0,0.134
33 , 0.0,0.135
34 , 1.1251071141921905E-41,0.136
35 , 9.118952789765681E-63,0.137
36 , 0.0,0.138
37 , 4.806974116874917E-50,0.139
38 , 1.8549234095219426E-18,0.139
39 , 2.8490913804345625E-36,0.14
40 , 1.0868206022199253E-22,0.141
41 , 5.221432505649557E-49,0.142
42 , 5.34999192809727E-28,0.143
43 , 0.0,0.144
44 , 3.980016717179248E-34,0.145
45 , 3.1895289562373487E-38,0.146
46 , 0.0,0.147
47 , 0.0,0.147
48 , 5.964824173205618E-11,0.148
49 , 2.2949583397046103E-16,0.149
50 , 0.0,0.15
51 , 0.0,0.151
52 , 0.0,0.152
53 , 0.0,0.152
54 , 0.0,0.153
55 , 0.0,0.154
56 , 0.0,0.155
57 , 1.6688137315531179E-34,0.155
58 , 2.594875966685992E-30,0.156
59 , 1.0586540801359371E-25,0.157
60 , 3.138327775912725E-36,0.158
61 , 3.678997833532813E-18,0.159
62 , 0.0,0.159
63 , 0.0,0.16
64 , 5.913126167013382E-10,0.161
65 , 0.0,0.162
66 , 0.0,0.163
67 , 1.208938344628283E-80,0.163
68 , 0.0,0.164
69 , 5.90034607347292E-49,0.179
70 , 0.0,0.18
71 , 2.825831399569822E-23,0.192
