generations , best_fitness , time_elapsed
1 , 0.0,0.072
2 , 6.451381357512396E-16,0.074
3 , 9.6436959394723E-13,0.076
4 , 1.2442683114972053E-14,0.077
5 , 1.2846737278879694E-17,0.078
6 , 1.3364005367944149E-12,0.079
7 , 3.79203237946153E-13,0.08
8 , 4.2131426558896E-11,0.081
9 , 9.264006649909673E-16,0.082
10 , 1.9626162620101637E-14,0.083
11 , 1.2412532364303324E-21,0.084
12 , 5.888264760741678E-20,0.086
13 , 8.485077978523848E-19,0.087
14 , 3.202964471722883E-12,0.088
15 , 1.1581406164103353E-11,0.089
16 , 1.5079355320150803E-15,0.09
17 , 2.6982631674193146E-14,0.091
18 , 5.161044376122581E-13,0.092
19 , 5.759373154659543E-23,0.093
20 , 1.5721192630599002E-12,0.094
21 , 6.374740746995627E-17,0.095
22 , 5.594387995323764E-21,0.096
23 , 9.247531160345685E-16,0.097
24 , 3.2937092179067174E-7,0.098
25 , 2.3301987070825536E-14,0.099
26 , 2.2163838308405323E-14,0.1
27 , 1.7902523401052308E-16,0.101
28 , 7.804039161602751E-18,0.103
29 , 1.0274566257091236E-17,0.103
30 , 3.1321902530976024E-25,0.104
31 , 4.5462238739881615E-17,0.105
32 , 9.916698267807348E-15,0.106
33 , 2.266451972638745E-12,0.107
34 , 5.083924062100787E-13,0.108
35 , 1.895618741714655E-17,0.109
36 , 2.813812764423255E-12,0.11
37 , 4.385032985815229E-9,0.111
38 , 7.285060336543085E-18,0.111
39 , 1.6333356954173792E-13,0.112
40 , 3.965739760545578E-9,0.113
41 , 5.196538238505505E-13,0.114
42 , 7.72622113185171E-20,0.115
43 , 6.816545172933185E-15,0.116
44 , 2.2814839478361812E-8,0.117
45 , 9.363795480523605E-22,0.117
46 , 2.850961471629977E-20,0.118
47 , 3.694924214379335E-18,0.119
48 , 2.072645203857358E-23,0.12
49 , 2.6483712561749636E-11,0.121
50 , 9.94782663755334E-22,0.121
51 , 9.838561070380764E-17,0.122
52 , 6.950744503516702E-15,0.123
53 , 2.6643850285862977E-14,0.124
54 , 7.074241358215153E-17,0.125
55 , 4.143091410250142E-15,0.125
56 , 1.4154689801321728E-9,0.126
57 , 2.5940290785863815E-18,0.127
58 , 3.513991667521158E-16,0.128
59 , 1.0042413383307446E-19,0.129
60 , 2.476352859536925E-8,0.129
61 , 1.1531167786794708E-25,0.13
62 , 6.1966495928531674E-15,0.131
63 , 4.09773500840468E-11,0.132
64 , 8.731322757743056E-19,0.133
65 , 2.420303186012965E-9,0.135
66 , 1.3967896085307588E-26,0.135
67 , 2.937538525226508E-10,0.136
68 , 7.993054166979887E-15,0.137
69 , 2.2093729922490995E-6,0.138
70 , 5.868072270873395E-20,0.138
71 , 1.1700593850491E-18,0.139
72 , 1.5510401564428254E-19,0.14
73 , 1.3490482461797322E-15,0.141
74 , 2.8453357741342883E-24,0.141
75 , 9.394575400010868E-4,0.142
76 , 2.6751572602195835E-20,0.143
77 , 4.271460262602054E-13,0.144
78 , 9.784880136244129E-11,0.145
79 , 4.908829739510558E-23,0.145
80 , 8.047400207237266E-15,0.146
81 , 9.592906263545682E-16,0.147
82 , 5.888162122929372E-17,0.148
83 , 1.6940638631632395E-25,0.148
84 , 2.1827953016393202E-21,0.149
85 , 1.637109379594446E-11,0.15
86 , 2.6695732108786638E-20,0.151
87 , 1.1247367562154074E-18,0.151
88 , 3.394862507866258E-14,0.152
89 , 1.4972163170352847E-7,0.153
90 , 3.6588950384811887E-16,0.154
91 , 8.769770659955328E-11,0.154
92 , 5.026664470188463E-19,0.155
93 , 5.434172420661038E-27,0.156
94 , 5.166446014094447E-22,0.157
95 , 1.89440219489249E-21,0.157
96 , 3.349146150455763E-16,0.158
97 , 9.730932173035329E-31,0.159
98 , 2.2041418585381343E-15,0.16
99 , 9.521627950555014E-9,0.161
