generations , best_fitness , time_elapsed
1 , 0.0,0.074
2 , 8.099406227608995E-19,0.077
3 , 9.839068542896995E-13,0.079
4 , 9.292299169002225E-15,0.081
5 , 2.577169408451794E-11,0.082
6 , 7.625947912023669E-9,0.083
7 , 5.367325091178229E-10,0.085
8 , 3.045421985229877E-17,0.086
9 , 2.2735694044292585E-10,0.087
10 , 1.5662327921872876E-19,0.089
11 , 8.910093660281228E-20,0.09
12 , 1.897355005905885E-15,0.091
13 , 2.938844842187038E-23,0.093
14 , 5.361778554765545E-13,0.094
15 , 2.4343076974449757E-8,0.095
16 , 1.246049982214612E-18,0.097
17 , 1.0570757472925253E-12,0.098
18 , 7.595951487653462E-17,0.099
19 , 6.067013551664186E-13,0.1
20 , 1.2170871166835208E-15,0.102
21 , 5.360447007395202E-12,0.103
22 , 4.191505928628364E-28,0.104
23 , 3.1395938989443024E-13,0.105
24 , 4.189331125265358E-21,0.106
25 , 3.739401271474568E-12,0.107
26 , 2.817338176441652E-16,0.108
27 , 1.7194192899574678E-6,0.109
28 , 1.1708660265922487E-12,0.11
29 , 1.3658181597086186E-15,0.111
30 , 8.174624620251294E-17,0.112
31 , 1.1606529270401715E-16,0.113
32 , 1.0178831089484148E-13,0.114
33 , 6.143983716767499E-11,0.115
34 , 8.15398517356833E-16,0.116
35 , 9.119941050829646E-16,0.117
36 , 2.1599742830266085E-18,0.118
37 , 2.099717443673875E-6,0.119
38 , 5.192647654191532E-16,0.12
39 , 5.176736506728543E-5,0.122
40 , 2.972804185394937E-15,0.123
41 , 2.58684529278159E-10,0.124
42 , 3.4425892329016564E-7,0.125
43 , 5.233117576947925E-17,0.126
44 , 3.871138339183859E-19,0.127
45 , 1.941783092903439E-17,0.128
46 , 5.622116324631337E-10,0.129
47 , 2.6933645877193466E-13,0.13
48 , 2.247246588336905E-9,0.131
49 , 1.4426636367129115E-4,0.132
50 , 5.095310770236053E-16,0.133
51 , 1.1285014112834571E-18,0.134
52 , 7.05288236348097E-13,0.135
53 , 5.693251886281249E-20,0.136
54 , 1.1604561468711789E-24,0.137
55 , 1.3502759173906908E-21,0.137
56 , 8.460464667151107E-17,0.138
57 , 1.8022455298553296E-18,0.139
58 , 6.311248959891102E-20,0.14
59 , 6.8836069127760745E-15,0.141
60 , 3.106922582448353E-14,0.142
61 , 1.2172849960768841E-10,0.143
62 , 2.2414189927732345E-23,0.143
63 , 3.606005810337251E-11,0.144
64 , 5.0280356504669714E-11,0.145
65 , 1.3271012847548908E-13,0.146
66 , 2.2414440876896126E-18,0.147
67 , 7.261901535323692E-14,0.148
68 , 1.0876790540634282E-9,0.149
69 , 5.911589199050585E-17,0.149
70 , 4.197942469974045E-24,0.15
71 , 1.1987734763228325E-15,0.151
