iteration , time_elapsed
0,0.008
1,0.003
2,0.002
3,0.003
4,0.003
5,0.003
6,0.003
7,0.003
8,0.003
9,0.003
10,0.003
11,0.003
12,0.003
13,0.003
14,0.002
15,0.002
16,0.003
17,0.003
18,0.003
19,0.003
20,0.003
21,0.002
22,0.003
23,0.003
24,0.002
25,0.002
26,0.003
27,0.003
28,0.002
29,0.002
30,0.003
31,0.003
32,0.002
33,0.002
34,0.003
35,0.003
36,0.002
37,0.003
38,0.003
39,0.003
40,0.002
41,0.003
42,0.003
43,0.002
44,0.002
45,0.003
46,0.003
47,0.002
48,0.003
49,0.003
50,0.003
51,0.002
52,0.002
53,0.003
54,0.003
55,0.003
56,0.002
57,0.003
58,0.003
59,0.003
60,0.002
61,0.003
62,0.003
63,0.003
64,0.002
65,0.003
66,0.003
67,0.003
68,0.002
69,0.003
70,0.003
71,0.003
72,0.002
73,0.003
74,0.003
75,0.002
76,0.002
77,0.003
78,0.003
79,0.002
80,0.003
81,0.003
82,0.003
83,0.002
84,0.003
85,0.003
86,0.002
87,0.003
88,0.003
89,0.002
90,0.003
91,0.002
92,0.003
93,0.003
94,0.002
95,0.003
96,0.003
97,0.003
98,0.003
99,0.002
Score: 10.0
Runtime: 2010ms
