generations , best_fitness , time_elapsed
1 , 0.0,0.569
2 , 0.0,0.572
3 , 2.751757777618993E-30,0.574
4 , 0.0,0.575
5 , 0.0,0.577
6 , 0.0,0.578
7 , 0.0,0.58
8 , 0.0,0.581
9 , 0.0,0.582
10 , 0.0,0.584
11 , 0.0,0.585
12 , 4.332879655822807E-47,0.587
13 , 0.0,0.588
14 , 3.1109718456176705E-36,0.589
15 , 0.0,0.591
16 , 0.0,0.592
17 , 5.165610263828985E-44,0.593
18 , 0.0,0.594
19 , 5.018696502449203E-30,0.596
20 , 0.0,0.597
21 , 0.0,0.598
22 , 0.0,0.599
23 , 0.0,0.6
24 , 0.0,0.602
25 , 0.0,0.603
26 , 0.0,0.604
27 , 0.0,0.606
28 , 0.0,0.607
29 , 0.0,0.608
30 , 3.94480934571874E-34,0.609
31 , 0.0,0.61
32 , 0.0,0.612
33 , 0.0,0.613
34 , 5.006470144946634E-31,0.614
35 , 0.0,0.615
36 , 0.0,0.616
37 , 0.0,0.617
38 , 0.0,0.619
39 , 7.979312646402697E-32,0.62
40 , 0.0,0.621
41 , 2.2183876452409275E-41,0.623
42 , 0.0,0.624
43 , 0.0,0.626
44 , 0.0,0.628
45 , 1.4372771921893461E-30,0.63
46 , 1.1146649145177038E-28,0.631
47 , 3.289375678541388E-44,0.634
48 , 9.282579512181996E-16,0.635
49 , 2.4378483330924083E-19,0.637
50 , 0.0,0.638
51 , 0.0,0.64
52 , 0.0,0.641
53 , 7.292903187444468E-13,0.643
54 , 1.4573050720976755E-33,0.644
55 , 0.0,0.645
56 , 2.3462829053877518E-43,0.647
57 , 1.6830673182578743E-23,0.649
58 , 0.0,0.652
59 , 1.3347409384382598E-18,0.653
60 , 1.0299884694729552E-25,0.655
61 , 0.0,0.657
62 , 0.0,0.658
63 , 0.0,0.66
64 , 6.691804810974254E-50,0.661
65 , 0.0,0.662
66 , 0.0,0.663
67 , 5.087407618923976E-53,0.665
68 , 0.0,0.667
69 , 2.6658710018587806E-41,0.668
70 , 0.0,0.669
71 , 3.7191174028719395E-50,0.671
72 , 2.4847757403641068E-37,0.672
73 , 0.0,0.673
74 , 3.5649394686908204E-26,0.674
75 , 0.0,0.676
76 , 0.0,0.677
77 , 0.0,0.678
78 , 0.0,0.679
79 , 0.0,0.68
80 , 2.1374962136811207E-44,0.681
81 , 2.712777106118588E-25,0.683
82 , 0.0,0.684
83 , 1.586894797818349E-24,0.686
84 , 6.887273294678282E-33,0.69
85 , 0.0,0.691
86 , 0.0,0.692
87 , 1.6838820147695564E-48,0.693
88 , 0.0,0.694
89 , 0.0,0.696
90 , 0.0,0.697
91 , 0.0,0.698
92 , 0.0,0.699
93 , 0.0,0.701
94 , 1.8692491583987212E-25,0.703
95 , 0.0,0.704
96 , 0.0,0.705
97 , 0.0,0.707
98 , 1.135685912464104E-50,0.709
99 , 0.0,0.71
100 , 0.0,0.712
101 , 0.0,0.713
102 , 0.0,0.714
103 , 1.4481885330964822E-35,0.715
104 , 3.3566815138596014E-47,0.716
105 , 0.0,0.718
106 , 6.8003369931841E-17,0.719
107 , 0.0,0.72
108 , 3.576504580833655E-75,0.721
109 , 0.0,0.722
110 , 0.0,0.723
111 , 0.0,0.724
112 , 5.619887319442596E-48,0.725
113 , 0.0,0.726
114 , 1.6262500238517096E-34,0.727
115 , 4.875770915289765E-65,0.729
116 , 0.0,0.731
117 , 0.0,0.732
118 , 6.94656471005751E-43,0.733
119 , 6.245062208951105E-72,0.735
120 , 7.661784075851131E-59,0.736
121 , 2.1901359604481926E-66,0.737
122 , 6.312782464613261E-20,0.739
123 , 0.0,0.74
124 , 0.0,0.741
125 , 0.0,0.742
126 , 1.2849212294511722E-24,0.743
127 , 0.0,0.745
128 , 2.438171184504742E-41,0.746
129 , 0.0,0.747
130 , 0.0,0.748
131 , 1.002625716452861E-33,0.75
132 , 0.0,0.751
133 , 0.0,0.752
134 , 4.153334527063251E-59,0.753
135 , 0.0,0.754
136 , 6.037521897728435E-32,0.756
137 , 0.0,0.757
138 , 2.949849816079818E-37,0.758
139 , 0.0,0.759
140 , 1.982298487370187E-34,0.76
141 , 0.0,0.761
142 , 0.0,0.763
143 , 0.0,0.764
144 , 0.0,0.765
145 , 2.7418668231352295E-39,0.767
146 , 4.3247821581294125E-66,0.768
147 , 0.0,0.769
148 , 0.0,0.77
149 , 2.6873138507471276E-21,0.772
150 , 3.658656629385287E-15,0.773
151 , 0.0,0.774
152 , 0.0,0.775
153 , 5.187651658582442E-31,0.776
154 , 6.542937236238658E-50,0.776
155 , 0.0,0.777
156 , 0.0,0.778
157 , 0.0,0.779
158 , 0.0,0.78
159 , 0.0,0.781
160 , 0.0,0.782
161 , 1.1310685753442559E-48,0.783
162 , 0.0,0.784
163 , 0.0,0.785
164 , 7.816964861697208E-70,0.786
165 , 0.0,0.787
166 , 0.0,0.788
167 , 0.0,0.788
168 , 2.660392481092314E-67,0.789
169 , 3.1098089708281636E-26,0.79
170 , 1.3830488672340358E-22,0.792
171 , 9.386949737516195E-12,0.792
