generations , best_fitness , time_elapsed
1 , 0.0,0.117
2 , 6.125463201448026E-13,0.121
3 , 4.230608807441682E-13,0.123
4 , 1.3758736922318637E-10,0.126
5 , 2.5744871909302246E-15,0.128
6 , 2.4129391989446393E-38,0.13
7 , 2.2620019815317074E-28,0.132
8 , 1.1323667806995178E-17,0.134
9 , 1.031958394376197E-16,0.137
10 , 4.583494251219158E-20,0.139
11 , 6.506129346408985E-27,0.141
12 , 0.0,0.143
13 , 7.86611265006607E-17,0.145
14 , 2.8462987084914654E-22,0.146
15 , 2.263482880218897E-13,0.147
16 , 1.1136406167330568E-16,0.149
17 , 1.2136925547172629E-32,0.15
18 , 3.549739688319549E-30,0.152
19 , 2.477829982174494E-42,0.153
20 , 3.1020539727060273E-20,0.155
21 , 1.3488523740256932E-26,0.156
22 , 1.1596201738258355E-37,0.158
23 , 7.764139780010239E-26,0.159
24 , 5.2262453948606886E-24,0.161
25 , 1.4246336512947605E-28,0.162
26 , 7.904343505753776E-35,0.163
27 , 1.6519588351949822E-44,0.165
28 , 9.589336393658173E-50,0.166
29 , 3.959213601763461E-25,0.168
30 , 5.7482716429692034E-27,0.17
31 , 1.2591035909332915E-16,0.171
32 , 4.740802015124365E-17,0.172
33 , 4.855386204070183E-35,0.174
34 , 2.782022365889738E-28,0.175
35 , 3.4360219789794284E-15,0.177
36 , 5.474865698126702E-32,0.178
37 , 1.977764974810963E-16,0.179
38 , 2.5304763136338475E-22,0.181
39 , 2.750855297952286E-10,0.182
40 , 5.095712253091974E-15,0.183
41 , 1.1634467948414458E-11,0.184
42 , 3.602781549783817E-29,0.186
43 , 2.0901265294520574E-46,0.187
44 , 7.981813125121191E-18,0.189
45 , 4.921155306293162E-10,0.19
46 , 1.7084246034979223E-22,0.192
47 , 4.026539427617371E-30,0.193
48 , 1.5312313915918087E-18,0.195
49 , 1.0732660064560231E-26,0.196
50 , 2.3645608869297224E-62,0.198
51 , 2.6546958140828664E-26,0.2
52 , 4.05226192926764E-15,0.202
53 , 2.3820303988354085E-13,0.203
54 , 5.572531086179567E-18,0.205
55 , 3.861812310254134E-23,0.206
56 , 8.991673066425646E-23,0.207
57 , 2.944106778765031E-11,0.208
58 , 2.74910844901863E-15,0.209
59 , 5.56358237518486E-31,0.211
60 , 2.753604343512613E-16,0.212
61 , 7.343399100293861E-19,0.214
62 , 2.8444400804615125E-26,0.215
63 , 8.056229901938573E-33,0.216
64 , 1.1732613475021528E-22,0.217
65 , 1.505188927270028E-19,0.219
66 , 1.2410833131960205E-22,0.22
67 , 7.374508051247002E-25,0.221
68 , 7.013051294367395E-41,0.223
69 , 0.0,0.224
70 , 1.6669117087603203E-19,0.225
71 , 2.143883747749711E-17,0.227
72 , 1.2639160373653758E-28,0.228
73 , 4.550309420795334E-16,0.229
74 , 6.249194281836236E-16,0.23
75 , 2.7052581073071315E-19,0.231
76 , 1.6161209290108447E-18,0.233
77 , 4.108115329624962E-21,0.234
78 , 6.730765895240204E-17,0.235
79 , 1.1084949512652637E-16,0.236
80 , 6.086792954530923E-24,0.238
81 , 2.6532795204089735E-29,0.239
82 , 2.0768359539939036E-37,0.24
83 , 5.174328152954648E-22,0.241
84 , 1.5955209242779205E-25,0.242
85 , 1.989020867904813E-12,0.244
86 , 0.0,0.245
87 , 2.8207431253431347E-18,0.246
88 , 2.94057851363507E-15,0.247
89 , 8.52873604381958E-30,0.248
90 , 1.1653705496613697E-25,0.249
91 , 8.616003294131164E-19,0.251
92 , 1.4117399852615758E-36,0.252
93 , 7.965311325991012E-21,0.253
94 , 6.190437388504358E-16,0.254
95 , 6.830163995498953E-42,0.256
96 , 6.292603380465729E-18,0.257
97 , 4.2662559691275445E-23,0.258
98 , 6.498087252789312E-19,0.26
99 , 8.835445189981104E-49,0.261
100 , 8.094064395525851E-12,0.262
101 , 0.0,0.263
102 , 1.6930257301883894E-13,0.264
103 , 2.4992940066820466E-14,0.265
104 , 2.0688353769470565E-26,0.267
105 , 2.2145681483284328E-21,0.268
106 , 1.3069478496266532E-23,0.269
107 , 8.258681989107444E-20,0.271
108 , 8.178368176568641E-17,0.272
109 , 1.4272146508785193E-16,0.273
110 , 5.926696616925485E-60,0.274
111 , 6.982923080410434E-36,0.275
112 , 5.558102083580338E-26,0.276
113 , 2.6207162368646478E-12,0.277
114 , 2.8270580269324153E-18,0.279
115 , 8.001407296308445E-32,0.28
116 , 3.100991027328769E-19,0.281
117 , 3.037522947369568E-26,0.282
118 , 1.0607987973705101E-26,0.283
119 , 5.068595245026391E-28,0.284
120 , 3.2778863805957577E-21,0.285
121 , 1.3348593086884664E-13,0.287
122 , 5.737898943204163E-32,0.288
123 , 4.3885843197360535E-27,0.289
124 , 2.295169695481745E-22,0.29
125 , 7.257272340801869E-22,0.291
126 , 7.248514538423029E-46,0.292
127 , 3.411246282803814E-33,0.294
128 , 4.298253693509595E-30,0.295
129 , 3.1135728139866487E-50,0.296
130 , 8.716488493390689E-14,0.297
131 , 7.213024463054147E-42,0.3
132 , 6.01538905235155E-7,0.301
133 , 1.0633578196082808E-52,0.302
134 , 7.953203419896756E-20,0.303
135 , 1.6297721959006485E-24,0.304
136 , 1.4518334388422698E-27,0.305
137 , 9.41365608808488E-31,0.306
138 , 2.9082152432900493E-22,0.307
139 , 3.437093427809656E-38,0.308
140 , 9.76161386276403E-45,0.309
141 , 1.0488127790229504E-27,0.31
142 , 3.843253950468631E-41,0.311
143 , 3.871772191513733E-33,0.312
144 , 2.0793087659634822E-36,0.313
145 , 1.4105850264262473E-8,0.315
146 , 5.197561352525052E-32,0.316
147 , 2.817347569429706E-29,0.317
148 , 1.786085025206458E-39,0.319
149 , 7.083697541781743E-17,0.32
150 , 2.6222354878004104E-30,0.321
151 , 1.693294659572255E-29,0.322
152 , 2.4219038165354E-8,0.323
153 , 6.765424676067417E-21,0.324
154 , 1.449831288825593E-36,0.325
155 , 8.15358043421861E-19,0.326
156 , 3.2948785629078475E-40,0.327
157 , 2.7150134908986154E-31,0.328
158 , 7.646624622743354E-23,0.329
159 , 1.022832207399495E-26,0.33
160 , 3.1253379395590197E-30,0.331
161 , 5.4125299938162197E-20,0.332
162 , 2.8993976330294334E-18,0.333
163 , 2.146337325094869E-35,0.334
164 , 1.649412957457643E-24,0.335
165 , 2.4319459038381636E-14,0.336
166 , 1.2495593911788115E-13,0.337
167 , 0.0,0.338
168 , 2.938589224992714E-23,0.339
169 , 2.2663455399986067E-46,0.34
170 , 4.844403224433502E-21,0.341
171 , 4.422823358698203E-15,0.342
172 , 4.672675027717614E-15,0.343
173 , 3.4569394867744273E-18,0.344
174 , 4.760203830545759E-9,0.345
175 , 6.570045821923819E-27,0.346
176 , 3.183029727498561E-45,0.347
177 , 2.45209399705325E-10,0.348
178 , 7.017963430493779E-11,0.349
179 , 1.846184071079614E-15,0.35
180 , 1.6195757847534758E-21,0.351
181 , 1.523304049910569E-21,0.352
182 , 2.544653346001845E-10,0.353
183 , 3.7803637324737526E-30,0.354
184 , 7.039096961909149E-36,0.355
185 , 1.7658908141327686E-44,0.356
186 , 1.9116237161436312E-39,0.357
187 , 3.6204171129566855E-35,0.358
188 , 8.20710837815397E-46,0.359
189 , 2.69443599273542E-20,0.36
190 , 4.8475354124354454E-46,0.361
191 , 1.1774903893272641E-32,0.362
192 , 1.226371649608555E-23,0.363
193 , 7.0705467402863E-13,0.364
194 , 6.547015648611497E-31,0.366
195 , 1.5471343084181165E-23,0.367
196 , 8.157904357174394E-13,0.368
197 , 3.818938915838044E-17,0.369
198 , 3.875709843225744E-29,0.37
199 , 1.5538946872158457E-30,0.371
200 , 7.493190953691827E-19,0.372
201 , 1.9503721914856156E-21,0.373
202 , 3.391319552772793E-24,0.374
203 , 3.56059277930478E-24,0.375
204 , 8.519360935161216E-13,0.376
205 , 5.787806671553433E-10,0.377
206 , 8.4282182477086E-9,0.378
207 , 3.1896228474035845E-15,0.379
208 , 1.0158446745789711E-35,0.38
209 , 2.3771538100628173E-19,0.381
210 , 9.644662592731258E-47,0.382
211 , 5.616921762469867E-31,0.383
212 , 2.1785731849452945E-30,0.384
213 , 3.323885169688E-56,0.385
214 , 2.556738939813947E-28,0.386
215 , 2.6929272082881293E-31,0.387
216 , 2.112463721483083E-24,0.388
217 , 2.9374994839806225E-21,0.389
218 , 1.4498140846684903E-15,0.39
219 , 2.29309241299767E-32,0.391
220 , 7.940394230616092E-20,0.392
221 , 8.465421484198415E-35,0.393
222 , 1.92139004346972E-30,0.394
223 , 7.850138780716249E-18,0.395
224 , 6.210414755154776E-40,0.396
225 , 7.483666005460729E-20,0.397
226 , 2.8984759233333222E-33,0.398
227 , 1.239526736278879E-34,0.399
228 , 7.567987974767112E-35,0.4
229 , 6.544651694573848E-21,0.401
230 , 3.092485596939708E-17,0.402
231 , 2.499506371319941E-19,0.403
232 , 1.1530373991167218E-12,0.404
233 , 1.8187567460532484E-56,0.405
234 , 2.1207258624431743E-32,0.406
235 , 1.013286729244341E-14,0.407
236 , 9.55971775302842E-35,0.408
237 , 1.4718543354563098E-32,0.409
238 , 2.761643773934661E-50,0.41
239 , 7.949411456392325E-17,0.411
240 , 1.085175944749172E-5,0.412
241 , 2.2912567558311107E-52,0.413
242 , 1.4042846374486614E-35,0.414
243 , 1.4203311777529716E-46,0.415
244 , 2.174302879669874E-23,0.416
245 , 1.6097492288342583E-7,0.417
246 , 7.109829635447827E-34,0.418
247 , 1.0272631788972763E-25,0.419
248 , 2.913601125125486E-26,0.42
249 , 5.700221422543759E-23,0.421
250 , 4.045278245852401E-13,0.422
251 , 5.101500243405656E-19,0.424
252 , 7.861841203304472E-37,0.425
253 , 1.2230236565873681E-43,0.426
254 , 3.84132657447914E-26,0.427
255 , 3.0340934966405926E-33,0.428
256 , 7.985434563657088E-31,0.43
257 , 3.6649540282541234E-42,0.431
258 , 1.1981883502288903E-16,0.432
259 , 1.5657721432749146E-13,0.433
260 , 1.969250049671707E-22,0.434
261 , 6.365186364558959E-37,0.435
262 , 4.711718585375309E-23,0.436
263 , 1.6713774376698244E-20,0.437
264 , 3.023566786641873E-16,0.438
265 , 1.1648143897285555E-11,0.439
266 , 3.6352931677581347E-57,0.44
267 , 1.2081149321206253E-17,0.441
268 , 2.664763852171403E-17,0.442
269 , 8.886870766531937E-33,0.443
270 , 2.0279570822070625E-16,0.444
271 , 4.6277962103622186E-18,0.445
272 , 3.381199689387389E-46,0.446
273 , 2.9112513526886777E-15,0.447
274 , 4.095931854475758E-11,0.448
275 , 2.786352529145086E-22,0.449
276 , 7.151362677309232E-24,0.45
277 , 4.2997240206881423E-29,0.451
278 , 8.329142017375656E-25,0.452
279 , 2.085174383917088E-31,0.453
280 , 5.2366838211494615E-20,0.454
281 , 1.3134496956370436E-13,0.455
282 , 2.3740604813930618E-26,0.456
283 , 1.8545034880594856E-30,0.457
284 , 5.303052630217678E-31,0.458
285 , 7.320382794397446E-24,0.459
286 , 3.775822116355886E-24,0.46
287 , 1.5060695019247126E-22,0.461
288 , 1.4787260649386838E-24,0.462
289 , 3.107478138779829E-19,0.463
290 , 9.96686176888675E-12,0.464
291 , 6.092163561591621E-23,0.465
292 , 5.2960371042532896E-51,0.466
293 , 4.744541867416082E-26,0.467
294 , 2.0678127091595642E-27,0.468
295 , 1.4855866974650185E-32,0.469
296 , 9.543899382747518E-28,0.47
297 , 5.917660188429048E-19,0.471
298 , 4.023784109967187E-21,0.472
299 , 7.33337591442618E-24,0.473
300 , 2.528304234742599E-19,0.474
301 , 2.5241152372545625E-26,0.475
302 , 2.4205897750553604E-21,0.476
303 , 1.0634287720205872E-9,0.477
304 , 5.622504495431337E-19,0.478
305 , 5.899259507288546E-20,0.479
306 , 2.449972290758989E-49,0.48
307 , 1.636959354867659E-31,0.481
308 , 3.4513758715001606E-31,0.482
309 , 3.145944344280644E-37,0.483
310 , 5.008665578308557E-21,0.484
311 , 8.41307713556437E-35,0.485
312 , 5.4389388510164916E-24,0.486
313 , 6.576995521647081E-26,0.487
314 , 1.180242856069695E-28,0.488
315 , 2.2348283368683757E-35,0.489
316 , 1.290586029818401E-30,0.49
317 , 7.030974174531277E-38,0.491
318 , 2.0330730077424425E-19,0.492
319 , 4.956312398636561E-8,0.493
320 , 7.114658910721216E-26,0.494
321 , 9.43330406159489E-25,0.495
322 , 8.650507907593587E-42,0.496
323 , 3.344529434755496E-41,0.497
324 , 4.932930068615551E-28,0.498
325 , 3.3859555750070275E-62,0.499
326 , 7.346153358262103E-18,0.5
327 , 5.162192091828523E-50,0.501
328 , 1.5505698479252718E-23,0.502
329 , 2.174071177633839E-29,0.503
330 , 7.087400508514429E-29,0.504
331 , 4.559029821591774E-24,0.505
332 , 1.1464288162055347E-26,0.506
333 , 3.647185166731956E-21,0.507
334 , 5.6031675268995865E-21,0.508
335 , 3.8057543460821835E-8,0.509
336 , 3.1328651552035323E-54,0.51
337 , 5.244097917197266E-31,0.511
338 , 2.078700739165257E-41,0.512
339 , 7.555863816784934E-18,0.513
340 , 1.7211108205693642E-16,0.514
341 , 1.7797644393737885E-36,0.515
342 , 4.825276897792626E-41,0.516
343 , 1.6595131019672869E-37,0.517
344 , 8.54258483231898E-15,0.518
345 , 4.344859714124424E-18,0.519
346 , 4.753990961843818E-27,0.521
347 , 1.028837291440209E-38,0.521
348 , 3.934321783562938E-18,0.523
349 , 5.075093502502137E-29,0.523
350 , 4.2910699408096694E-27,0.525
351 , 4.68390705986422E-34,0.526
352 , 2.932064027223069E-28,0.527
353 , 2.9592153732718665E-9,0.528
354 , 4.9995918838560644E-45,0.529
355 , 1.5675330140835774E-29,0.53
356 , 5.291352191184384E-21,0.531
357 , 8.85352840599314E-26,0.532
358 , 1.0310968421551708E-22,0.533
359 , 9.413373624170178E-38,0.534
360 , 1.3375570092650105E-29,0.535
361 , 3.496406457599981E-27,0.536
362 , 3.678861697869956E-31,0.537
363 , 1.447722979707202E-38,0.538
364 , 1.7928505600774456E-22,0.539
365 , 5.818948899540923E-22,0.54
366 , 1.0788781702063341E-29,0.541
367 , 1.0603251430007308E-19,0.542
368 , 1.2513716699383063E-42,0.543
369 , 4.302704261489242E-17,0.544
370 , 4.4495275658708854E-23,0.545
371 , 2.202695397885644E-43,0.546
372 , 2.2461752231796567E-28,0.547
373 , 4.1197232920210055E-61,0.548
374 , 3.655648494778433E-34,0.549
375 , 1.3238539426932892E-27,0.55
376 , 1.542996435041362E-19,0.551
377 , 0.0,0.552
378 , 2.9770025889610934E-15,0.553
379 , 2.9143831398758784E-21,0.554
380 , 2.603393925951273E-40,0.555
381 , 1.7378886213656511E-53,0.556
382 , 2.184692778868366E-24,0.557
383 , 4.226141628914049E-45,0.558
384 , 9.9793567745971E-11,0.559
385 , 1.207093403024553E-43,0.56
386 , 3.354608652611611E-11,0.561
387 , 4.3875497695621145E-26,0.562
388 , 3.0074181386692132E-21,0.563
389 , 2.2684711469772576E-17,0.564
390 , 2.287203848891451E-8,0.565
391 , 2.960779543376069E-32,0.566
