generations , best_fitness , time_elapsed
1 , 0.0,0.08
2 , 1.6906618849595562E-29,0.086
3 , 1.0976377172240422E-24,0.092
4 , 0.0,0.093
5 , 5.541076220061207E-41,0.095
6 , 1.9307650380535015E-35,0.096
7 , 1.2936422676004864E-16,0.104
8 , 1.0262889695874891E-17,0.106
9 , 0.0,0.107
10 , 0.0,0.108
11 , 0.0,0.11
12 , 8.266147516119886E-45,0.111
13 , 1.049374498845732E-48,0.113
14 , 0.0,0.114
15 , 1.2261596083790878E-35,0.115
16 , 2.6353205548493234E-59,0.116
17 , 1.2256521598215268E-75,0.117
18 , 5.204795295731993E-27,0.118
19 , 0.0,0.12
20 , 0.0,0.121
21 , 1.6926453512664921E-16,0.122
22 , 3.118218403153323E-41,0.123
23 , 1.9828084710613866E-26,0.124
24 , 0.0,0.125
25 , 0.0,0.126
26 , 3.1137266399495756E-56,0.127
27 , 8.545001369714296E-43,0.128
28 , 1.8614579317866142E-23,0.129
29 , 4.392953716663619E-45,0.13
30 , 7.922621439171892E-70,0.131
31 , 2.0021364954750094E-25,0.132
32 , 0.0,0.133
33 , 9.885027277032149E-39,0.134
34 , 1.7374739559220985E-76,0.135
35 , 0.0,0.136
36 , 1.3947236665164267E-43,0.138
37 , 9.69186666636747E-18,0.139
38 , 1.2265951191640376E-40,0.14
39 , 0.0,0.141
40 , 6.679324648911789E-14,0.142
41 , 2.489502931200024E-43,0.143
42 , 1.8167834505697E-22,0.144
43 , 1.748239075069072E-47,0.145
44 , 3.410745876170816E-63,0.146
45 , 1.5484184135305645E-43,0.147
46 , 0.0,0.148
47 , 1.9307055979944714E-34,0.149
48 , 8.89316628634907E-22,0.151
49 , 7.350373235448369E-28,0.16
50 , 1.030436098692828E-36,0.166
51 , 7.579775769878212E-32,0.173
52 , 9.645262475186721E-24,0.174
53 , 4.379214708428434E-40,0.175
54 , 3.209012592360147E-25,0.176
55 , 5.11807542552722E-25,0.177
56 , 0.0,0.183
57 , 4.136902384001005E-52,0.199
58 , 0.0,0.201
59 , 3.9943310148766306E-38,0.201
60 , 0.0,0.203
61 , 2.036801855476346E-70,0.204
62 , 1.3886274388842903E-13,0.205
63 , 0.0,0.206
64 , 1.048149929383358E-26,0.207
65 , 0.0,0.208
66 , 1.352586590510421E-15,0.209
67 , 0.0,0.21
68 , 2.178061951517118E-67,0.218
69 , 4.929003765326341E-53,0.225
70 , 1.630452175230577E-49,0.226
71 , 1.6757350994588345E-32,0.239
72 , 4.7546527514914324E-49,0.24
73 , 2.351312171800584E-22,0.24
74 , 3.490133175244495E-45,0.241
75 , 2.626976855125265E-40,0.242
76 , 3.0028786284832378E-34,0.249
77 , 1.2244074403645635E-50,0.256
78 , 0.0,0.257
79 , 2.805575372819947E-62,0.257
80 , 0.0,0.258
81 , 6.150799406454828E-8,0.265
82 , 1.4502575835078074E-25,0.271
83 , 8.432167641864889E-32,0.285
84 , 0.0,0.287
85 , 7.290593772289061E-36,0.288
86 , 0.0,0.295
87 , 6.103497659353227E-18,0.3
88 , 8.79425199924399E-17,0.301
89 , 4.382857712229533E-31,0.307
90 , 0.0,0.312
91 , 0.0,0.318
92 , 1.6654485740861403E-39,0.319
93 , 5.3883132325870425E-59,0.32
94 , 2.4334717368572725E-26,0.321
95 , 1.4812867305855412E-33,0.322
96 , 0.0,0.323
97 , 0.0,0.335
98 , 3.827147184656156E-44,0.347
99 , 4.6344509113114545E-35,0.347
100 , 1.0810895536969428E-29,0.348
101 , 4.391038517158813E-37,0.349
102 , 0.0,0.35
103 , 1.6396970771644485E-31,0.351
104 , 3.9846403452344514E-47,0.358
105 , 1.8850011779476757E-54,0.366
106 , 3.7361467175754075E-37,0.367
107 , 2.1950195284290544E-37,0.374
108 , 0.0,0.379
109 , 1.2858731705398345E-11,0.385
110 , 0.0,0.391
111 , 0.0,0.392
112 , 0.0,0.393
113 , 1.3477490081131849E-41,0.394
114 , 7.480251481720199E-25,0.395
115 , 1.044319867424192E-28,0.396
116 , 3.488193565919697E-23,0.397
117 , 0.0,0.398
118 , 3.639730879895502E-59,0.399
119 , 2.0432995801269768E-47,0.399
120 , 0.0,0.4
121 , 1.5977721127809622E-32,0.401
122 , 2.914042119820822E-25,0.402
123 , 1.4848382144704717E-13,0.403
124 , 0.0,0.404
125 , 7.69774562893001E-24,0.405
126 , 0.0,0.406
127 , 2.176138545246941E-28,0.407
128 , 4.63924440624944E-40,0.408
129 , 0.0,0.409
130 , 6.662980839020375E-35,0.409
131 , 6.787590756086101E-35,0.41
132 , 2.0811405276979704E-30,0.411
133 , 6.135967651198532E-31,0.412
134 , 3.0805535950377506E-41,0.413
135 , 1.0840495197020485E-43,0.413
136 , 0.0,0.414
137 , 3.669994219308871E-38,0.415
138 , 5.630181516551926E-53,0.416
139 , 2.227534702619027E-46,0.417
140 , 1.0270959555786179E-20,0.418
141 , 2.273447544195248E-20,0.418
142 , 1.2095519361077905E-33,0.419
143 , 6.092429204352773E-36,0.42
144 , 0.0,0.421
145 , 2.877559267920319E-29,0.422
146 , 0.0,0.422
147 , 0.0,0.423
148 , 0.0,0.424
149 , 1.1261174619991496E-32,0.425
150 , 2.216654756346668E-26,0.427
