generations , best_fitness , time_elapsed
1 , 0.0,0.072
2 , 3.4622743803141296E-17,0.074
3 , 5.269372829631949E-6,0.076
4 , 3.8532576598748496E-13,0.077
5 , 1.776879150847345E-23,0.079
6 , 1.8043673351832308E-13,0.08
7 , 8.806497563600909E-10,0.082
8 , 2.0377217488532737E-12,0.083
9 , 8.440346500003007E-11,0.084
10 , 9.690434006833289E-21,0.085
11 , 1.8756233843785962E-15,0.087
12 , 6.462711720228142E-17,0.088
13 , 1.1187421113980758E-5,0.089
14 , 1.151895097419835E-16,0.09
15 , 3.226179737081325E-10,0.091
16 , 8.014964469646305E-11,0.092
17 , 1.48503753394902E-22,0.093
18 , 4.868188042394065E-6,0.094
19 , 4.4127045652774357E-13,0.095
20 , 1.2698249592917414E-14,0.096
21 , 4.228211715512947E-17,0.097
22 , 1.8309025969179321E-16,0.098
23 , 3.287563437835153E-17,0.099
24 , 1.3187468276131544E-19,0.1
25 , 2.2948324895844517E-20,0.101
26 , 2.0003562179964746E-12,0.102
27 , 2.275003040472724E-23,0.104
28 , 2.3236825393320056E-28,0.105
29 , 8.073051063726255E-11,0.106
30 , 3.2237214364515725E-9,0.107
31 , 1.737621693666793E-17,0.108
32 , 8.195893727873405E-10,0.109
33 , 1.0150245737535527E-5,0.11
34 , 1.5225478978330995E-21,0.111
35 , 1.24789875736176E-12,0.112
36 , 1.2872890282301113E-20,0.112
37 , 3.243530268017253E-7,0.113
38 , 2.454084299434008E-8,0.114
39 , 4.615811126549967E-12,0.115
40 , 6.369797961502372E-15,0.116
41 , 4.1106006206562455E-18,0.117
42 , 3.866504263715185E-6,0.118
43 , 6.3539321833236295E-18,0.119
44 , 6.907763520601324E-16,0.12
45 , 9.543690552262889E-20,0.122
46 , 1.3079506963725097E-16,0.122
47 , 2.1000163543387858E-11,0.124
48 , 1.9465369591572415E-16,0.125
49 , 2.6386685456825183E-12,0.126
50 , 9.249215254475554E-15,0.126
51 , 7.294364795760207E-12,0.128
52 , 9.30238625394933E-12,0.129
53 , 9.139962078612082E-24,0.13
54 , 3.3952983562173682E-16,0.131
55 , 1.1010988489445572E-22,0.131
56 , 4.700268738503512E-21,0.132
57 , 8.702005765374358E-12,0.133
58 , 3.2164238971744336E-10,0.134
59 , 1.634431798045923E-10,0.135
60 , 5.202187535394036E-16,0.136
61 , 8.729450029628522E-23,0.137
62 , 2.1343414997795215E-18,0.138
63 , 2.1694183686610044E-13,0.139
64 , 6.15219970282997E-11,0.14
65 , 1.8295175231722328E-17,0.141
66 , 3.7635893564654823E-8,0.142
67 , 7.28715068109449E-18,0.143
68 , 2.8336836141632314E-17,0.144
69 , 2.887829018700709E-10,0.144
70 , 7.425820361505283E-17,0.145
71 , 9.87605457948126E-13,0.146
72 , 2.8989477726089107E-16,0.147
73 , 7.772840477417271E-18,0.148
74 , 1.0163170109740403E-13,0.149
75 , 3.332530394806281E-14,0.15
76 , 1.5751324411116348E-14,0.151
77 , 5.483548340560922E-20,0.151
78 , 3.186769257392589E-5,0.152
79 , 1.8976354242863326E-13,0.153
80 , 4.118097051821955E-20,0.154
81 , 1.1066111677168591E-8,0.155
82 , 4.7307038938043504E-12,0.156
83 , 6.334059806429518E-20,0.157
84 , 1.397645498444547E-9,0.158
85 , 2.1636314246708123E-18,0.158
86 , 1.790586436460708E-12,0.159
87 , 2.7275111052555947E-17,0.16
88 , 3.457600741245491E-13,0.161
89 , 4.25281485926545E-15,0.162
90 , 3.315172923658402E-10,0.163
91 , 1.908142526361989E-12,0.163
92 , 3.542873460527948E-11,0.164
93 , 2.079571727439252E-18,0.165
94 , 1.0655207681847494E-14,0.166
95 , 1.7474900267621066E-18,0.167
96 , 1.907838020321269E-15,0.168
97 , 1.0533025312114085E-9,0.17
98 , 4.7420773494993586E-17,0.17
99 , 5.297300455234815E-24,0.171
100 , 3.864559355840405E-10,0.172
101 , 3.7637312585369396E-20,0.173
102 , 6.290917022433956E-19,0.174
103 , 3.162713266133646E-16,0.174
104 , 1.3412548658178008E-11,0.175
