generations , best_fitness , time_elapsed
1 , 0.0,0.27
2 , 0.0,0.272
3 , 1.8319498257695894E-25,0.273
4 , 4.415735891084067E-7,0.274
5 , 4.184585099899965E-5,0.275
6 , 8.993134926278878E-6,0.276
7 , 5.169078653940891E-18,0.277
8 , 7.413800662738214E-19,0.278
9 , 3.27483220762366E-13,0.278
10 , 0.0010450950416299278,0.279
11 , 7.02005016848433E-9,0.28
12 , 3.626283243710207E-6,0.281
13 , 0.0,0.281
14 , 1.6848275992705713E-35,0.282
15 , 0.0,0.283
16 , 2.074603530192361E-19,0.283
17 , 7.5836741248729815E-19,0.284
18 , 8.892085223212925E-9,0.285
19 , 2.2144417981364583E-9,0.285
20 , 7.196509679187052E-8,0.286
21 , 6.300887589846898E-5,0.287
22 , 9.180666959287742E-6,0.287
23 , 0.0,0.288
24 , 6.562754054444015E-10,0.288
25 , 2.7810168810354202E-6,0.289
26 , 6.468002063042593E-4,0.289
27 , 2.282662945076598E-8,0.29
28 , 1.8233050189831953E-4,0.29
29 , 5.33296919586258E-17,0.291
30 , 8.352264061169402E-6,0.292
31 , 7.017673381418843E-13,0.292
32 , 0.0010357341436860715,0.293
33 , 5.905082281992833E-6,0.293
34 , 1.1099417129939627E-6,0.294
35 , 0.0019162853799406412,0.294
36 , 0.005336922198201639,0.295
37 , 8.520878575375349E-4,0.295
38 , 1.0525365508289525E-8,0.296
39 , 5.978444010073812E-4,0.296
40 , 0.0017225222468622869,0.297
41 , 9.75137750914099E-4,0.298
42 , 1.1555282714908992E-4,0.298
43 , 0.012082614148741906,0.299
44 , 0.0021880831527970506,0.299
45 , 0.03284113278988401,0.3
46 , 0.03253078351317611,0.3
47 , 3.865544182814018E-4,0.301
48 , 0.0015731665062882851,0.301
49 , 0.028304581088830855,0.302
50 , 0.05048917525414701,0.302
51 , 0.08070240148021249,0.304
52 , 0.010521783993304846,0.304
53 , 8.654484348251616E-4,0.305
54 , 0.00880967999405388,0.305
55 , 0.06218111379758001,0.306
56 , 0.009223097574446566,0.307
57 , 0.20782031151764874,0.307
