generations , best_fitness , time_elapsed
1 , 0.0,0.264
2 , 6.682655720659518E-18,0.266
3 , 1.7923463875290965E-9,0.267
4 , 6.50073876895626E-33,0.268
5 , 0.00153536486091387,0.269
6 , 0.0,0.27
7 , 0.0,0.27
8 , 6.203283468758702E-9,0.271
9 , 0.0,0.272
10 , 7.587087774987174E-19,0.272
11 , 0.0,0.273
12 , 5.168647806959183E-10,0.274
13 , 7.617794634475657E-21,0.274
14 , 0.0,0.275
15 , 0.0,0.275
16 , 0.0,0.276
17 , 3.776572038405836E-9,0.277
18 , 1.0023621821143602E-10,0.277
19 , 1.0119506716983612E-7,0.278
20 , 1.985578262813026E-11,0.278
21 , 0.0011380284918936679,0.279
22 , 4.6180465823988736E-107,0.28
23 , 2.6127619016376525E-28,0.281
24 , 6.80053865191493E-8,0.281
25 , 0.0,0.282
26 , 0.0,0.283
27 , 0.0,0.283
28 , 9.753778811624E-10,0.284
29 , 1.4571524528875078E-28,0.284
30 , 1.6951838280804575E-7,0.285
31 , 1.4523046203873057E-27,0.285
32 , 2.6307006039520452E-40,0.286
33 , 3.117566247766942E-20,0.286
34 , 1.5571307580096158E-8,0.287
35 , 2.0428776325626778E-7,0.287
36 , 1.0092854238365712E-5,0.288
37 , 9.582043176414019E-6,0.288
38 , 1.1369826323900315E-7,0.289
39 , 1.7720122956627643E-4,0.29
40 , 5.111480121989747E-11,0.29
41 , 2.3815272368984497E-13,0.291
42 , 0.0,0.291
43 , 2.4583110571649253E-7,0.292
44 , 5.412429602983567E-8,0.292
45 , 3.712756608277995E-6,0.293
46 , 9.698262135458003E-9,0.293
47 , 0.0021905011669959354,0.295
48 , 9.863673214373729E-9,0.295
49 , 1.0791547274048853E-4,0.296
50 , 1.5748251162386705E-8,0.296
51 , 3.2613618638196144E-9,0.297
52 , 3.5472776722956486E-6,0.297
53 , 3.205997180321519E-5,0.298
54 , 1.7038519147253003E-5,0.298
55 , 1.220364191387944E-6,0.299
56 , 5.21861943366474E-6,0.3
57 , 0.0016072341591548164,0.3
58 , 2.162622192377324E-7,0.3
59 , 1.9898379537300424E-4,0.301
60 , 2.186684403121396E-4,0.301
61 , 3.7389305787185426E-4,0.302
62 , 0.0012393388495866625,0.302
63 , 0.0637888356949406,0.303
64 , 6.570780500473353E-5,0.303
65 , 2.005181929834406E-4,0.304
66 , 5.274316965906273E-4,0.305
67 , 7.068356036183402E-5,0.305
68 , 5.206824639496981E-4,0.306
69 , 0.0010789343760372768,0.306
70 , 2.784798464107182E-4,0.307
71 , 0.010975295357105785,0.307
72 , 2.222728511555804E-5,0.308
73 , 4.7203716370845843E-4,0.308
74 , 1.115945229653298E-4,0.309
75 , 3.11709712938757E-4,0.309
76 , 9.564262817197018E-6,0.31
77 , 0.019914856356293226,0.31
78 , 0.0010405213885783088,0.311
79 , 0.00358820819057503,0.311
80 , 0.04382249151503901,0.312
81 , 0.0010113125732376157,0.312
82 , 0.001329677137311503,0.313
83 , 0.2589145104786916,0.313
84 , 0.012701093400549892,0.314
85 , 0.008066367654970602,0.314
86 , 0.010944004333549952,0.314
87 , 0.004307278307363601,0.315
88 , 0.06466589697888407,0.315
89 , 0.040289515097405616,0.316
90 , 0.011274359489714494,0.316
91 , 0.05702573027792163,0.317
92 , 0.03528014879336923,0.317
93 , 0.0162093306145949,0.318
94 , 0.0038692590609572513,0.318
95 , 0.011666330677410842,0.319
96 , 0.010645651302188974,0.319
97 , 0.022522029394187973,0.32
98 , 0.00493947212664025,0.32
99 , 0.07643454529001122,0.321
100 , 0.28703179455357414,0.321
101 , 0.229135176726804,0.322
102 , 0.04726290448799658,0.323
103 , 0.01805037830254062,0.323
104 , 0.0071474980997384375,0.324
105 , 0.035301673507943866,0.324
106 , 0.023948704769279135,0.325
107 , 0.3508652744744328,0.325
108 , 0.056862658086011396,0.325
109 , 0.17390974984901075,0.326
110 , 0.09310096093857663,0.326
111 , 0.32403474266391974,0.327
112 , 0.40705050262080467,0.327
113 , 0.12982287031972306,0.327
114 , 0.2377546148864682,0.328
115 , 0.1250483849585177,0.328
116 , 0.10055665608882602,0.329
117 , 0.04248768633016881,0.329
118 , 0.11273791093602756,0.33
119 , 0.011119524650500385,0.33
120 , 0.18034946266918683,0.33
121 , 0.1938977509835038,0.331
122 , 0.18579976494686543,0.331
123 , 0.2816539647334459,0.332
124 , 0.31113108095062714,0.332
125 , 0.17417081809336,0.333
126 , 0.6008054107527514,0.333
127 , 0.41536312519436186,0.333
128 , 0.4077416231748434,0.334
129 , 0.13982207326348012,0.334
130 , 0.37842881001527945,0.335
131 , 0.20463748483483907,0.335
132 , 0.3169205127133963,0.336
133 , 0.44763878265409485,0.336
134 , 0.2126845066595211,0.338
135 , 0.22509154368623482,0.338
136 , 0.47420815233803093,0.339
137 , 0.24489371517103864,0.339
138 , 0.4269513207181949,0.34
139 , 0.8255800064088927,0.34
140 , 0.8620164002959225,0.34
141 , 0.7540485958105542,0.341
142 , 1.3294663227698476,0.341
143 , 0.15872554685396376,0.342
144 , 4.21194960104467,0.342
145 , 0.4215659491836982,0.343
146 , 0.35225850340161646,0.343
147 , 0.12861768782716168,0.344
148 , 0.4077805516283741,0.344
149 , 1.1680495701788316,0.344
150 , 0.7147328303074872,0.345
151 , 0.5081327799494428,0.345
152 , 0.6641752545805246,0.346
153 , 0.9055506728680397,0.346
154 , 0.543597873880696,0.347
155 , 0.30629301757396105,0.347
156 , 0.6102366074631822,0.348
157 , 0.49307051607849695,0.348
158 , 0.27678293126279574,0.349
159 , 0.7168400897797247,0.349
160 , 0.6985289752726386,0.349
161 , 0.3462481658376864,0.35
162 , 0.9074432605221706,0.35
163 , 0.6978386877024091,0.351
164 , 1.1313836675561149,0.351
165 , 0.6238081231037713,0.351
166 , 0.9522711186565662,0.352
167 , 1.3490844892252003,0.352
168 , 0.742972096014194,0.353
169 , 1.5921910529202732,0.353
170 , 1.0074149941782797,0.354
171 , 1.9977741986819109,0.354
172 , 1.8877505198199083,0.354
173 , 1.060608831101896,0.355
174 , 2.5094254726668086,0.355
175 , 3.8274518087821674,0.356
176 , 1.2031274433710462,0.356
177 , 1.0775192259235309,0.356
178 , 1.7011018554374469,0.357
179 , 1.731690345656256,0.357
180 , 1.3189584383627773,0.357
181 , 2.5664698704745286,0.358
182 , 1.3890152594252512,0.358
183 , 2.051303826609016,0.359
184 , 1.6174942326097201,0.359
185 , 1.9251761085535635,0.359
186 , 2.2597097019626076,0.36
187 , 2.0608823165624153,0.36
188 , 1.5558405283798664,0.36
189 , 2.6463230513663776,0.361
190 , 2.797390480872555,0.361
191 , 1.4902566967734248,0.362
192 , 1.379268043011399,0.362
193 , 2.682153709690429,0.362
194 , 1.9217964178709899,0.363
195 , 1.3307407478710895,0.363
196 , 2.6100807137508397,0.363
197 , 2.2644957335234284,0.364
198 , 2.0509936555482438,0.364
199 , 2.4113134048199774,0.365
200 , 3.708326551761876,0.365
201 , 2.3295553171865038,0.365
202 , 3.3411479636162205,0.366
203 , 2.389702819703199,0.366
204 , 3.306733392998064,0.367
205 , 3.3921325074184807,0.367
206 , 2.828080738928362,0.367
207 , 2.356171306912286,0.368
208 , 2.61071666312251,0.368
209 , 2.5148862398983383,0.368
210 , 3.5225746483459606,0.369
211 , 3.0925729383375855,0.369
212 , 3.3826080636736098,0.369
213 , 2.991840010462953,0.37
214 , 3.2764742202830854,0.37
215 , 3.5252183741244063,0.37
216 , 2.607912742341585,0.371
217 , 5.146367887050508,0.371
218 , 3.5397872324409367,0.372
219 , 4.1171736649863355,0.372
220 , 3.0935659989428244,0.372
221 , 3.450013102774752,0.373
222 , 2.506808854554834,0.373
223 , 4.195773380021119,0.373
224 , 4.543943800875875,0.374
225 , 2.8995541627980383,0.374
226 , 3.9751079747280893,0.375
227 , 5.058308506830013,0.375
228 , 5.11544190238992,0.375
229 , 3.2108835503632394,0.376
230 , 4.364939074864397,0.376
231 , 5.325145871940036,0.376
232 , 4.717938263262099,0.377
233 , 3.3560661121867557,0.377
234 , 4.454825617125053,0.377
235 , 5.075106472205711,0.378
236 , 4.4230153444410245,0.378
237 , 3.580755031826148,0.378
238 , 4.7693713394608235,0.379
239 , 3.0908992750223345,0.379
240 , 4.719033893368379,0.38
241 , 3.512496876494027,0.38
242 , 4.568183157836929,0.38
243 , 4.961218602799661,0.381
244 , 4.664386600092762,0.381
245 , 3.7498024878399954,0.381
246 , 5.7532951016596705,0.382
247 , 5.3588178048201565,0.382
248 , 3.696991869549136,0.382
249 , 5.058561697869931,0.383
250 , 4.292904646595218,0.383
251 , 3.8876692474400705,0.383
252 , 5.151506671575516,0.384
253 , 5.504975390409969,0.384
254 , 4.455607614132795,0.385
255 , 5.201288809663033,0.385
256 , 4.956476265303884,0.385
257 , 4.471532190136079,0.386
258 , 6.221726804760036,0.386
