generations , best_fitness , time_elapsed
1 , 0.0,0.066
2 , 3.814853196103037E-12,0.07
3 , 8.131257067381576E-35,0.082
4 , 7.334406971411292E-5,0.083
5 , 2.680265122655157E-13,0.084
6 , 2.0157760037723642E-8,0.085
7 , 1.2383629401669541E-6,0.086
8 , 2.9057571363162345E-8,0.087
9 , 1.0525365383655378E-6,0.087
10 , 1.6849903016534618E-38,0.088
11 , 2.3796741887694135E-13,0.089
12 , 2.360872457575937E-12,0.09
13 , 3.6128367335834037E-9,0.09
14 , 1.0486177668208242E-18,0.091
15 , 0.002577090393122981,0.092
16 , 4.4353162955083477E-10,0.093
17 , 5.634681065887988E-9,0.094
18 , 2.8158205102215906E-7,0.095
19 , 1.8694521478304963E-4,0.096
20 , 1.9874751827283072E-12,0.096
21 , 1.0591268129342244E-6,0.097
22 , 5.4197754500016493E-8,0.098
23 , 2.4253073742822486E-8,0.098
24 , 1.448389279438045E-8,0.099
25 , 9.11986729145267E-9,0.1
26 , 3.6968330599518053E-7,0.1
27 , 3.211504784870586E-8,0.101
28 , 2.826945037978928E-5,0.101
29 , 2.4868977862749686E-7,0.102
30 , 1.840981312588774E-9,0.103
31 , 1.8750677490539058E-4,0.103
32 , 6.358369847714514E-7,0.104
33 , 2.044187128275118E-5,0.105
34 , 0.0019457886608572755,0.105
35 , 6.67856916054596E-6,0.106
36 , 7.079317263362963E-5,0.106
37 , 0.004603456659256966,0.107
38 , 0.0012827048872473658,0.107
39 , 2.3438868193901606E-6,0.108
40 , 0.017271372212512896,0.109
41 , 0.004432805218302666,0.109
42 , 0.13980416792229683,0.11
43 , 0.001331122893844756,0.11
44 , 0.003135022514323543,0.111
45 , 0.06489865884605286,0.111
46 , 0.017447703890945226,0.112
47 , 0.20535233634649538,0.112
48 , 5.442469372500677E-4,0.113
49 , 0.006607967895736099,0.113
50 , 0.001775187559240642,0.114
51 , 0.008966180268191369,0.114
52 , 0.014364679991253225,0.115
53 , 0.017666698975186336,0.115
54 , 0.01653750412660307,0.116
55 , 0.006626655292467136,0.116
56 , 0.014628489475543146,0.117
57 , 0.009109468933359009,0.117
58 , 0.06912021883367118,0.118
59 , 0.0756450134687852,0.118
60 , 0.007021557466396539,0.119
61 , 0.10549270961577546,0.119
62 , 0.06689102399775797,0.12
63 , 0.02754757893449351,0.12
64 , 0.08035571756753847,0.121
65 , 0.0075235987468904,0.133
66 , 0.06942132608617659,0.134
67 , 0.0121815137934406,0.135
68 , 0.14815295140232643,0.135
69 , 0.06388764063474471,0.136
70 , 0.024112339536855428,0.136
71 , 0.019447395091181152,0.137
72 , 0.10159273052103257,0.137
73 , 0.026166753588802327,0.138
74 , 0.09794877980785711,0.145
75 , 0.02239223989681106,0.146
76 , 0.07777159988327358,0.146
77 , 0.43060882511640175,0.147
78 , 0.058672948014773726,0.148
79 , 0.12374876520999578,0.148
80 , 0.07021736206939289,0.149
81 , 0.015856898031251655,0.15
82 , 0.03606122626206897,0.15
83 , 0.1660280515689497,0.151
84 , 0.04220226214308758,0.151
85 , 0.08899380191833824,0.152
86 , 0.04496298784627408,0.152
87 , 0.10464826853841876,0.153
88 , 0.11675630111992669,0.154
89 , 0.02972660125855286,0.154
90 , 0.11996631017717985,0.155
91 , 0.7016638099973604,0.156
92 , 0.05457686911845918,0.156
93 , 0.10159339108281207,0.157
94 , 0.15698060240564093,0.157
95 , 0.12958219187287648,0.158
96 , 0.29252775378480195,0.159
97 , 0.08979415765242733,0.159
98 , 0.30055866493729994,0.16
99 , 0.08916112605187637,0.16
100 , 0.0727422670908053,0.161
101 , 0.03342765246541784,0.162
102 , 0.1682668589244688,0.163
