generations , best_fitness , time_elapsed
1 , 0.0,0.065
2 , 0.0,0.067
3 , 4.079726585028403E-6,0.068
4 , 6.39314953025057E-18,0.069
5 , 1.0516878569850714E-6,0.07
6 , 5.4238903344922294E-11,0.071
7 , 0.0026194880506430537,0.071
8 , 1.4479923650970267E-21,0.072
9 , 3.906043595411363E-9,0.073
10 , 6.543176220065759E-8,0.074
11 , 4.128100315918148E-15,0.074
12 , 3.956398922846825E-6,0.075
13 , 8.06612150243776E-12,0.076
14 , 3.209104651138848E-6,0.077
15 , 0.0031179485322400417,0.077
16 , 8.429018292942984E-8,0.078
17 , 5.047095106818689E-19,0.079
18 , 8.764974966309582E-8,0.079
19 , 3.791915683280456E-7,0.08
20 , 0.0,0.081
21 , 3.829591410265998E-5,0.081
22 , 3.399277503589728E-4,0.082
23 , 3.7579508739220944E-8,0.083
24 , 1.1744642733912058E-7,0.083
25 , 3.8544685822047104E-8,0.084
26 , 1.741227200049525E-5,0.085
27 , 1.0742878053282448E-19,0.085
28 , 9.397824662808138E-9,0.086
29 , 5.07378594117633E-4,0.087
30 , 4.979140140495443E-6,0.087
31 , 6.668802669548054E-7,0.088
32 , 9.186727014008422E-5,0.088
33 , 1.1280826476353543E-4,0.089
34 , 1.962208796839039E-4,0.089
35 , 9.77203423174364E-10,0.09
36 , 1.3795450905571125E-7,0.091
37 , 0.010743100303079135,0.091
38 , 0.00818126126392233,0.092
39 , 1.9683731684367257E-6,0.092
40 , 2.574907221970501E-7,0.093
41 , 4.433204875164739E-7,0.094
42 , 3.078598965506375E-4,0.094
43 , 0.021491392027041027,0.095
44 , 0.005405460792468383,0.095
45 , 5.009687128857644E-4,0.096
46 , 0.0016017709326331508,0.097
47 , 1.427559001530908E-4,0.097
48 , 5.5768909260307365E-6,0.098
49 , 0.1189342143665175,0.099
50 , 1.2562450156118725E-6,0.099
51 , 0.06291448651009632,0.1
52 , 0.014057286507241029,0.1
53 , 0.048595348257720744,0.101
54 , 0.0032615281040144187,0.102
55 , 0.0012630793445592048,0.102
56 , 0.01185115387779303,0.104
57 , 0.025823358756874117,0.105
58 , 0.0046240313006949965,0.105
59 , 9.170307896644637E-4,0.106
60 , 0.0012994554881902076,0.106
61 , 0.007785619661319415,0.107
62 , 0.012161863324842658,0.107
63 , 0.01591853368775447,0.108
64 , 0.007571504574178135,0.109
65 , 0.015522068693746371,0.109
66 , 0.00665065149137534,0.11
67 , 2.695694474272247E-4,0.11
68 , 0.006259273160992762,0.111
69 , 0.1412286690098504,0.112
70 , 0.02741551896216587,0.112
71 , 0.2546964316225591,0.113
72 , 0.1638905297004281,0.113
73 , 0.04287618872060289,0.114
74 , 0.02098309801965608,0.114
75 , 0.029387064941543885,0.115
76 , 0.19582218506543556,0.115
77 , 0.025366035419698188,0.116
78 , 0.20561289094264565,0.116
79 , 0.641807286389915,0.117
80 , 0.26544751346041184,0.117
81 , 0.016726598381229245,0.118
82 , 0.11758886695681564,0.118
83 , 0.009523655675931645,0.119
84 , 0.2841743620346646,0.119
85 , 0.11849761472419744,0.12
86 , 0.014978399096721225,0.12
87 , 0.05271283888410559,0.121
88 , 0.11304254798683921,0.121
89 , 0.04590581595301238,0.122
90 , 0.04161384274101826,0.122
91 , 0.6078836575610327,0.123
92 , 0.1676484269467567,0.123
93 , 0.534708646992445,0.124
94 , 0.8760286752434561,0.124
95 , 0.011933770202502324,0.125
96 , 0.345107734101929,0.125
97 , 0.16915436504979023,0.126
98 , 0.25957562260844536,0.126
99 , 0.10821412446151188,0.127
100 , 0.09563114332563999,0.127
101 , 0.2384090937430289,0.128
102 , 0.5467593597928677,0.128
103 , 0.7073059874740789,0.129
104 , 0.28472216492456476,0.13
105 , 0.6050928440537975,0.13
106 , 0.5411420113422047,0.131
107 , 0.7077277462564822,0.131
108 , 0.2546328216878333,0.131
109 , 0.2803386241369198,0.132
110 , 0.25211473027163855,0.132
111 , 0.6082571677511933,0.133
112 , 0.481641097127459,0.133
113 , 0.6212525967257538,0.134
114 , 0.41372736627724116,0.134
115 , 0.2674615662210804,0.134
116 , 2.1902781657318235,0.135
117 , 0.435822518441466,0.135
118 , 0.6228746058794585,0.136
119 , 0.5414431672956337,0.136
120 , 0.751528810784859,0.136
121 , 0.7745713177641916,0.137
122 , 0.5561956351730205,0.137
123 , 1.2907296073235712,0.137
124 , 0.6383742695897076,0.138
125 , 0.37909105463914494,0.138
126 , 1.4881281502611667,0.139
127 , 1.5223176651104684,0.139
128 , 1.304327243450432,0.139
129 , 1.4325045435852466,0.14
130 , 1.522797117183988,0.14
131 , 0.7993001290310126,0.141
132 , 0.47898013652022553,0.141
133 , 0.506508015051209,0.141
134 , 2.6485879839683806,0.142
135 , 0.8051232868104158,0.142
136 , 1.6247351475000955,0.143
137 , 1.449267883342655,0.143
138 , 1.1513123138296986,0.144
139 , 2.602118308346073,0.144
140 , 1.1926525184302974,0.144
141 , 1.7955556276179252,0.145
142 , 3.3470629932205194,0.145
143 , 1.3430214152999569,0.146
144 , 1.433942128642628,0.146
145 , 1.0677727814598457,0.146
146 , 1.3008904791072817,0.147
147 , 2.372498161769622,0.147
148 , 0.9731614771278283,0.148
149 , 0.7641221506314957,0.148
150 , 1.2916661424649218,0.148
151 , 1.386850843773992,0.149
152 , 1.4993967726235777,0.149
153 , 1.5516611197349812,0.15
154 , 1.9287395038767992,0.15
155 , 1.0005009606076984,0.15
156 , 2.3707651154169445,0.151
157 , 1.7072375441091514,0.151
158 , 2.791173122238451,0.152
159 , 2.229651602679895,0.152
160 , 1.675956058086968,0.152
161 , 1.2968590023827686,0.153
162 , 0.8917532579475032,0.153
163 , 1.0178531383418057,0.154
164 , 1.4899827853002243,0.154
165 , 1.2991728220824714,0.154
166 , 0.9372323882735827,0.155
167 , 2.7468432860325054,0.155
168 , 1.9387124677169183,0.155
169 , 1.8311121724442687,0.156
170 , 0.895487693633569,0.156
171 , 2.6155481367758604,0.157
172 , 1.4280540804359962,0.157
173 , 1.3168547786261355,0.157
174 , 1.8945982964433974,0.158
175 , 1.4856272244786064,0.158
