generations , best_fitness , time_elapsed
1 , 0.0,0.057
2 , 5.284257720334632E-8,0.074
3 , 9.828123135304707E-7,0.075
4 , 4.5309256180158924E-9,0.087
5 , 6.785818257459054E-10,0.088
6 , 7.223034016747561E-9,0.089
7 , 4.574934848906505E-7,0.09
8 , 9.891398785495647E-7,0.091
9 , 1.288211606051351E-6,0.092
10 , 1.0895477698142459E-6,0.093
11 , 4.1205821821652566E-4,0.094
12 , 1.4314220480423575E-5,0.095
13 , 3.3620509137442765E-6,0.095
14 , 0.11744348429274301,0.096
15 , 1.2875407133276903E-4,0.097
16 , 3.5904021685028E-4,0.098
17 , 0.0017599477975542867,0.099
18 , 0.037938800762454206,0.099
19 , 1.677078382889314E-4,0.1
20 , 0.0010208015659114748,0.1
21 , 7.633574057487535E-4,0.101
22 , 0.0014824706644468552,0.102
23 , 0.008970565697422014,0.102
24 , 0.004352046595766637,0.103
25 , 0.0015215119547291216,0.103
26 , 0.04297020726426588,0.104
27 , 0.0020933593673745517,0.104
28 , 0.014571954220032999,0.105
29 , 0.0010027354056493989,0.105
30 , 0.0738832416243721,0.106
31 , 0.022961006491492984,0.106
32 , 0.00249871823722281,0.107
33 , 0.008396941702149288,0.107
34 , 0.04502369347824135,0.108
35 , 0.008813301998177134,0.108
36 , 0.025867640982597546,0.109
37 , 0.014868677794618554,0.109
38 , 0.015450922130605758,0.11
39 , 0.04275297943418348,0.111
40 , 0.033178287328072514,0.111
41 , 0.024377118675554945,0.112
42 , 0.1038672094069862,0.112
43 , 0.04154751118122356,0.113
44 , 0.10955364108418228,0.113
45 , 0.08865076376135263,0.113
46 , 0.06938314301818974,0.114
47 , 0.03676942642681098,0.115
48 , 0.2830792207983462,0.115
49 , 0.4946411942374941,0.116
50 , 0.18112787313463066,0.116
51 , 0.04007049618223757,0.117
52 , 0.28127971173667987,0.117
53 , 0.2352019713516944,0.118
54 , 0.3494341429664213,0.118
55 , 0.05827808509496088,0.119
56 , 0.13065866500819218,0.119
57 , 0.6913115472075986,0.121
58 , 0.3180786313351488,0.121
59 , 0.04590792758575156,0.122
60 , 0.1878292234123461,0.122
61 , 0.154006732507461,0.123
62 , 0.39490308290752335,0.123
63 , 0.45682622375380816,0.124
64 , 0.23988161256241264,0.13
65 , 0.07357805462818484,0.131
66 , 1.4472917048883533,0.131
67 , 0.15208864643018133,0.132
68 , 0.2531544272890451,0.132
69 , 0.37375675264998987,0.133
70 , 0.6358489687689548,0.133
71 , 0.9301353259905815,0.134
72 , 0.22669557011003655,0.134
73 , 0.5637924245058181,0.135
74 , 0.518715628504238,0.135
75 , 0.3073539471920843,0.136
76 , 0.6386580259668018,0.136
77 , 0.22995443025953854,0.137
78 , 0.24729670031984177,0.137
79 , 0.8022874792655481,0.138
80 , 0.5141174137113423,0.138
81 , 0.3849663081317864,0.139
82 , 0.2606873194687675,0.139
83 , 0.6562301102271594,0.14
84 , 0.4258907369944952,0.14
85 , 0.30636464463651036,0.14
86 , 0.35813175656739277,0.141
87 , 0.49381203968214926,0.142
88 , 1.0704878278706207,0.142
89 , 1.0999876104532502,0.143
90 , 0.8023297387909106,0.143
91 , 0.9466420374103124,0.144
92 , 0.9181209287499402,0.144
93 , 0.5833046636539272,0.145
94 , 0.5563019984181159,0.145
95 , 0.8565532253005368,0.146
96 , 0.664976629612225,0.146
97 , 1.004316258005858,0.147
98 , 0.48175316128039825,0.147
99 , 1.6370785242072419,0.148
100 , 2.495942558625955,0.148
101 , 1.20160696286261,0.149
102 , 1.7482422900406658,0.149
103 , 1.1333624179185924,0.15
104 , 1.5763735749882266,0.15
105 , 3.2270677263588308,0.151
106 , 1.7374519555142949,0.152
107 , 1.9505401407024927,0.152
108 , 1.4201832136001433,0.153
109 , 2.66441185823938,0.153
110 , 1.3656677129450867,0.154
111 , 2.5658023741522396,0.154
112 , 3.579630693609192,0.154
113 , 1.800298822399227,0.155
114 , 1.8889403573266603,0.155
115 , 1.619895519274479,0.156
116 , 2.2353977937796197,0.156
117 , 2.1341249371069555,0.157
118 , 2.0910251223468754,0.157
119 , 2.588272328094436,0.158
120 , 1.9318372872506842,0.158
121 , 2.4301610097285846,0.159
122 , 2.263873681590002,0.159
123 , 2.015316014615141,0.159
124 , 3.4348211776539816,0.16
125 , 1.7346496007405119,0.16
126 , 1.7409338654114008,0.161
127 , 3.832520778360946,0.161
128 , 3.3082560905437832,0.162
129 , 1.8573920634375087,0.162
130 , 2.121891790512057,0.163
131 , 1.5668499682003252,0.163
132 , 3.0679569795357002,0.164
133 , 3.0738974950209004,0.164
134 , 2.6726421769858155,0.165
135 , 2.4470804146612126,0.165
136 , 2.476436852347657,0.166
137 , 3.210325617766042,0.166
138 , 1.5670372539027473,0.167
139 , 2.431889674037459,0.167
140 , 2.1278689462513953,0.167
141 , 3.187904918658422,0.168
142 , 2.353225912178641,0.168
143 , 2.4621337847134503,0.169
144 , 3.899613117184884,0.169
145 , 3.4417506638272535,0.17
146 , 2.2751522169442486,0.17
147 , 1.8368875908947384,0.171
148 , 4.136701773796662,0.171
149 , 3.0311498905442225,0.187
150 , 2.3812335165364655,0.187
151 , 2.396872767160961,0.187
152 , 2.838860372060952,0.188
153 , 3.73497002601557,0.188
154 , 2.2543804905302367,0.189
155 , 2.3142813421024604,0.189
156 , 1.7701636117402781,0.19
157 , 4.608179628177024,0.19
158 , 3.120825123392578,0.19
159 , 2.677115244830539,0.191
160 , 3.1471346611603455,0.191
161 , 2.355038200126221,0.192
162 , 4.1579464460437645,0.192
163 , 2.924410107465893,0.192
164 , 3.4003680658715894,0.193
165 , 2.954354829071461,0.193
166 , 3.8959962326758575,0.193
167 , 3.3373587122643684,0.194
168 , 3.1714924091348755,0.194
169 , 2.812512522795826,0.195
170 , 2.9390406784253202,0.195
171 , 2.462040483449276,0.201
172 , 4.0515918856906366,0.206
173 , 3.1483168211454333,0.217
174 , 3.6158773204702395,0.217
175 , 3.4354206837913353,0.218
176 , 3.9381235872519156,0.218
177 , 2.87940351862096,0.219
178 , 3.4705217523172744,0.219
179 , 3.299033099333455,0.219
180 , 3.0633600126942944,0.22
