generations , best_fitness , time_elapsed
1 , 0.0,0.264
2 , 4.656883534291917E-10,0.267
3 , 0.0,0.267
4 , 3.8323187587997367E-20,0.268
5 , 1.631034306749046E-11,0.269
6 , 0.0,0.27
7 , 3.985926721580426E-16,0.27
8 , 0.0,0.271
9 , 5.1937735054475375E-27,0.272
10 , 0.0,0.272
11 , 0.0,0.273
12 , 3.254844425359262E-14,0.274
13 , 1.340604127807184E-7,0.274
14 , 9.959271484168868E-12,0.275
15 , 1.8092819886482024E-21,0.276
16 , 5.426000523110428E-58,0.276
17 , 1.310367544045143E-12,0.277
18 , 5.263862765681921E-14,0.277
19 , 0.0,0.278
20 , 3.5806585473586844E-9,0.278
21 , 0.0,0.279
22 , 2.7401837657470545E-14,0.279
23 , 2.8145979705575E-9,0.28
24 , 0.0,0.28
25 , 7.93036111625042E-5,0.281
26 , 0.0,0.282
27 , 3.443352714567539E-8,0.282
28 , 1.183952342345257E-5,0.283
29 , 0.0,0.283
30 , 1.371550005904838E-15,0.284
31 , 0.0,0.284
32 , 5.261335002719959E-14,0.285
33 , 0.0,0.285
34 , 0.0,0.286
35 , 2.0511467576924986E-17,0.286
36 , 2.2119641234374184E-12,0.287
37 , 7.919232451283516E-7,0.287
38 , 8.651608688159025E-14,0.288
39 , 5.455511782262491E-11,0.288
40 , 9.736030575960309E-7,0.289
41 , 0.0,0.289
42 , 1.0562612373550429E-11,0.29
43 , 4.889357289722977E-14,0.29
44 , 9.659570939567661E-5,0.291
45 , 1.6496044070529583E-37,0.292
46 , 1.603806057240967E-23,0.293
47 , 0.0,0.294
48 , 2.5876585682165077E-11,0.294
49 , 0.0,0.295
50 , 9.428833265183734E-6,0.295
51 , 1.6686425942435387E-4,0.296
52 , 6.79958499631675E-8,0.296
53 , 0.0,0.297
54 , 1.2110172393336007E-10,0.297
55 , 7.598331287544166E-4,0.298
56 , 1.2938143276472855E-8,0.298
57 , 2.5346703467668094E-5,0.298
58 , 6.259733543099425E-4,0.299
59 , 0.008026399772645715,0.3
60 , 5.7318632513007407E-5,0.3
61 , 1.9814972829778845E-4,0.301
62 , 8.423192025332119E-7,0.301
63 , 5.826656202776826E-10,0.302
64 , 8.409325478519591E-7,0.302
65 , 1.2874948459169781E-9,0.303
66 , 1.6619328825170213E-4,0.303
67 , 0.0010497158252502812,0.304
68 , 8.354281895797357E-9,0.304
69 , 0.0042888804536785185,0.305
70 , 0.001779030811197646,0.305
71 , 7.48407582188355E-4,0.306
72 , 2.5326597245978275E-4,0.306
73 , 2.2388349431176619E-4,0.307
74 , 2.5905489442728624E-4,0.307
75 , 0.003302645739881181,0.308
76 , 0.0015256144612874755,0.308
77 , 4.1851090417332657E-4,0.309
78 , 3.1423056091286924E-4,0.309
79 , 1.0035694365454955E-4,0.31
80 , 0.0010660126087152205,0.31
81 , 0.005381608777526551,0.311
82 , 0.01791187580497927,0.311
83 , 0.022541682954584176,0.312
84 , 0.010512313161867452,0.312
85 , 0.027637730484324205,0.313
86 , 2.291681699195748E-4,0.313
87 , 0.0016945558108243308,0.314
88 , 0.017094952954747687,0.314
89 , 0.032875208834683756,0.315
90 , 5.859124891455002E-4,0.315
91 , 0.00861831070361375,0.316
92 , 0.060684276445221,0.316
93 , 0.16621038784845255,0.317
94 , 0.020655533311941757,0.317
95 , 0.15561239288767778,0.318
96 , 0.03272588266822704,0.318
97 , 0.20597853290891638,0.319
98 , 0.07262232626865797,0.319
99 , 0.04058336890454276,0.32
100 , 0.12171709648145969,0.32
101 , 0.05616325520653766,0.321
102 , 0.023425127492466228,0.321
103 , 0.4111809721361823,0.322
104 , 0.17956174531370608,0.323
105 , 0.0727558373310193,0.323
106 , 0.0203698243009297,0.323
107 , 0.27537195654995267,0.324
108 , 0.4986792099581549,0.324
109 , 0.38769636790004425,0.325
110 , 0.37937911163087595,0.325
111 , 0.16472476713721287,0.325
112 , 0.22669529750485046,0.326
113 , 0.09196754733862929,0.326
114 , 0.047799677902753926,0.327
115 , 0.3249128554790684,0.327
116 , 0.17190827716178014,0.327
117 , 0.07212434481346969,0.328
118 , 0.5946956480419784,0.328
119 , 0.2259861890417755,0.329
120 , 0.23343530825316847,0.329
121 , 0.4464350561020585,0.329
122 , 0.09471858599264982,0.33
123 , 1.4106962408124017,0.33
124 , 0.18652597294340958,0.331
125 , 0.13821913907417932,0.331
126 , 0.10153343862699436,0.331
127 , 0.4413127868078349,0.332
128 , 0.15931387506076367,0.332
129 , 1.0747511695632492,0.333
130 , 0.5704542339090278,0.333
131 , 0.4527037561641833,0.333
132 , 0.3282640840733553,0.334
133 , 0.28162573667545626,0.334
134 , 0.47098306993903527,0.335
135 , 0.7290623328142319,0.335
136 , 0.4538628181720277,0.336
137 , 0.17083398463176583,0.337
138 , 1.1175554997867645,0.338
139 , 0.7149770946635657,0.338
140 , 1.0094725634374186,0.338
141 , 0.8054661197823731,0.339
142 , 1.6050221590181082,0.339
143 , 0.9520526375757944,0.34
144 , 0.844972740044353,0.34
145 , 1.0433688842127113,0.34
146 , 0.9209502824098357,0.341
147 , 0.4935300294701047,0.341
148 , 0.7727870330812227,0.342
149 , 1.5309763414611108,0.342
150 , 0.9379229832161176,0.342
151 , 0.48100231310297636,0.343
152 , 1.0519522599783486,0.343
153 , 0.6874616638579156,0.344
154 , 2.661747306141508,0.344
155 , 2.3063807906407985,0.345
156 , 1.2423298848732423,0.345
157 , 3.0976477233089805,0.345
158 , 1.577353572264375,0.346
159 , 0.6053666614602237,0.346
160 , 1.1296521229870073,0.347
161 , 1.0221422022503377,0.347
162 , 0.9236347655119076,0.347
163 , 1.3174469900792354,0.348
164 , 1.8978749745090373,0.348
165 , 2.403754622395854,0.348
166 , 1.958636046420926,0.349
167 , 1.386202344486114,0.349
168 , 1.911255031973449,0.35
169 , 3.055745408476814,0.35
170 , 1.1631123537087282,0.35
171 , 1.680933946717683,0.351
172 , 1.9501368752399437,0.351
173 , 1.2239957456870554,0.351
174 , 1.6445842640267048,0.352
175 , 0.9513561283490133,0.352
176 , 2.2859456167042036,0.353
177 , 1.9970392672333381,0.353
178 , 2.434890550837932,0.353
179 , 1.053741368779843,0.354
180 , 1.2248634120353383,0.354
181 , 1.8291110479416262,0.355
182 , 1.3423267666609164,0.355
183 , 1.18005804736144,0.355
184 , 1.4011116914511912,0.356
185 , 3.4056138846117663,0.356
186 , 2.517475922793557,0.356
187 , 1.275014638767866,0.357
188 , 3.0983403755202055,0.357
189 , 4.429751348869103,0.358
190 , 1.499785530920505,0.358
191 , 2.2012480117746382,0.358
192 , 3.3368437349169415,0.359
193 , 2.5027514175053738,0.359
194 , 3.0532564838100464,0.36
195 , 2.8966435905045835,0.36
196 , 2.263906046900936,0.36
197 , 2.1715206091593995,0.361
198 , 2.9207129147545126,0.361
199 , 2.138906635050713,0.362
200 , 2.388976880768214,0.362
201 , 2.6556269127487235,0.362
202 , 3.401241217206643,0.363
203 , 2.4431970251313793,0.363
204 , 3.589443790551164,0.363
205 , 3.185568895714094,0.364
206 , 3.0896724665772974,0.364
207 , 4.233242048441258,0.364
208 , 4.155298991367972,0.365
209 , 3.3293214659594863,0.365
210 , 2.8965291253969845,0.366
211 , 2.3440453693295225,0.366
212 , 2.9654127497185656,0.366
213 , 4.391537935508753,0.367
214 , 2.9781491036907077,0.367
215 , 2.5628234116496538,0.367
216 , 2.478861703036518,0.368
217 , 2.7630347094234677,0.368
218 , 3.701940607041897,0.368
219 , 4.1181037035810055,0.369
220 , 2.93153476791374,0.369
221 , 3.9220693240239473,0.369
222 , 2.8867312120583173,0.37
223 , 3.9251698996376905,0.37
224 , 2.527211061602366,0.37
225 , 4.149679961257656,0.371
226 , 2.470009732851873,0.371
227 , 3.6889979383677884,0.372
228 , 3.7268496161284004,0.372
229 , 3.253408600487737,0.372
230 , 3.1812993980008453,0.373
231 , 3.992912919338461,0.373
232 , 4.6366838976332865,0.373
233 , 6.100440826843032,0.374
234 , 4.805751561459925,0.374
235 , 3.250170499855135,0.374
236 , 3.0268471191605633,0.375
237 , 4.450922382621046,0.375
238 , 3.9836147451559483,0.376
239 , 5.062675712801661,0.376
240 , 4.897507944238388,0.376
241 , 4.181756395270606,0.377
242 , 4.483014096799997,0.377
243 , 6.431084613557028,0.377
244 , 5.3109118125079515,0.378
245 , 4.891212820126276,0.378
246 , 4.168561586601828,0.378
247 , 4.831477692945912,0.379
248 , 6.274306914218782,0.379
249 , 6.554611778682319,0.38
250 , 5.173324032847361,0.38
251 , 6.117983200162636,0.38
252 , 4.930887919814822,0.381
253 , 5.879197196354749,0.381
254 , 5.184841062517684,0.381
255 , 4.498742887182568,0.382
256 , 6.646478190135183,0.382
257 , 5.434030834849894,0.383
258 , 6.7037841241550495,0.383
259 , 5.555742859525427,0.383
260 , 6.243385831844557,0.384
