generations , best_fitness , time_elapsed
1 , 0.0,0.06
2 , 1.0876142747040574E-15,0.062
3 , 1.5327133763953069E-6,0.074
4 , 4.5271194936806486E-8,0.075
5 , 4.2377257942855944E-43,0.076
6 , 3.987488944844052E-14,0.076
7 , 1.039877481296874E-4,0.077
8 , 2.8501116913705585E-9,0.078
9 , 1.3699440497635412E-7,0.079
10 , 2.8268742907214848E-9,0.079
11 , 8.03889934886802E-6,0.08
12 , 7.25033811678567E-5,0.081
13 , 4.159920825265704E-40,0.081
14 , 2.2095119889780244E-4,0.082
15 , 0.028634861407610263,0.083
16 , 3.3876304848150503E-6,0.083
17 , 8.186981752176538E-5,0.084
18 , 1.0013164337310844E-4,0.085
19 , 2.8058449129826164E-6,0.085
20 , 0.004226304440413175,0.086
21 , 2.0814899328149725E-6,0.087
22 , 7.445010058559249E-4,0.087
23 , 6.039321885773776E-4,0.088
24 , 0.005501137342323412,0.088
25 , 0.0011228593110124158,0.089
26 , 4.35571115950994E-5,0.089
27 , 0.005624664265991256,0.09
28 , 7.098000598861926E-4,0.09
29 , 0.006162097297159869,0.091
30 , 0.0026256198669599344,0.091
31 , 2.504132280156408E-4,0.092
32 , 0.02493583186380986,0.092
33 , 0.0012701229057100261,0.093
34 , 3.416422145455472E-4,0.093
35 , 7.276860932381212E-4,0.094
36 , 0.018406879495804284,0.094
37 , 7.365134080603595E-4,0.095
38 , 0.004007174914972177,0.095
39 , 0.005260817565683656,0.096
40 , 0.051915601180687894,0.096
41 , 0.0020046840020766514,0.097
42 , 0.11707858407368475,0.097
43 , 0.006992425735746215,0.098
44 , 0.002388061971550837,0.098
45 , 4.5608804936285934E-4,0.099
46 , 0.10163007199540533,0.099
47 , 0.012165286960458656,0.1
48 , 0.0106681900172708,0.1
49 , 0.0143266189340636,0.101
50 , 0.03036746962550215,0.101
51 , 0.0115218719868433,0.102
52 , 0.0014639889455752297,0.102
53 , 0.1436687201048686,0.103
54 , 0.09237774844665442,0.103
55 , 0.015605909589055694,0.104
56 , 0.07600967891016998,0.104
57 , 0.03122870400721975,0.105
58 , 0.2848837673224536,0.105
59 , 0.026283515646074805,0.107
60 , 0.2015012700996953,0.107
61 , 0.13341450224143772,0.108
62 , 0.19237919542225704,0.108
63 , 0.033794107246791896,0.115
64 , 0.026067325375777124,0.12
65 , 0.6136829696502484,0.121
66 , 0.1216634526883355,0.121
67 , 0.056290313878040454,0.122
68 , 0.20209791352396797,0.122
69 , 0.33483246141958917,0.123
70 , 0.042149706845404825,0.123
71 , 0.036860774667833406,0.124
72 , 0.1275758908273879,0.124
73 , 0.32404868884651855,0.125
74 , 0.0815446230944686,0.125
75 , 0.1567173655839099,0.126
76 , 0.24526554644468174,0.127
77 , 1.0465695267046153,0.127
78 , 0.4051074586750125,0.128
79 , 0.1951337802607377,0.128
80 , 0.4008102873509858,0.129
81 , 0.17138587615182954,0.129
82 , 0.3745918655770637,0.13
83 , 0.16168543466741242,0.13
84 , 0.5820977249194946,0.131
85 , 0.2819792049334488,0.131
86 , 1.0501759088116733,0.138
87 , 0.10658025958613294,0.138
88 , 1.008831610947357,0.139
89 , 0.7983241553598264,0.139
90 , 0.7368040693448841,0.14
91 , 0.6662295004581097,0.14
92 , 0.7352677563630571,0.141
93 , 0.3350636259678672,0.141
94 , 0.7274673473038075,0.142
95 , 0.7335661887009249,0.142
96 , 1.1636652521826296,0.143
97 , 1.3811368143798082,0.143
98 , 0.6291333856931015,0.144
99 , 0.8432637540330918,0.144
100 , 1.9709269218797167,0.145
101 , 1.4215820011639613,0.145
102 , 0.6062890536566083,0.146
103 , 0.4804499237407714,0.146
104 , 1.980358334006766,0.147
105 , 1.0227846153804845,0.147
106 , 1.7229377920171685,0.148
107 , 0.5494827805962009,0.148
108 , 1.2265575410946694,0.149
109 , 1.1690957641601702,0.149
110 , 2.9427598762780036,0.15
111 , 2.3848040599061013,0.15
112 , 1.4549038789519877,0.15
113 , 2.0822712876640055,0.151
114 , 1.9306850201548587,0.151
115 , 2.01148760198028,0.152
116 , 1.1458391678104876,0.152
117 , 1.4451296481820608,0.153
118 , 1.804933243678435,0.153
119 , 1.4912133285065574,0.154
120 , 2.0510283692770317,0.154
121 , 1.3597191761425305,0.155
122 , 1.4606502043561709,0.155
123 , 1.1574387391618906,0.155
124 , 1.363119501768709,0.156
125 , 1.8168923052997952,0.156
126 , 1.028254604040124,0.157
127 , 3.0288297801610535,0.157
128 , 0.8984959185152314,0.158
129 , 1.103514595055489,0.158
130 , 3.011705192414506,0.159
131 , 3.3161031275687347,0.159
132 , 2.3190833234501467,0.159
