generations , best_fitness , time_elapsed
1 , 0.0,0.057
2 , 1.3247246845063977E-7,0.072
3 , 1.7053728434894805E-6,0.074
4 , 2.608697136071056E-9,0.087
5 , 2.5782410332699365E-6,0.089
6 , 1.0794398033153072E-7,0.09
7 , 1.2951114785748374E-5,0.091
8 , 1.3288504466982852E-6,0.092
9 , 8.111425005621141E-7,0.094
10 , 2.241194527355167E-6,0.095
11 , 3.4595341723564745E-5,0.095
12 , 9.296919678957067E-5,0.096
13 , 6.34630998509315E-6,0.097
14 , 1.920750206168583E-4,0.098
15 , 0.04715247965096099,0.099
16 , 0.001957327478036674,0.099
17 , 5.46163229508441E-4,0.1
18 , 0.004007668748643819,0.101
19 , 0.008447680697809982,0.101
20 , 0.0020246846383806002,0.102
21 , 0.0024303275019592605,0.103
22 , 0.018481287665728697,0.104
23 , 0.03205860432521265,0.104
24 , 0.00845621130328655,0.105
25 , 0.00886904977872896,0.106
26 , 0.18481158082836877,0.107
27 , 0.002485919931892902,0.108
28 , 0.010973469290690478,0.108
29 , 0.016536278993430808,0.109
30 , 0.00590383960746275,0.109
31 , 0.007732861341791044,0.11
32 , 0.021028579447532367,0.11
33 , 0.024301010341516962,0.111
34 , 0.01993036802426755,0.111
35 , 0.03556978631977737,0.112
36 , 0.0904067900565603,0.112
37 , 0.036908528636831674,0.113
38 , 0.0430376936345252,0.113
39 , 0.28597873708855837,0.114
40 , 0.27504247717889196,0.114
41 , 0.2340508162132991,0.115
42 , 0.0809137537723959,0.115
43 , 0.06139486114630148,0.116
44 , 0.16899260846750278,0.116
45 , 0.09037784348869828,0.117
46 , 0.045262493997290966,0.117
47 , 0.05539984992562739,0.118
48 , 0.17228244896518702,0.118
49 , 0.2950032592260594,0.119
50 , 0.09751999059360222,0.119
51 , 0.26812384353056545,0.12
52 , 0.14038684274064847,0.12
53 , 0.134794556176082,0.121
54 , 0.07114255502571899,0.121
55 , 0.1183868611550337,0.122
56 , 0.24395085016837084,0.122
57 , 0.22911504858327267,0.124
58 , 1.362569616493578,0.124
59 , 0.03934254243129792,0.125
60 , 0.4075210042736045,0.125
61 , 0.20078368642114186,0.126
62 , 0.24792248590030985,0.126
63 , 0.10125244906539393,0.127
64 , 0.4198459414210068,0.127
65 , 0.4781101797801126,0.128
66 , 0.22763710027889678,0.128
67 , 1.5456934984772093,0.129
68 , 0.09157989681818024,0.129
69 , 0.23041018465432175,0.13
70 , 0.431113903253756,0.13
71 , 0.6954474370993067,0.131
72 , 0.6713065955497423,0.131
73 , 0.658944685759473,0.132
74 , 0.30855666120759423,0.132
75 , 0.5728553086312527,0.139
76 , 0.6949064662253458,0.139
77 , 1.1318321700120306,0.14
78 , 0.5633353503877888,0.14
79 , 0.7395748040696905,0.141
80 , 0.5092703279499154,0.141
81 , 0.35962757117587374,0.142
82 , 1.3784693220383237,0.143
83 , 1.3865537391189235,0.143
84 , 0.6829067664713948,0.144
85 , 0.5828547624800405,0.144
86 , 0.8287438990595482,0.145
87 , 0.7969860196688604,0.145
88 , 2.5093766672740725,0.146
89 , 1.4048363660848606,0.147
90 , 2.5361575134932797,0.147
91 , 1.3021594507805132,0.148
92 , 1.3544481286090786,0.148
93 , 1.1990191731201136,0.149
94 , 0.5985510263309657,0.149
95 , 0.8008626225089571,0.149
96 , 1.543123449712618,0.15
97 , 1.4402146314505013,0.15
98 , 0.7550704361819821,0.151
99 , 1.2677254392931734,0.151
100 , 1.2892413677871293,0.152
101 , 2.6371073831813248,0.152
102 , 2.760756894227451,0.153
103 , 1.074636781957147,0.153
104 , 1.9268588226000878,0.153
105 , 2.758517745219608,0.154
106 , 1.8608173120468159,0.154
107 , 1.758639261607735,0.155
108 , 0.5644305191843472,0.155
109 , 1.1177065395282546,0.156
110 , 1.170573117806374,0.156
111 , 1.0290882322138422,0.157
112 , 2.2608022893329154,0.157
113 , 3.6343592208200692,0.157
114 , 2.2372733488002887,0.158
115 , 1.0749930924713038,0.158
116 , 1.256395199989778,0.159
117 , 1.001045473225082,0.159
118 , 1.9279816193737767,0.16
119 , 1.829852440687886,0.16
120 , 1.2147152001861317,0.16
