generations , best_fitness , time_elapsed
1 , 0.0,0.059
2 , 1.6085676229968224E-5,0.074
3 , 1.3102877929029856E-11,0.077
4 , 2.3641404414321014E-15,0.078
5 , 1.7338589544921844E-9,0.08
6 , 2.4347928063812975E-18,0.082
7 , 9.442403759228245E-12,0.083
8 , 4.132042696727253E-8,0.085
9 , 1.2582257005674876E-5,0.087
10 , 1.3968916541710562E-7,0.089
11 , 8.288965217706608E-5,0.09
12 , 0.002686272419838071,0.092
13 , 2.9115989337539814E-5,0.094
14 , 6.729132429833826E-6,0.095
15 , 2.7285117832675593E-4,0.097
16 , 6.531812977351156E-4,0.099
17 , 1.574986643511957E-5,0.1
18 , 2.1458988328654308E-4,0.108
19 , 2.1887544564785107E-5,0.116
20 , 3.4380334291254916E-4,0.117
21 , 0.0027779887612015834,0.124
22 , 0.026962586289260432,0.126
23 , 1.272031084847381E-6,0.127
24 , 0.0031611589449294566,0.128
25 , 2.724720646927293E-4,0.13
26 , 0.006017607092767172,0.131
27 , 0.004852181956767252,0.132
28 , 0.005377561442120757,0.134
29 , 0.009589973669174525,0.135
30 , 0.012324555749400105,0.137
31 , 0.006780032845725617,0.138
32 , 0.0602881461562638,0.139
33 , 0.20385436491997722,0.141
34 , 0.0027453565287916225,0.142
35 , 0.03524166429630457,0.143
36 , 0.033692240667524874,0.144
37 , 0.06674875115538303,0.146
38 , 0.009756973084570998,0.147
39 , 0.031107747651732125,0.149
40 , 0.10409900588000537,0.15
41 , 0.14665766642038988,0.151
42 , 0.0758620443645793,0.153
43 , 0.73971588680197,0.154
44 , 0.034137735578251095,0.156
45 , 0.15526913678575582,0.157
46 , 0.2831747690705434,0.159
47 , 0.15805870472771402,0.16
48 , 0.49115868668187507,0.161
49 , 0.3937028239362688,0.163
50 , 0.613058406349553,0.165
51 , 0.4604787543777336,0.166
52 , 0.384760659720187,0.169
53 , 0.5359325796330022,0.171
54 , 0.8313622533863823,0.172
55 , 0.3732163453850347,0.173
56 , 0.443734482487022,0.175
57 , 0.4278056773824517,0.177
58 , 0.23932206660979852,0.18
59 , 0.4447229439929039,0.181
60 , 0.2520138593975797,0.183
61 , 0.3079497819931783,0.184
62 , 0.37264446818575375,0.185
63 , 0.1808623974592746,0.187
64 , 0.7150987419082284,0.188
65 , 1.184774599808036,0.189
66 , 0.5163565553046899,0.191
67 , 0.85691003190828,0.192
68 , 0.42578334035632487,0.193
69 , 0.49601694193863255,0.195
70 , 0.2852357942202944,0.196
71 , 0.7378567426442485,0.197
72 , 0.6645998498481629,0.199
73 , 0.40822124124111175,0.2
74 , 0.44579718374291444,0.202
75 , 1.2335601557312723,0.204
76 , 2.4883970839962806,0.205
77 , 0.7964643041644992,0.207
78 , 2.4787464793781138,0.209
79 , 1.3002686645891093,0.21
80 , 1.6834866473566596,0.211
81 , 1.4052131743115317,0.213
82 , 0.8407796821686614,0.215
83 , 1.9692707302243586,0.216
84 , 3.3012680255445774,0.218
85 , 1.2699939869683474,0.22
86 , 1.2815521514928765,0.225
87 , 2.302224029391355,0.227
88 , 1.7762625587481486,0.228
89 , 2.1748232089217456,0.23
90 , 3.530499171808448,0.232
91 , 3.0584908820056285,0.233
92 , 2.9721909453190105,0.235
93 , 3.913637740007443,0.236
94 , 3.641307778248191,0.238
95 , 3.4741585962463857,0.239
96 , 2.5195138467955287,0.241
97 , 2.390430321303136,0.244
98 , 3.0671712969787466,0.245
99 , 3.783169877099439,0.246
100 , 4.478174840417485,0.248
101 , 2.405962697111039,0.249
102 , 4.466397845352545,0.251
103 , 4.440350236046572,0.252
104 , 4.440984842113375,0.254
105 , 2.783262319913369,0.255
106 , 3.401286874474451,0.257
107 , 4.558830995571461,0.258
108 , 4.556253238207399,0.26
109 , 4.147634972992324,0.274
110 , 2.939095626945968,0.275
111 , 3.709238539752222,0.277
112 , 3.8929457249605957,0.278
113 , 4.111525029288474,0.279
114 , 3.3940078157957734,0.28
115 , 3.6747139866975127,0.282
116 , 6.185459614282206,0.283
117 , 7.644809893657959,0.285
118 , 6.482351382287455,0.286
119 , 5.906173233400707,0.287
120 , 4.808937014186095,0.289
121 , 6.688306203199258,0.296
122 , 6.388282642241828,0.297
123 , 4.651631634241334,0.305
124 , 5.792910550567153,0.311
125 , 5.685609215544613,0.323
126 , 5.993179242839756,0.325
127 , 5.621285990817749,0.326
128 , 6.318216669695134,0.327
129 , 4.625219651806972,0.33
130 , 5.122322118295007,0.331
131 , 6.584999118931654,0.333
132 , 6.203790200381536,0.334
133 , 5.620377031902933,0.335
134 , 6.333021574280582,0.336
135 , 7.8479620478728895,0.338
136 , 6.564022450987313,0.339
137 , 5.848805407523371,0.34
138 , 5.969917595677657,0.342
139 , 6.849663671247328,0.343
140 , 6.148044430576997,0.344
141 , 7.686150639126153,0.346
142 , 7.743945177943061,0.347
143 , 6.69317816530092,0.348
144 , 6.419614209875302,0.35
145 , 7.117508278440524,0.351
146 , 6.3718948867927345,0.352
147 , 6.696000423672356,0.353
148 , 7.1739270819579435,0.361
149 , 7.3108370871944475,0.367
150 , 7.45589505560293,0.369
151 , 7.952439774114357,0.375
152 , 7.254870134632556,0.376
153 , 7.578645751877712,0.378
154 , 7.29066585625432,0.379
155 , 7.333861722389586,0.38
156 , 7.701240276058805,0.381
157 , 7.508311508939444,0.383
158 , 7.232508353661721,0.384
159 , 7.3830722195752765,0.385
160 , 8.057755558052445,0.387
161 , 7.3767240517829356,0.388
162 , 7.955319970663734,0.389
163 , 7.99923386986959,0.391
164 , 8.831866638158198,0.398
165 , 8.418520927707142,0.4
166 , 8.024827863046475,0.401
167 , 7.9452714215599185,0.402
168 , 8.380426663809667,0.404
169 , 8.012668307504773,0.405
170 , 8.661666244794787,0.407
171 , 8.091999700846692,0.409
172 , 8.571997966305005,0.417
173 , 8.534519711047077,0.425
174 , 8.253180544870485,0.428
175 , 8.032921324589374,0.429
176 , 8.056798142246006,0.431
177 , 8.700833436597847,0.433
178 , 8.413472214463884,0.435
179 , 8.317494712791468,0.436
180 , 8.462030422956037,0.438
181 , 8.659338247892986,0.439
182 , 8.767726724836285,0.447
183 , 8.967987024612686,0.449
184 , 8.481459154039875,0.459
185 , 8.659943724569292,0.467
186 , 8.788996752105014,0.482
187 , 8.899236904330404,0.484
188 , 8.743396047856788,0.486
189 , 8.878913654263904,0.488
190 , 8.738078286730829,0.495
191 , 9.19954558862088,0.503
192 , 8.72073657790463,0.505
193 , 9.033330217106297,0.515
194 , 8.804506820257508,0.522
195 , 9.082188635927364,0.524
196 , 8.929476568392287,0.527
197 , 8.664277153472636,0.529
198 , 9.187880814115806,0.53
199 , 8.91587481322996,0.532
200 , 9.045742357146025,0.534
201 , 8.90380041969766,0.535
202 , 8.684618331887293,0.537
203 , 8.865893266364797,0.538
204 , 9.239345261476457,0.54
205 , 8.875863353845267,0.542
206 , 9.125404957337562,0.549
207 , 9.16164110046163,0.556
208 , 9.126066778433954,0.57
209 , 8.96714230225004,0.573
210 , 8.925964916101082,0.575
211 , 9.121687652165445,0.577
212 , 8.833159414066849,0.579
213 , 9.170165403083185,0.581
214 , 9.394072741069548,0.582
215 , 8.961629868629092,0.584
216 , 9.285097772222137,0.585
217 , 9.009932306997541,0.587
218 , 9.272622561205125,0.595
219 , 9.563879778071788,0.602
220 , 9.118670628201613,0.603
221 , 9.082223082548804,0.605
222 , 9.125404957337562,0.607
223 , 9.214877393330987,0.614
224 , 9.279572364157083,0.623
225 , 9.170165403083185,0.63
226 , 9.239999623337763,0.632
227 , 9.317740285934995,0.634
228 , 9.455381778238213,0.635
229 , 9.354088920704765,0.637
230 , 9.291075518284345,0.646
231 , 9.31498184005106,0.648
232 , 9.276778276069695,0.651
233 , 9.370972235987654,0.653
234 , 9.304792763259531,0.655
235 , 9.495986452115169,0.657
236 , 9.209385287898588,0.659
237 , 9.540908638936562,0.66
238 , 9.481647746667658,0.662
239 , 9.43019063631682,0.663
240 , 9.509061140906617,0.665
241 , 9.259488164476888,0.666
242 , 9.344524089985445,0.668
243 , 9.352271457070978,0.669
244 , 9.515218513459338,0.671
245 , 9.448371580617838,0.672
246 , 9.536225886459306,0.674
247 , 9.317489502117875,0.675
248 , 9.509460603057482,0.676
249 , 9.466203581120702,0.678
250 , 9.651659561025879,0.679
251 , 9.437306502041924,0.68
252 , 9.440778038498813,0.681
253 , 9.552873158833666,0.683
254 , 9.55900123208396,0.684
255 , 9.543580700448315,0.686
256 , 9.549589343209098,0.687
257 , 9.551774454365807,0.688
258 , 9.608785685887385,0.69
259 , 9.691753854365237,0.691
260 , 9.767127577371376,0.692
261 , 9.599021219879381,0.693
262 , 9.637651345110513,0.694
263 , 9.61883435354188,0.696
264 , 9.634086277601076,0.697
265 , 9.653905414825353,0.698
266 , 9.607116402940557,0.699
267 , 9.584185117581436,0.7
268 , 9.640243120430341,0.702
269 , 9.612506457091975,0.703
270 , 9.635883069834103,0.705
271 , 9.61364999571028,0.706
272 , 9.634858832200658,0.707
273 , 9.65590774243661,0.708
274 , 9.68410279244787,0.709
275 , 9.658164192839386,0.711
276 , 9.52634289049088,0.712
277 , 9.731126330713085,0.713
278 , 9.642561406920775,0.715
279 , 9.65628929051666,0.716
280 , 9.712535280707161,0.717
281 , 9.599525479756903,0.718
282 , 9.53675929857906,0.72
283 , 9.680994718929096,0.721
284 , 9.669994667157093,0.722
285 , 9.63847241237053,0.723
286 , 9.603967470727357,0.725
287 , 9.704673130838373,0.727
288 , 9.71697092893854,0.728
289 , 9.756108114742364,0.729
290 , 9.643905482013421,0.73
291 , 9.728690679820367,0.731
292 , 9.739990907630055,0.733
293 , 9.698212434490115,0.734
294 , 9.672412537849059,0.735
295 , 9.740712604685871,0.736
296 , 9.706334830740097,0.737
297 , 9.745819765494334,0.739
298 , 9.687861612831933,0.74
299 , 9.67882138855979,0.742
300 , 9.675523713266182,0.743
301 , 9.66892266932335,0.744
302 , 9.667929588414493,0.746
303 , 9.717918720759668,0.747
304 , 9.674811617055036,0.748
305 , 9.638017041344131,0.75
306 , 9.736603495573842,0.751
307 , 9.711207636349567,0.752
308 , 9.732003852960853,0.754
309 , 9.634928437603191,0.755
310 , 9.653385754608431,0.757
311 , 9.780522769505168,0.759
312 , 9.755319318810754,0.761
313 , 9.745465652029303,0.762
314 , 9.780444107463662,0.764
315 , 9.677535333408041,0.765
316 , 9.753063585657015,0.767
317 , 9.668220193928141,0.768
318 , 9.687005867698073,0.77
319 , 9.762547540342918,0.771
320 , 9.71953686973485,0.772
321 , 9.765142401225653,0.774
322 , 9.710402511596874,0.775
323 , 9.716549285952581,0.776
324 , 9.68462326035975,0.778
325 , 9.864393153861851,0.779
326 , 9.739742363881883,0.78
327 , 9.796999510287277,0.782
328 , 9.797525169915435,0.783
329 , 9.822746941469383,0.784
330 , 9.775506714126315,0.785
331 , 9.811064229942732,0.787
332 , 9.789384683730054,0.789
333 , 9.79220749685046,0.791
334 , 9.821712714590417,0.793
335 , 9.790787335902394,0.794
336 , 9.829412455321984,0.796
337 , 9.785986042077809,0.798
338 , 9.753821507017228,0.799
339 , 9.818852579825826,0.801
340 , 9.85389578532381,0.802
341 , 9.781872419060317,0.804
342 , 9.820552795518065,0.805
343 , 9.782311240743052,0.806
344 , 9.79251845369983,0.808
345 , 9.858389258071828,0.809
346 , 9.852638787567987,0.81
347 , 9.925284128956816,0.812
348 , 9.871694350829504,0.813
349 , 9.836668264995156,0.815
350 , 9.82538869738429,0.818
351 , 9.838790433177545,0.819
352 , 9.900428220025068,0.82
353 , 9.873248065353279,0.821
354 , 9.877779303236514,0.822
355 , 9.842775443088906,0.823
356 , 9.8391863106121,0.825
357 , 9.862882372845364,0.826
358 , 9.890715561883434,0.827
359 , 9.883318571367974,0.829
360 , 9.803004231006081,0.83
361 , 9.853779027288663,0.831
362 , 9.923655783840093,0.832
363 , 9.874557038878788,0.833
364 , 9.877279424594605,0.835
365 , 9.907923259216467,0.836
366 , 9.861824909271405,0.837
367 , 9.913060455754403,0.838
368 , 9.868709570711022,0.84
369 , 9.89426770354041,0.84
370 , 9.91487252689345,0.841
371 , 9.87015508684042,0.843
372 , 9.925679315063924,0.844
373 , 9.891207741529943,0.845
374 , 9.86697480461128,0.858
375 , 9.886711738094307,0.86
376 , 9.873366141502554,0.874
377 , 9.910359992178819,0.876
378 , 9.923868138399992,0.877
379 , 9.915258042256557,0.879
