generations , best_fitness , time_elapsed
1 , 0.0,0.061
2 , 7.865915406608127E-8,0.063
3 , 6.546849537662126E-6,0.064
4 , 2.2811777546391835E-4,0.065
5 , 2.537317371483794E-5,0.066
6 , 1.3745568126165442E-6,0.066
7 , 2.585376927703639E-4,0.067
8 , 7.340666584759903E-5,0.068
9 , 1.1203170878199716E-4,0.069
10 , 0.0028197224805493614,0.07
11 , 5.320951974731354E-5,0.07
12 , 0.023439241389863696,0.071
13 , 0.010154334272373916,0.072
14 , 0.011983663063578396,0.072
15 , 0.01878512258069668,0.073
16 , 0.0036417923354990596,0.074
17 , 0.030524294514354695,0.074
18 , 0.008768258225387512,0.075
19 , 0.03425770215604675,0.075
20 , 0.01859023516505505,0.076
21 , 0.010569199543927526,0.077
22 , 0.00286776950992166,0.077
23 , 0.025559562321112967,0.078
24 , 0.05447998003056711,0.078
25 , 0.06199889605318232,0.079
26 , 0.04084626174138095,0.079
27 , 0.030930523493795107,0.08
28 , 0.2849811183205113,0.08
29 , 0.022979842290092586,0.081
30 , 0.04006638058232022,0.081
31 , 0.0430895041393391,0.082
32 , 0.016256104414984367,0.082
33 , 0.042075027820150025,0.083
34 , 0.40388667007341417,0.084
35 , 0.23085336795508665,0.084
36 , 0.3777552546178967,0.085
37 , 0.10924581394787428,0.085
38 , 0.17112134536783502,0.086
39 , 0.10162677551723992,0.086
40 , 0.32906451083303456,0.087
41 , 0.10479836947926957,0.087
42 , 0.06783279700623804,0.088
43 , 0.14008417435222298,0.088
44 , 1.1668665196646268,0.089
45 , 0.10781539846396264,0.089
46 , 0.22546136095294683,0.09
47 , 0.40838665854401385,0.09
48 , 0.8904453433284819,0.091
49 , 1.1935702658954417,0.091
50 , 0.6709578468684585,0.092
51 , 0.5082933698485734,0.092
52 , 0.3060483153758813,0.093
53 , 0.9862458760014363,0.093
54 , 0.649739068069694,0.094
55 , 0.37609770762635586,0.094
56 , 0.6212792513677455,0.095
57 , 1.1685508788872963,0.097
58 , 0.3704516723010525,0.097
59 , 1.5707414589125877,0.098
60 , 0.3436147730439034,0.098
61 , 1.2848337110384365,0.099
62 , 0.4965819263547595,0.099
63 , 0.394409570283445,0.1
64 , 0.38211416914859553,0.1
65 , 0.82141262961074,0.101
66 , 0.47198581674040757,0.101
67 , 1.1466860055060037,0.102
68 , 0.7585613956153863,0.102
69 , 0.5617265670138023,0.103
70 , 0.7451421418886448,0.103
71 , 0.4089482978904494,0.104
72 , 1.7056136071751302,0.104
73 , 1.0963225086680184,0.105
74 , 1.3973862287585828,0.105
75 , 1.5115428540666878,0.106
76 , 1.1327699321277311,0.106
77 , 1.0314790615671359,0.107
78 , 2.006646523834506,0.107
79 , 0.8267388048034479,0.108
80 , 0.8633487383458585,0.108
81 , 1.904434277987161,0.109
82 , 2.183391636959276,0.109
83 , 3.442062362663625,0.11
84 , 1.4942851082772153,0.11
85 , 0.8256210484024827,0.111
86 , 1.560781105149813,0.111
87 , 0.8696049904194134,0.112
88 , 1.2975442474274783,0.112
89 , 1.6981496413447013,0.113
90 , 1.5674879856908042,0.113
91 , 1.264149543993672,0.114
92 , 1.2100455678543958,0.114
93 , 2.0358447463834435,0.115
94 , 1.0743186818261983,0.115
95 , 2.0332824480188862,0.116
96 , 2.1909933833929345,0.116
97 , 2.2972048150362108,0.117
98 , 1.9023061077109698,0.117
99 , 1.3757928123986192,0.118
100 , 1.0572735316145718,0.118
101 , 1.475950157872596,0.119
102 , 1.2935338789886601,0.12
103 , 1.531734433452045,0.12
104 , 1.6452526592982484,0.121
105 , 2.468229313545058,0.121
106 , 1.6068253306709654,0.122
107 , 2.945422325152961,0.122
108 , 1.4926413019365388,0.122
109 , 1.8094283589055715,0.123
110 , 2.2474056838695566,0.123
111 , 3.198734018247944,0.124
112 , 2.600504454844817,0.124
113 , 1.8149213223946385,0.125
114 , 1.7064520434751302,0.125
115 , 3.872428706915904,0.125
116 , 2.5724074733002484,0.126
117 , 1.7955212604481496,0.126
118 , 2.8407907623095134,0.127
119 , 2.7402934751639134,0.127
120 , 2.405722405682906,0.128
121 , 2.3619746096714147,0.128
122 , 3.077741738334594,0.128
123 , 2.490169168807605,0.129
124 , 2.0626203794815083,0.129
125 , 2.8419776755717194,0.13
126 , 2.954118131732713,0.13
127 , 3.637027201854442,0.13
128 , 1.5678431135047166,0.131
129 , 3.169101815582365,0.131
130 , 2.8670488878666127,0.132
131 , 3.077456682142314,0.132
132 , 1.9971069004909277,0.133
133 , 2.6855569897032483,0.133
134 , 1.8779004294570554,0.133
135 , 3.060014159025986,0.134
136 , 2.7491791573464197,0.134
137 , 3.391818605524663,0.135
138 , 2.2734339125941734,0.135
139 , 2.28333391491617,0.136
140 , 3.2151213470863915,0.136
141 , 4.358999931379181,0.137
142 , 2.6786796810117295,0.137
143 , 1.9614152719221247,0.137
144 , 2.3825556237885754,0.138
145 , 2.7349361743734777,0.138
146 , 3.0905403540586276,0.139
147 , 3.6598812269551804,0.139
148 , 3.9768838207334563,0.139
149 , 2.591840999528049,0.14
150 , 1.618547966976365,0.14
151 , 3.7697545356083673,0.141
152 , 3.5657268110821114,0.141
153 , 3.4599814856208733,0.142
154 , 3.0086658541645646,0.142
155 , 2.787310630445943,0.143
156 , 2.19887330247696,0.143
157 , 2.163586251060924,0.143
158 , 3.990370993174083,0.144
159 , 1.8720195244274405,0.144
160 , 3.6703448301030486,0.145
161 , 3.069074123877126,0.145
162 , 3.601937153133345,0.146
163 , 1.6420122159192792,0.146
164 , 4.096390151803914,0.146
165 , 3.431271668385854,0.147
166 , 2.9692733195378116,0.147
167 , 1.9053735932552593,0.148
168 , 4.479317337550108,0.148
169 , 3.0619751311279324,0.148
170 , 3.405223999383606,0.149
171 , 3.285903522551869,0.149
172 , 3.486535302968026,0.15
173 , 2.1344604997678616,0.15
174 , 2.7037528315878605,0.151
175 , 5.094979028467614,0.151
176 , 3.3027709648076238,0.151
177 , 2.7674274019815988,0.152
178 , 2.8064919826001615,0.152
179 , 4.4424116534732585,0.153
180 , 3.486480749024425,0.153
181 , 5.055428809874709,0.154
182 , 3.6825895249211005,0.154
183 , 4.40860510030209,0.154
184 , 3.1817547896881013,0.155
185 , 3.7757090526917185,0.155
186 , 5.594455392932089,0.156
187 , 3.262611521761558,0.156
188 , 4.548195285770576,0.156
189 , 4.207396339753323,0.157
190 , 3.7438982390349,0.157
191 , 4.115072547698973,0.158
192 , 4.087306541317855,0.158
193 , 4.124471553714565,0.16
194 , 3.609035912454646,0.16
195 , 3.8518136724908776,0.161
196 , 4.1506437766442,0.161
197 , 4.486653054980933,0.161
198 , 4.619811570177138,0.162
199 , 7.243652152115945,0.162
200 , 3.789344775343155,0.163
201 , 4.602139375390102,0.163
202 , 4.866720789877062,0.164
203 , 4.4838291944945805,0.164
204 , 4.262069365889091,0.164
205 , 4.336246957979492,0.165
206 , 4.53935265494861,0.165
207 , 2.9591033208392132,0.166
208 , 4.8246017089323825,0.166
209 , 6.097779008266722,0.166
210 , 3.7259231058381417,0.167
211 , 4.846661808790483,0.167
212 , 4.884948547491008,0.168
213 , 3.9193637275344213,0.168
214 , 4.195279265390543,0.168
215 , 6.009643062651058,0.169
216 , 4.963124174237407,0.169
217 , 5.0417076000092855,0.17
218 , 4.708686240442873,0.17
219 , 4.28476427553767,0.17
220 , 4.460364374241757,0.171
