generations , best_fitness , time_elapsed
1 , 0.0,0.056
2 , 1.0793202487356887E-7,0.06
3 , 1.1157202269576083E-5,0.063
4 , 6.43630252063187E-6,0.065
5 , 1.418119629084626E-4,0.066
6 , 2.48190434231874E-4,0.068
7 , 6.302325619218197E-4,0.069
8 , 7.872493485456584E-4,0.071
9 , 0.002003739479671227,0.073
10 , 0.0016535300129535797,0.075
11 , 0.0990156598565021,0.077
12 , 0.011577863061677554,0.078
13 , 0.011756579200333524,0.08
14 , 0.0161954269118642,0.082
15 , 0.003197054196780284,0.083
16 , 0.026154568867402316,0.085
17 , 0.05935038127280599,0.086
18 , 0.10279225147125733,0.088
19 , 0.27006162842473647,0.089
20 , 0.05490616579913454,0.091
21 , 0.15139418171518434,0.093
22 , 0.05150990861467304,0.094
23 , 0.14124586379105566,0.096
24 , 0.24797918285761447,0.097
25 , 0.6912719270894079,0.099
26 , 0.2840845696191418,0.1
27 , 0.258181890840854,0.102
28 , 0.43026492874887046,0.103
29 , 0.44644389067891543,0.105
30 , 0.31952472837426826,0.106
31 , 0.4728321311394765,0.108
32 , 0.3102745297649772,0.109
33 , 0.6991279134785293,0.111
34 , 1.2449557446262665,0.112
35 , 0.5708348393438063,0.113
36 , 0.53569402404796,0.115
37 , 1.7212988283092536,0.116
38 , 0.6602156564413777,0.117
39 , 1.2615331321912957,0.118
40 , 1.2805698339710847,0.12
41 , 0.4441555233757576,0.121
42 , 1.2681614131712728,0.123
43 , 0.753545921377421,0.124
44 , 1.2246593606709126,0.126
45 , 1.9255878593471412,0.127
46 , 2.255433057081122,0.128
47 , 1.8717257106725602,0.13
48 , 4.065518895304803,0.132
49 , 2.298082974973884,0.133
50 , 3.3607316246625696,0.134
51 , 1.523576216517827,0.136
52 , 2.667407084311061,0.137
53 , 3.283158518387454,0.139
54 , 2.485291868060801,0.14
55 , 2.303794550716938,0.141
56 , 2.7535652299431765,0.142
57 , 4.358437906916914,0.144
58 , 3.0581150573184166,0.145
59 , 3.292244334403789,0.147
60 , 3.676484606644949,0.149
61 , 4.0644002587327845,0.15
62 , 4.305137582184026,0.152
63 , 3.9094512413783127,0.153
64 , 3.370329236781515,0.154
65 , 4.028525430165602,0.155
66 , 5.425462029583803,0.157
67 , 3.653677916700069,0.158
68 , 4.959993790592162,0.159
69 , 4.346683214228994,0.161
70 , 4.3495859783649875,0.162
71 , 4.154964429873385,0.164
72 , 3.8732926836285992,0.165
73 , 5.799204446643803,0.166
74 , 3.7234568768859337,0.168
75 , 6.356657571174196,0.17
76 , 4.988981579105414,0.171
77 , 4.836993035148562,0.172
78 , 4.821823579273456,0.174
