iteration , time_elapsed
0,0.185
1,0.113
2,0.078
3,0.076
4,0.072
5,0.072
6,0.073
7,0.072
8,0.075
9,0.079
10,0.074
11,0.075
12,0.09
13,0.097
14,0.077
15,0.076
16,0.079
17,0.084
18,0.076
19,0.075
20,0.076
21,0.076
22,0.073
23,0.074
24,0.072
25,0.074
26,0.072
27,0.073
28,0.073
29,0.076
30,0.075
31,0.076
32,0.073
33,0.073
34,0.075
35,0.073
36,0.075
37,0.073
38,0.075
39,0.073
40,0.073
41,0.073
42,0.073
43,0.074
44,0.073
45,0.073
46,0.072
47,0.081
48,0.075
49,0.081
50,0.084
51,0.077
52,0.074
53,0.075
54,0.075
55,0.085
56,0.097
57,0.091
58,0.093
59,0.094
60,0.089
61,0.083
62,0.075
63,0.079
64,0.074
65,0.076
66,0.079
67,0.088
68,0.094
69,0.094
70,0.083
71,0.075
72,0.077
73,0.075
74,0.074
75,0.074
76,0.075
77,0.073
78,0.077
79,0.079
80,0.076
81,0.077
82,0.077
83,0.078
84,0.075
85,0.074
86,0.074
87,0.075
88,0.074
89,0.075
90,0.075
91,0.075
92,0.074
93,0.076
94,0.077
95,0.075
96,0.078
97,0.074
98,0.073
99,0.074
Score: 10.0
Runtime: 9733ms
